ID,height (cm),weight (kg),age,gender
JE06AD10,179,68,25,male
KO24IE08,,104,33,male
KE30IE06,173,73,22,male
JO26EI26,163,72,23,female
HE20UB06,177,68,22,female
MA25UT20,,90,23,male
TA17ER04,183,77,25,male
BE06LL24,178,85,28,male
NF16CH30,185,84,21,male
AN11ST11,176,64,23,female
CL23ON05,163,53,20,female
LE11ON12,178,93,20,male
AN15AV09,,78,22,male
IN06UE25,168,75,25,female
UL22ON24,184,82,23,male
UR31EM17,188,88,25,male
KA09UH17,,66,20,female
SI22IE06,182,74,21,male
CA11UR11,185,83,22,male
SA09OR12,179,84,23,male
BG22OE24,191,89,24,female
UL01RL21,167,66,22,female
MI27ER17,171,65,23,male
JU20UC09,189,89,25,female
CL22OE02,171,59,23,female
SI21UR22,175,78,26,male
AN29RA22,192,95,22,female
CA04TU11,181,75,22,male
KA14RE15,173,68,24,female
AN23BE15,182,74,24,male
EL30AD28,172,75,20,female
BI20OE24,159,67,24,female
CH11RE22,169,61,25,male
DO11UB30,189,84,22,male
AN07IE11,177,68,24,male
AN06AN18,157,51,26,female
PE16IN18,168,60,24,female
DI16UB31,162,64,22,female
CH08TU30,179,82,24,male
CH10AL22,188,78,28,male
RE13ON18,181,68,24,male
