ID,Condition,trial_order,Timepoint,Effort,Timepoint_number
AN06AN18,HB,LB_HB,Baseline,0,0
AN06AN18,HB,LB_HB,Trial 1,0,1
AN06AN18,HB,LB_HB,Trial 2,2,2
AN06AN18,HB,LB_HB,Trial 3,2,3
AN06AN18,HB,LB_HB,Trial 4,2,4
AN06AN18,LB,LB_HB,Baseline,0,0
AN06AN18,LB,LB_HB,Trial 1,0,1
AN06AN18,LB,LB_HB,Trial 2,1,2
AN06AN18,LB,LB_HB,Trial 3,2,3
AN06AN18,LB,LB_HB,Trial 4,2,4
AN07IE11,HB,HB_LB,Baseline,1,0
AN07IE11,HB,HB_LB,Trial 1,2,1
AN07IE11,HB,HB_LB,Trial 2,3,2
AN07IE11,HB,HB_LB,Trial 3,5,3
AN07IE11,HB,HB_LB,Trial 4,6,4
AN07IE11,LB,HB_LB,Baseline,2,0
AN07IE11,LB,HB_LB,Trial 1,4,1
AN07IE11,LB,HB_LB,Trial 2,4,2
AN07IE11,LB,HB_LB,Trial 3,3,3
AN07IE11,LB,HB_LB,Trial 4,4,4
AN11ST11,HB,HB_LB,Baseline,0,0
AN11ST11,HB,HB_LB,Trial 1,2,1
AN11ST11,HB,HB_LB,Trial 2,4,2
AN11ST11,HB,HB_LB,Trial 3,4,3
AN11ST11,HB,HB_LB,Trial 4,5,4
AN11ST11,LB,HB_LB,Baseline,2,0
AN11ST11,LB,HB_LB,Trial 1,5,1
AN11ST11,LB,HB_LB,Trial 2,5,2
AN11ST11,LB,HB_LB,Trial 3,5,3
AN11ST11,LB,HB_LB,Trial 4,5,4
AN15AV09,HB,LB_HB,Baseline,2,0
AN15AV09,HB,LB_HB,Trial 1,2,1
AN15AV09,HB,LB_HB,Trial 2,4,2
AN15AV09,HB,LB_HB,Trial 3,3,3
AN15AV09,HB,LB_HB,Trial 4,2,4
AN15AV09,LB,LB_HB,Baseline,1,0
AN15AV09,LB,LB_HB,Trial 1,3,1
AN15AV09,LB,LB_HB,Trial 2,4,2
AN15AV09,LB,LB_HB,Trial 3,4,3
AN15AV09,LB,LB_HB,Trial 4,4,4
