ID,Condition,trial_order,baseline_effort,Trial,Effort
AN06AN18,HB,LB_HB,0,1,0
AN06AN18,HB,LB_HB,0,2,2
AN06AN18,HB,LB_HB,0,3,2
AN06AN18,HB,LB_HB,0,4,2
AN06AN18,LB,LB_HB,0,1,0
AN06AN18,LB,LB_HB,0,2,1
AN06AN18,LB,LB_HB,0,3,2
AN06AN18,LB,LB_HB,0,4,2
AN07IE11,HB,HB_LB,1,1,2
AN07IE11,HB,HB_LB,1,2,3
AN07IE11,HB,HB_LB,1,3,5
AN07IE11,HB,HB_LB,1,4,6
AN07IE11,LB,HB_LB,2,1,4
AN07IE11,LB,HB_LB,2,2,4
AN07IE11,LB,HB_LB,2,3,3
AN07IE11,LB,HB_LB,2,4,4
AN11ST11,HB,HB_LB,0,1,2
AN11ST11,HB,HB_LB,0,2,4
AN11ST11,HB,HB_LB,0,3,4
AN11ST11,HB,HB_LB,0,4,5
AN11ST11,LB,HB_LB,2,1,5
AN11ST11,LB,HB_LB,2,2,5
AN11ST11,LB,HB_LB,2,3,5
AN11ST11,LB,HB_LB,2,4,5
AN15AV09,HB,LB_HB,2,1,2
AN15AV09,HB,LB_HB,2,2,4
AN15AV09,HB,LB_HB,2,3,3
AN15AV09,HB,LB_HB,2,4,2
AN15AV09,LB,LB_HB,1,1,3
AN15AV09,LB,LB_HB,1,2,4
AN15AV09,LB,LB_HB,1,3,4
AN15AV09,LB,LB_HB,1,4,4
AN23BE15,HB,HB_LB,2,1,4
AN23BE15,HB,HB_LB,2,2,4
AN23BE15,HB,HB_LB,2,3,4
AN23BE15,HB,HB_LB,2,4,5
AN23BE15,LB,HB_LB,4,1,5
AN23BE15,LB,HB_LB,4,2,5
AN23BE15,LB,HB_LB,4,3,5
AN23BE15,LB,HB_LB,4,4,5
AN29RA22,HB,LB_HB,2,1,3
AN29RA22,HB,LB_HB,2,2,3
AN29RA22,HB,LB_HB,2,3,3
AN29RA22,HB,LB_HB,2,4,4
AN29RA22,LB,LB_HB,1,1,2
AN29RA22,LB,LB_HB,1,2,2
AN29RA22,LB,LB_HB,1,3,3
AN29RA22,LB,LB_HB,1,4,3
BE06LL24,HB,HB_LB,0,1,0
BE06LL24,HB,HB_LB,0,2,0
BE06LL24,HB,HB_LB,0,3,0
BE06LL24,HB,HB_LB,0,4,0
BE06LL24,LB,HB_LB,0,1,0
BE06LL24,LB,HB_LB,0,2,2
BE06LL24,LB,HB_LB,0,3,2
BE06LL24,LB,HB_LB,0,4,3
BG22OE24,HB,LB_HB,1,1,2
BG22OE24,HB,LB_HB,1,2,6
BG22OE24,HB,LB_HB,1,3,5
BG22OE24,HB,LB_HB,1,4,
BG22OE24,LB,LB_HB,0,1,1
BG22OE24,LB,LB_HB,0,2,1
BG22OE24,LB,LB_HB,0,3,4
BG22OE24,LB,LB_HB,0,4,4
BI20OE24,HB,LB_HB,0,1,0
BI20OE24,HB,LB_HB,0,2,1
BI20OE24,HB,LB_HB,0,3,1
