id,submitdate,lastpage,startlanguage,seed,startdate,datestamp,VP,DEMOage,DEMOgender[DEMOgender],DEMOweight,DEMOheight,SBPS[SBPS01],SBPS[SBPS02],SBPS[SBPS03],SBPS[SBPS04],SBPS[SBPS05],SBPS[SBPS06],SBPS[SBPS07],SBPS[SBPS08],Abas[MSBS01],Abas[MSBS03],Abas[MSBS09],Abas[MSBS10],Abas[MSBS22],Abas[MSBS23],Abas[MSBS24],Abas[MSBS28],Experimentfragen[SQ001],STOPP[SQ001],Counterbalance[order],CUAbas[SQ001_SQ004],CUAbas[SQ002_SQ004],CUAbas[SQ003_SQ004],CUA1[effort_SQ001],CUA1[boredom_SQ001],CUA1[pain_SQ001],countA1,CUA2[effort_SQ001],CUA2[boredom_SQ001],CUA2[pain_SQ001],countA2,CUA3[effort_SQ001],CUA3[boredom_SQ001],CUA3[pain_SQ001],countA3,CUApos[effort_SQ001],CUApos[boredom_SQ001],CUApos[pain_SQ001],countApos,Apos[MSBS01],Apos[MSBS03],Apos[MSBS09],Apos[MSBS10],Apos[MSBS22],Apos[MSBS23],Apos[MSBS24],Apos[MSBS28],STOPP2[SQ001],MSBSBbas[MSBS01],MSBSBbas[MSBS03],MSBSBbas[MSBS09],MSBSBbas[MSBS10],MSBSBbas[MSBS22],MSBSBbas[MSBS23],MSBSBbas[MSBS24],MSBSBbas[MSBS28],STOPP3[SQ001],CUBbas[effort_SQ001],CUBbas[boredom_SQ001],CUBbas[pain_SQ001],CUB1[effort_SQ001],CUB1[boreodm_SQ001],CUB1[pain_SQ001],countB1,CUB2[effort_SQ001],CUB2[boredom_SQ001],CUB2[pain_SQ001],countB2,CUB3[effort_SQ001],CUB3[boredom_SQ001],CUB3[pain_SQ001],countB3,CUBpos[effort_SQ001],CUBpos[boredom_SQ001],CUBpos[pain_SQ001],countBpos,Bpos[MSBS01],Bpos[MSBS03],Bpos[MSBS09],Bpos[MSBS10],Bpos[MSBS22],Bpos[MSBS23],Bpos[MSBS24],Bpos[MSBS28],podcastpreference,STOP5[SQ001],comment
18,14.06.2024 12:21,17,de,1859565294,14.06.2024 12:15,14.06.2024 12:21,TEST,78,männlich,90,345,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,2,2,2,2,2,2,1 - stimme überhaupt nicht zu,2,2,2,2,2,2,2,Ja,Ja,LB_HB,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1 - stimme überhaupt nicht zu,4,2,2,2,2,2,2,Ja,1 - stimme überhaupt nicht zu,2,2,2,2,2,2,2,Ja,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1 - stimme überhaupt nicht zu,2,2,2,2,2,2,2,Podcast 1,Ja,test
19,14.06.2024 12:51,17,de,1307879761,14.06.2024 12:19,14.06.2024 12:51,CH18EU28,23,weiblich,64,173,2,1 - stimme überhaupt nicht zu,2,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,Ja,Ja,HB_LB,0,0,0,2,3,0,7,3,4,1,13,4,5,1,19,5,5,1,28,3,3,1 - stimme überhaupt nicht zu,3,1 - stimme überhaupt nicht zu,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,Ja,2,2,1 - stimme überhaupt nicht zu,2,1 - stimme überhaupt nicht zu,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,Ja,1,0,0,2,0,1,7,4,1,2,13,4,2,2,16,5,2,3,20,2,3,1 - stimme überhaupt nicht zu,2,1 - stimme überhaupt nicht zu,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,Podcast 2,Ja,NA
20,14.06.2024 14:13,17,de,1941196021,14.06.2024 12:55,14.06.2024 14:13,JE06AD10,25,männlich,68,179,4,2,1 - stimme überhaupt nicht zu,2,2,2,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,4,2,2,2,3,2,2,Ja,Ja,LB_HB,0,0,0,1,1,0,8,2,1,0,20,3,4,1,33,5,4,2,39,2,3,2,2,2,3,2,2,Ja,2,2,2,2,2,2,2,2,Ja,1,1,0,2,6,1,5,4,8,2,9,5,8,3,12,6,9,3,18,4,4,3,4,3,4,2,2,Podcast 1,Ja,In condition B wurd PsychoPy erst ab dem 3. Block gestartet 
21,14.06.2024 15:49,17,de,1636154821,14.06.2024 14:44,14.06.2024 15:49,KO24IE08,33,männlich,104,180,3,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,2,5,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,3,4,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,Ja,Ja,HB_LB,0,1,1,2,2,1,6,3,2,3,10,3,3,4,13,4,3,2,20,4,5,3,3,4,5,1 - stimme überhaupt nicht zu,2,Ja,2,4,3,3,5,4,1 - stimme überhaupt nicht zu,2,Ja,0,1,1,1,1,2,7,2,3,2,13,2,3,2,16,3,5,2,19,4,5,3,5,4,6,1 - stimme überhaupt nicht zu,2,Podcast 2,Ja,NA
22,18.06.2024 09:30,17,de,1543478023,18.06.2024 08:24,18.06.2024 09:30,KE30IE06,22,männlich,73,173,2,1 - stimme überhaupt nicht zu,2,1 - stimme überhaupt nicht zu,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,2,1 - stimme überhaupt nicht zu,2,2,Ja,Ja,LB_HB,0,0,0,2,2,0,7,3,2,0,13,3,2,0,16,4,3,0,20,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,3,1 - stimme überhaupt nicht zu,3,1 - stimme überhaupt nicht zu,2,Ja,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,3,2,4,2,1 - stimme überhaupt nicht zu,Ja,2,2,0,3,4,0,13,4,4,0,18,4,4,0,23,4,4,0,30,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,3,3,3,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,Podcast 1,Ja,"The participant clicked every time for ""Treppe"" and cobining words in the HB_Block_1"
23,19.06.2024 10:23,17,de,23468367,19.06.2024 09:01,19.06.2024 10:23,JO26EI26,23,weiblich,72,163,3,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,Ja,Ja,HB_LB,0,3,0,2,4,1,6,2,3,1,10,1,4,1,13,1,3,1,18,3,3,3,5,5,4,4,4,Ja,2,2,2,3,5,3,3,3,Ja,0,2,0,2,1,2,7,1,0,2,13,2,1,3,17,1,0,3,21,2,3,2,2,5,4,3,3,Podcast 2,Ja,NA
24,19.06.2024 10:10,17,de,372388293,19.06.2024 09:09,19.06.2024 10:10,HE20ÜB06,22,weiblich,68,177,2,1 - stimme überhaupt nicht zu,3,4,2,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,3,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,3,2,2,1 - stimme überhaupt nicht zu,Ja,Ja,LB_HB,0,0,0,0,3,0,8,3,4,0,9,2,5,0,11,5,5,1,11,3,4,2,4,2,5,2,2,Ja,2,5,3,4,4,4,3,2,Ja,0,5,0,3,4,1,7,4,5,1,11,6,6,1,14,6,8,1,18,2,3,4,6,4,4,3,3,Podcast 1,Ja,NA
25,19.06.2024 11:32,17,de,986269995,19.06.2024 10:18,19.06.2024 11:32,MA25UT20,23,männlich,90,180,5,3,4,3,5,5,5,5,5,3,3,5,4,4,5,4,Ja,Ja,HB_LB,5,7,4,7,3,6,6,8,10,6,11,5,7,5,14,5,6,4,20,6,3,4,6,3,5,4,6,Ja,5,4,3,5,4,4,4,5,Ja,5,6,3,5,6,5,3,5,7,6,7,5,7,4,11,6,7,5,13,5,3,3,5,5,4,4,6,Podcast 2,Ja,participant was nervous 
26,19.06.2024 11:30,17,de,536080603,19.06.2024 10:24,19.06.2024 11:30,TA17ER04,25,männlich,77,183,2,4,7 - stimme voll und ganz zu,6,3,2,3,2,6,5,3,3,2,5,3,5,Ja,Ja,LB_HB,0,6,0,5,5,1,6,3,3,0,12,3,3,1,15,5,5,2,19,4,4,2,2,2,6,1 - stimme überhaupt nicht zu,5,Ja,2,5,2,3,3,6,2,5,Ja,1,2,1,2,6,2,6,5,7,3,10,6,8,3,13,4,7,2,20,5,5,2,2,2,4,2,3,Podcast 1,Ja,LB mit Clicker in der Hand gespielt
27,19.06.2024 12:30,17,de,1041754369,19.06.2024 11:34,19.06.2024 12:30,BE06LL24,28,männlich,85,178,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,Ja,Ja,HB_LB,0,0,0,0,2,0,6,0,4,0,10,0,5,0,13,0,7,0,19,3,2,1 - stimme überhaupt nicht zu,3,2,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,Ja,2,2,1 - stimme überhaupt nicht zu,2,1 - stimme überhaupt nicht zu,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,Ja,0,0,0,0,0,0,7,2,0,0,9,2,0,0,11,3,0,0,16,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,Podcast 2,Ja,"Psychopy worked, participant just didn´t move a lot. "
28,21.06.2024 11:10,17,de,1149930168,21.06.2024 10:05,21.06.2024 11:10,nf16ch30,21,männlich,84,185,4,2,3,3,2,5,5,2,2,3,2,2,2,2,2,1 - stimme überhaupt nicht zu,Ja,Ja,LB_HB,4,2,1,6,3,2,10,7,4,3,14,7,4,4,16,7,4,4,20,5,3,2,4,3,2,3,3,Ja,3,2,1 - stimme überhaupt nicht zu,3,2,3,3,2,Ja,3,3,1,4,5,2,20,5,5,4,28,5,7,3,37,5,7,3,52,4,4,2,5,3,3,2,4,Podcast 1,Ja,NA
29,21.06.2024 12:23,17,de,1180265978,21.06.2024 11:20,21.06.2024 12:23,AN11ST11,23,weiblich,64,176,2,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,2,2,1 - stimme überhaupt nicht zu,2,1 - stimme überhaupt nicht zu,2,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,Ja,Ja,HB_LB,0,0,0,2,0,0,10,4,4,0,16,4,5,0,22,5,6,0,31,3,3,2,3,1 - stimme überhaupt nicht zu,5,2,3,Ja,3,3,1 - stimme überhaupt nicht zu,2,1 - stimme überhaupt nicht zu,3,1 - stimme überhaupt nicht zu,2,Ja,2,3,0,5,4,2,9,5,3,2,11,5,4,2,13,5,6,2,18,4,5,1 - stimme überhaupt nicht zu,5,2,5,2,3,Podcast 2,Ja,NA
30,21.06.2024 13:49,17,de,939909374,21.06.2024 12:45,21.06.2024 13:49,CL23ON05,20,weiblich,53,163,2,2,1 - stimme überhaupt nicht zu,2,2,2,2,2,3,3,2,2,3,3,2,3,Ja,Ja,LB_HB,0,0,0,0,1,0,8,1,1,1,19,1,1,1,31,1,1,1,35,6,6,2,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,Ja,6,6,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,Ja,1,0,0,1,1,1,13,2,1,1,20,2,3,2,26,2,3,3,35,5,6,1 - stimme überhaupt nicht zu,2,2,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,Podcast 1,Ja,NA
31,24.06.2024 10:19,17,de,388957566,24.06.2024 09:12,24.06.2024 10:19,LE11ON12,20,männlich,93,178,1 - stimme überhaupt nicht zu,2,2,2,1 - stimme überhaupt nicht zu,2,1 - stimme überhaupt nicht zu,2,1 - stimme überhaupt nicht zu,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,Ja,Ja,HB_LB,0,0,0,0,1,0,22,0,3,0,27,0,4,0,38,0,4,0,51,5,3,1 - stimme überhaupt nicht zu,5,2,3,2,3,Ja,6,3,1 - stimme überhaupt nicht zu,3,1 - stimme überhaupt nicht zu,2,1 - stimme überhaupt nicht zu,2,Ja,0,3,0,0,5,0,8,0,5,0,11,0,5,0,13,0,5,0,14,3,3,1 - stimme überhaupt nicht zu,4,2,2,2,3,Podcast 1,Ja,"condition A participant counted too many although there was the instruction to count only ""Treppe"""
condition B 2:50 participant has opened velcro by accident with right hand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"condtions B_2-4 at some point he crossed his arms""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,24.06.2024 11:02,17,de,104356970,24.06.2024 09:37,24.06.2024 11:02,AN15AV09,22,männlich,78,180,2,2,2,2,1 - stimme überhaupt nicht zu,2,2,2,3,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,2,3,2,2,Ja,Ja,LB_HB,1,2,1,3,2,2,15,4,1,3,19,4,1,3,21,4,2,3,26,4,3,3,3,4,2,3,4,Ja,3,2,3,3,4,2,4,3,Ja,2,3,2,2,3,3,21,4,2,3,28,3,2,3,38,2,2,2,52,3,2,3,3,3,2,3,4,Podcast 1,Ja,"Während der Messung stand die Person nicht ganz exakt auf der Linie und ist im Verlauf der Messung etwa ca. 10cm nach vorne ""gelaufen""."
33,24.06.2024 11:40,17,de,1149971912,24.06.2024 10:31,24.06.2024 11:40,IN06UE25,25,weiblich,75,168,2,2,1 - stimme überhaupt nicht zu,2,1 - stimme überhaupt nicht zu,2,2,1 - stimme überhaupt nicht zu,2,3,3,3,3,3,2,2,Ja,Ja,HB_LB,0,0,0,2,3,0,14,2,4,0,20,3,5,0,26,5,6,0,33,4,3,4,4,3,2,2,2,Ja,3,2,3,3,3,2,2,2,Ja,0,0,0,3,3,0,8,4,4,0,9,5,4,1,11,4,4,0,16,3,2,2,2,2,2,2,2,Podcast 2,Ja,counted Treppen as welll
34,24.06.2024 12:28,17,de,2063272850,24.06.2024 11:28,24.06.2024 12:28,UL22ON24,23,männlich,82,184,2,3,1 - stimme überhaupt nicht zu,3,2,3,2,1 - stimme überhaupt nicht zu,3,2,2,2,1 - stimme überhaupt nicht zu,3,2,1 - stimme überhaupt nicht zu,Ja,Ja,LB_HB,0,0,0,0,0,1,9,0,0,1,11,1,3,1,12,2,4,2,16,3,2,2,3,1 - stimme überhaupt nicht zu,2,2,1 - stimme überhaupt nicht zu,Ja,2,2,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,3,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,Ja,1,0,1,3,5,2,6,3,6,3,10,4,7,3,13,3,6,2,19,6,6,5,5,2,5,4,4,Podcast 1,Ja,"viel Bewegung mit Händen etc. (ist kein Fehler, wollten wir nur nochmal betonen)"
35,24.06.2024 15:04,17,de,874623312,24.06.2024 13:57,24.06.2024 15:04,UR31EM17,25,männlich,88,188,4,3,4,5,2,4,3,2,3,3,4,4,3,5,4,4,Ja,Ja,LB_HB,0,0,0,2,2,0,8,2,3,0,21,3,4,0,34,3,5,0,40,5,2,4,4,3,2,5,2,Ja,4,3,4,4,3,3,4,4,Ja,2,3,0,3,4,0,10,4,5,0,16,4,6,0,22,4,6,0,32,5,3,4,5,3,4,4,4,Podcast 1,Ja,NA
36,25.06.2024 15:11,17,de,791007047,25.06.2024 14:09,25.06.2024 15:11,KA09ÜH17,20,weiblich,66,170,2,2,2,3,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,Ja,Ja,HB_LB,0,2,0,1,1,0,10,1,1,0,16,2,1,0,20,2,2,0,28,2,3,1 - stimme überhaupt nicht zu,2,1 - stimme überhaupt nicht zu,2,2,1 - stimme überhaupt nicht zu,Ja,1 - stimme überhaupt nicht zu,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,3,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,Ja,0,0,0,0,0,0,7,2,0,0,14,2,0,0,21,4,0,0,25,1 - stimme überhaupt nicht zu,2,1 - stimme überhaupt nicht zu,2,1 - stimme überhaupt nicht zu,3,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,Podcast 2,Ja,NA
37,25.06.2024 16:38,17,de,1149375493,25.06.2024 15:39,25.06.2024 16:38,SI22IE06,21,männlich,74,182,2,1 - stimme überhaupt nicht zu,2,2,2,2,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,2,5,3,1 - stimme überhaupt nicht zu,2,3,4,1 - stimme überhaupt nicht zu,Ja,Ja,LB_HB,3,2,0,3,2,1,9,4,2,2,17,4,3,2,28,4,3,4,33,2,2,2,3,3,3,2,1 - stimme überhaupt nicht zu,Ja,2,2,2,3,3,2,1 - stimme überhaupt nicht zu,2,Ja,3,4,3,3,4,4,6,4,7,4,10,5,7,5,13,5,8,5,16,4,3,3,4,5,3,2,1 - stimme überhaupt nicht zu,Podcast 1,Ja,#NAME?
