Antwort ID,Datum Abgeschickt,Letzte Seite,Start-Sprache,Zufallsgeneratorstartwert,Datum gestartet,Datum letzte Aktivität,Versuchspersonencode,Wie alt bist du (in Jahren)?,Was ist dein Geschlecht? [Geschlecht],Bitte gib dein Gewicht in kg an.,Bitte gib deine Größe in cm an.,"Bitte gib an, wie sehr folgende Aussagen auf dich zutreffen [Ich stehe häufig vor Unerledigtem und weiss nicht, was ich tun soll.]","Bitte gib an, wie sehr folgende Aussagen auf dich zutreffen [Es fällt mir schwer, mich selbst zu unterhalten]","Bitte gib an, wie sehr folgende Aussagen auf dich zutreffen [Viele Dinge, die ich tun muss, sind repetitiv und monoton.]","Bitte gib an, wie sehr folgende Aussagen auf dich zutreffen [Es braucht mehr Anregung, um mich in die Gänge zu bringen, als bei den meisten anderen Menschen.]","Bitte gib an, wie sehr folgende Aussagen auf dich zutreffen [Die meisten Dinge, die ich mache, motivieren mich nicht.]","Bitte gib an, wie sehr folgende Aussagen auf dich zutreffen [In den meisten Situationen fällt es mir schwer, etwas zu finden, was ich tun oder sehen kann, um mein Interesse aufrechtzuerhalten.]","Bitte gib an, wie sehr folgende Aussagen auf dich zutreffen [Einen Grossteil der Zeit sitze ich einfach rum und mache nichts.]","Bitte gib an, wie sehr folgende Aussagen auf dich zutreffen [Ich fühle mich halb tot und stumpf, es sei denn, ich mache etwas Aufregendes oder sogar Gefährliches.]","Bitte gib an, wie sehr du folgenden Aussagen im Moment zustimmst. [Die Zeit scheint langsamer zu vergehen als sonst.]...21","Bitte gib an, wie sehr du folgenden Aussagen im Moment zustimmst. [Ich bin leicht abgelenkt.]...22","Bitte gib an, wie sehr du folgenden Aussagen im Moment zustimmst. [Ich fühle mich zu Taten gedrängt, die keinerlei Bedeutung für mich haben.]...23","Bitte gib an, wie sehr du folgenden Aussagen im Moment zustimmst. [Ich fühle mich gelangweilt.]...24","Bitte gib an, wie sehr du folgenden Aussagen im Moment zustimmst. [Ich verschwende gerade Zeit, die ich sonst besser nutzen könnte.]...25","Bitte gib an, wie sehr du folgenden Aussagen im Moment zustimmst. [Meine Gedanken schweifen umher.]...26","Bitte gib an, wie sehr du folgenden Aussagen im Moment zustimmst. [Ich möchte, dass etwas passiert, doch kann ich nicht genau sagen was.]...27","Bitte gib an, wie sehr du folgenden Aussagen im Moment zustimmst. [Ich fühle mich, als würde ich nur herumstehen und darauf warten, dass etwas passiert.]...28","Während der Balanceaufgabe, werden dir wiederholt drei Fragen über dein aktuelles Befinden gestellt. Zur Vorbereitung werden dir diese im Folgenden erklärt:   	Frage: ""Wieviel Anstrengung empfindest du?"" (Anstrengung kann sowohl mental als auch körperlich sein) 	Frage: ""Wieviel Langeweile empfindest du?"" 	Frage: ""Wieviel Schmerz oder Schmerzen empfindest du?""   Diese drei Fragen werden dir während der Balanceaufgabe über die Kopfhörer gestellt. Es wird jeweils nicht die ganze Frage vorgelesen, sondern folgende Kurzformen genutzt: ""Anstrengung?"", ""Langeweile?"", ""Schmerz?""   Bitte gib deine Antwort nach jeder Frage mündlich an. Nutze hierfür eine Skala von 0 = keine Anstrengung/Langeweile/Schmerz bis 10 = maximale Anstrengung/Langeweile/Schmerz. Überlege nicht zu lange, sondern antworte spontan und ehrlich.  [Ich habe die Informationen gelesen und verstanden.]",Vielen Dank für das Ausfüllen der Fragen. Melde dich nun bei der Versuchsleitung. [Ich bin die Versuchsleitung / I am the tester]...30,Which randomisation order is followed? [tick the order of conditions tested],Check-up questions Baseline [Anstrengung?][rating],Check-up questions Baseline [Langeweile?][rating],Check-up questions Baseline [Schmerz?][rating],Check-up questions A_1 [Anstrengung?][],Check-up questions A_1 [Langeweile?][],Check-up questions A_1 [Schmerzen?][],counts...40,Check-up questions A_2 [Anstrengung?][],Check-up questions A_2 [Langeweile?][],Check-up questions A_2 [Schmerzen?][],counts...44,Check-up questions A_3 [Anstrengung?][],Check-up questions A_3 [Langeweile?][],Check-up questions A_3 [Schmerzen?][],counts...48,Check-up questions A_4 [Anstrengung?][],Check-up questions A_4 [Langeweile?][],Check-up questions A_4 [Schmerzen?][],counts...52,"Bitte gib an, wie sehr du folgenden Aussagen im Moment zustimmst. [Die Zeit scheint langsamer zu vergehen als sonst.]...53","Bitte gib an, wie sehr du folgenden Aussagen im Moment zustimmst. [Ich bin leicht abgelenkt.]...54","Bitte gib an, wie sehr du folgenden Aussagen im Moment zustimmst. [Ich fühle mich zu Taten gedrängt, die keinerlei Bedeutung für mich haben.]...55","Bitte gib an, wie sehr du folgenden Aussagen im Moment zustimmst. [Ich fühle mich gelangweilt.]...56","Bitte gib an, wie sehr du folgenden Aussagen im Moment zustimmst. [Ich verschwende gerade Zeit, die ich sonst besser nutzen könnte.]...57","Bitte gib an, wie sehr du folgenden Aussagen im Moment zustimmst. [Meine Gedanken schweifen umher.]...58","Bitte gib an, wie sehr du folgenden Aussagen im Moment zustimmst. [Ich möchte, dass etwas passiert, doch kann ich nicht genau sagen was.]...59","Bitte gib an, wie sehr du folgenden Aussagen im Moment zustimmst. [Ich fühle mich, als würde ich nur herumstehen und darauf warten, dass etwas passiert.]...60",Vielen Dank für das Ausfüllen der Fragen. Melde dich nun bei der Versuchsleitung. [Ich bin die Versuchsleitung / I am the tester]...61,"Bitte gib an, wie sehr du folgenden Aussagen im Moment zustimmst. [Die Zeit scheint langsamer zu vergehen als sonst.]...62","Bitte gib an, wie sehr du folgenden Aussagen im Moment zustimmst. [Ich bin leicht abgelenkt.]...63","Bitte gib an, wie sehr du folgenden Aussagen im Moment zustimmst. [Ich fühle mich zu Taten gedrängt, die keinerlei Bedeutung für mich haben.]...64","Bitte gib an, wie sehr du folgenden Aussagen im Moment zustimmst. [Ich fühle mich gelangweilt.]...65","Bitte gib an, wie sehr du folgenden Aussagen im Moment zustimmst. [Ich verschwende gerade Zeit, die ich sonst besser nutzen könnte.]...66","Bitte gib an, wie sehr du folgenden Aussagen im Moment zustimmst. [Meine Gedanken schweifen umher.]...67","Bitte gib an, wie sehr du folgenden Aussagen im Moment zustimmst. [Ich möchte, dass etwas passiert, doch kann ich nicht genau sagen was.]...68","Bitte gib an, wie sehr du folgenden Aussagen im Moment zustimmst. [Ich fühle mich, als würde ich nur herumstehen und darauf warten, dass etwas passiert.]...69",Vielen Dank für das Ausfüllen der Fragen. Melde dich nun bei der Versuchsleitung. [Ich bin die Versuchsleitung / I am the tester]...70,Check-up questions B Baseline [Anstrengung?][],Check-up questions B Baseline [Langeweile?][],Check-up questions B Baseline [Schmerzen?][],Check-up questions B_1 [Anstrengung?][],Check-up questions B_1 [Langeweile?][],Check-up questions B_1 [Schmerzen?][],counts...77,Check-up questions B_2 [Anstrengung?][],Check-up questions B_2 [Langeweile?][],Check-up questions B_2 [Schmerzen?][],counts...81,Check-up questions B_3 [Anstrengung?][],Check-up questions B_3 [Langeweile?][],Check-up questions B_3 [Schmerzen?][],counts...85,Check-up questions B_4 [Anstrengung?][],Check-up questions B_4 [Langeweile?][],Check-up questions B_4 [Schmerzen?][],counts...89,"Bitte gib an, wie sehr du folgenden Aussagen im Moment zustimmst. [Die Zeit scheint langsamer zu vergehen als sonst.]...90","Bitte gib an, wie sehr du folgenden Aussagen im Moment zustimmst. [Ich bin leicht abgelenkt.]...91","Bitte gib an, wie sehr du folgenden Aussagen im Moment zustimmst. [Ich fühle mich zu Taten gedrängt, die keinerlei Bedeutung für mich haben.]...92","Bitte gib an, wie sehr du folgenden Aussagen im Moment zustimmst. [Ich fühle mich gelangweilt.]...93","Bitte gib an, wie sehr du folgenden Aussagen im Moment zustimmst. [Ich verschwende gerade Zeit, die ich sonst besser nutzen könnte.]...94","Bitte gib an, wie sehr du folgenden Aussagen im Moment zustimmst. [Meine Gedanken schweifen umher.]...95","Bitte gib an, wie sehr du folgenden Aussagen im Moment zustimmst. [Ich möchte, dass etwas passiert, doch kann ich nicht genau sagen was.]...96","Bitte gib an, wie sehr du folgenden Aussagen im Moment zustimmst. [Ich fühle mich, als würde ich nur herumstehen und darauf warten, dass etwas passiert.]...97","Welcher Podcast hat dir besser gefallen, der erste oder der zweite?",Vielen Dank für deine Teilnahme. Übergebe den Laptop nun wieder der Versuchsleitung. [Ich bin die Versuchsleitung / I am the tester],comments:
18,NA,0,de,1148208085,26.04.2026 20:52,26.04.2026 20:56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA
19,NA,NA,de,1588452997,26.04.2026 21:43,26.04.2026 21:43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA
20,NA,14,de,1969941719,26.04.2026 22:54,26.04.2026 23:18,MA03ON12,30,männlich,76,177,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,Ja,Ja,LB_HB,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,Ja,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,Ja,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,Podcast 1,Ja,NA
21,NA,9,de,139638690,27.04.2026 09:07,27.04.2026 09:13,KA11BE12,24,weiblich,65,174,7 - stimme voll und ganz zu,7 - stimme voll und ganz zu,7 - stimme voll und ganz zu,7 - stimme voll und ganz zu,7 - stimme voll und ganz zu,7 - stimme voll und ganz zu,7 - stimme voll und ganz zu,7 - stimme voll und ganz zu,7 - stimme voll und ganz zu,7 - stimme voll und ganz zu,7 - stimme voll und ganz zu,7 - stimme voll und ganz zu,7 - stimme voll und ganz zu,7 - stimme voll und ganz zu,7 - stimme voll und ganz zu,7 - stimme voll und ganz zu,Ja,Ja,LB_HB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA
22,NA,NA,de,1519169292,27.04.2026 12:11,27.04.2026 12:11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA
23,NA,0,de,685547681,27.04.2026 12:11,27.04.2026 12:12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA
24,NA,11,de,179675345,27.04.2026 12:13,27.04.2026 12:38,MA02,23,divers,123,180,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Ja,Ja,LB_HB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,Ja,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA
25,NA,2,de,402220602,27.04.2026 12:13,27.04.2026 12:16,BA05AI17,28,männlich,86,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA
27,11.05.2026 16:02,17,de,1176227276,11.05.2026 15:33,11.05.2026 16:02,TE00ST00,20,weiblich,100,180,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,Ja,Ja,LB_HB,1,1,1,1,1,1,10,1,1,1,10,10,10,10,10,1,1,1,10,4,4,4,4,4,4,4,4,Ja,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,1 - stimme überhaupt nicht zu,Ja,1,1,1,1,1,1,10,1,1,1,10,1,1,1,1,11,1,1,10,4,4,4,4,4,4,4,4,Podcast 1,Ja,NA
29,NA,0,de,829443051,13.05.2026 13:24,13.05.2026 13:24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA
