ID,condition,expected_counter_readings,available_counter_readings,missing_counter_readings,documented_missing_readings,unexpected_missing_readings,invalid_values_converted_to_na,counter_sequence_decreased,review_status
AN06AN18,HB,4,4,0,0,0,0,FALSE,COMPLETE
AN06AN18,LB,4,4,0,0,0,0,TRUE,VALID_WITH_SEQUENCE_WARNING
AN07IE11,HB,4,4,0,0,0,0,FALSE,COMPLETE
AN07IE11,LB,4,4,0,0,0,0,FALSE,COMPLETE
AN11ST11,HB,4,4,0,0,0,0,FALSE,COMPLETE
AN11ST11,LB,4,4,0,0,0,0,FALSE,COMPLETE
AN15AV09,HB,4,4,0,0,0,0,FALSE,COMPLETE
AN15AV09,LB,4,4,0,0,0,0,FALSE,COMPLETE
AN23BE15,HB,4,4,0,0,0,0,FALSE,COMPLETE
AN23BE15,LB,4,4,0,0,0,0,FALSE,COMPLETE
AN29RA22,HB,4,4,0,0,0,0,FALSE,COMPLETE
AN29RA22,LB,4,4,0,0,0,0,FALSE,COMPLETE
BE06LL24,HB,4,4,0,0,0,0,FALSE,COMPLETE
BE06LL24,LB,4,4,0,0,0,0,FALSE,COMPLETE
BG22OE24,HB,4,4,0,0,0,0,TRUE,VALID_WITH_SEQUENCE_WARNING
BG22OE24,LB,4,4,0,0,0,0,FALSE,COMPLETE
BI20OE24,HB,4,4,0,0,0,0,FALSE,COMPLETE
BI20OE24,LB,4,4,0,0,0,0,FALSE,COMPLETE
CA04TU11,HB,4,4,0,0,0,0,FALSE,COMPLETE
CA04TU11,LB,4,4,0,0,0,0,FALSE,COMPLETE
CA11UR11,HB,4,4,0,0,0,0,FALSE,COMPLETE
CA11UR11,LB,4,4,0,0,0,0,FALSE,COMPLETE
CH08TU30,HB,4,4,0,0,0,0,FALSE,COMPLETE
CH08TU30,LB,4,4,0,0,0,0,FALSE,COMPLETE
CH10AL22,HB,4,4,0,0,0,0,FALSE,COMPLETE
CH10AL22,LB,4,4,0,0,0,0,FALSE,COMPLETE
CH10AN25,HB,4,4,0,0,0,0,FALSE,COMPLETE
CH10AN25,LB,4,4,0,0,0,0,FALSE,COMPLETE
CH11RE22,HB,4,4,0,0,0,0,FALSE,COMPLETE
CH11RE22,LB,4,4,0,0,0,0,FALSE,COMPLETE
CH18EU28,HB,4,4,0,0,0,0,FALSE,COMPLETE
CH18EU28,LB,4,4,0,0,0,0,FALSE,COMPLETE
CL22OE02,HB,4,4,0,0,0,0,FALSE,COMPLETE
CL22OE02,LB,4,4,0,0,0,0,FALSE,COMPLETE
CL23ON05,HB,4,4,0,0,0,0,FALSE,COMPLETE
CL23ON05,LB,4,4,0,0,0,0,FALSE,COMPLETE
DI16UB31,HB,4,4,0,0,0,0,FALSE,COMPLETE
DI16UB31,LB,4,4,0,0,0,0,FALSE,COMPLETE
DO11UB30,HB,4,4,0,0,0,0,FALSE,COMPLETE
