ID,scale,condition,timepoint,expected_items,available_items,missing_items,documented_missing_items,unexpected_missing_items,invalid_values_converted_to_na,score_available,review_status
AN06AN18,MSBS,HB,baseline,8,8,0,0,0,0,TRUE,COMPLETE
AN06AN18,MSBS,HB,post,8,8,0,0,0,0,TRUE,COMPLETE
AN06AN18,MSBS,LB,baseline,8,8,0,0,0,0,TRUE,COMPLETE
AN06AN18,MSBS,LB,post,8,8,0,0,0,0,TRUE,COMPLETE
AN06AN18,SBPS,,trait,8,8,0,0,0,0,TRUE,COMPLETE
AN07IE11,MSBS,HB,baseline,8,8,0,0,0,0,TRUE,COMPLETE
AN07IE11,MSBS,HB,post,8,8,0,0,0,0,TRUE,COMPLETE
AN07IE11,MSBS,LB,baseline,8,8,0,0,0,0,TRUE,COMPLETE
AN07IE11,MSBS,LB,post,8,8,0,0,0,0,TRUE,COMPLETE
AN07IE11,SBPS,,trait,8,8,0,0,0,0,TRUE,COMPLETE
AN11ST11,MSBS,HB,baseline,8,8,0,0,0,0,TRUE,COMPLETE
AN11ST11,MSBS,HB,post,8,8,0,0,0,0,TRUE,COMPLETE
AN11ST11,MSBS,LB,baseline,8,8,0,0,0,0,TRUE,COMPLETE
AN11ST11,MSBS,LB,post,8,8,0,0,0,0,TRUE,COMPLETE
AN11ST11,SBPS,,trait,8,8,0,0,0,0,TRUE,COMPLETE
AN15AV09,MSBS,HB,baseline,8,8,0,0,0,0,TRUE,COMPLETE
AN15AV09,MSBS,HB,post,8,8,0,0,0,0,TRUE,COMPLETE
AN15AV09,MSBS,LB,baseline,8,8,0,0,0,0,TRUE,COMPLETE
AN15AV09,MSBS,LB,post,8,8,0,0,0,0,TRUE,COMPLETE
AN15AV09,SBPS,,trait,8,8,0,0,0,0,TRUE,COMPLETE
AN23BE15,MSBS,HB,baseline,8,8,0,0,0,0,TRUE,COMPLETE
AN23BE15,MSBS,HB,post,8,8,0,0,0,0,TRUE,COMPLETE
AN23BE15,MSBS,LB,baseline,8,8,0,0,0,0,TRUE,COMPLETE
AN23BE15,MSBS,LB,post,8,8,0,0,0,0,TRUE,COMPLETE
AN23BE15,SBPS,,trait,8,8,0,0,0,0,TRUE,COMPLETE
AN29RA22,MSBS,HB,baseline,8,8,0,0,0,0,TRUE,COMPLETE
AN29RA22,MSBS,HB,post,8,8,0,0,0,0,TRUE,COMPLETE
AN29RA22,MSBS,LB,baseline,8,8,0,0,0,0,TRUE,COMPLETE
AN29RA22,MSBS,LB,post,8,8,0,0,0,0,TRUE,COMPLETE
AN29RA22,SBPS,,trait,8,8,0,0,0,0,TRUE,COMPLETE
BE06LL24,MSBS,HB,baseline,8,8,0,0,0,0,TRUE,COMPLETE
BE06LL24,MSBS,HB,post,8,8,0,0,0,0,TRUE,COMPLETE
BE06LL24,MSBS,LB,baseline,8,8,0,0,0,0,TRUE,COMPLETE
BE06LL24,MSBS,LB,post,8,8,0,0,0,0,TRUE,COMPLETE
BE06LL24,SBPS,,trait,8,8,0,0,0,0,TRUE,COMPLETE
