ID,survey_year,response_id,age,gender,gender_original,weight_kg,height_cm,trial_order,survey_trial_order,psychopy_trial_order,order_conflict,source_file,source_row
AN06AN18,2026,44,26,female,weiblich,51,157,LB_HB,LB_HB,LB_HB,FALSE,limesurvey_2026_deidentified.csv,25
AN07IE11,2026,43,24,male,männlich,68,177,HB_LB,HB_LB,HB_LB,FALSE,limesurvey_2026_deidentified.csv,24
AN11ST11,2024,29,23,female,weiblich,64,176,HB_LB,HB_LB,HB_LB,FALSE,limesurvey_2024_deidentified.csv,13
AN15AV09,2024,32,22,male,männlich,78,180,LB_HB,LB_HB,LB_HB,FALSE,limesurvey_2024_deidentified.csv,18
AN23BE15,2026,38,24,male,männlich,74,182,HB_LB,HB_LB,HB_LB,FALSE,limesurvey_2026_deidentified.csv,19
AN29RA22,2024,49,22,female,weiblich,62,166,LB_HB,LB_HB,LB_HB,FALSE,limesurvey_2024_deidentified.csv,37
BE06LL24,2024,27,28,male,männlich,85,178,HB_LB,HB_LB,HB_LB,FALSE,limesurvey_2024_deidentified.csv,11
BG22OE24,2024,42,24,female,weiblich,66,172,LB_HB,LB_HB,LB_HB,FALSE,limesurvey_2024_deidentified.csv,30
BI20OE24,2026,40,24,female,weiblich,67,159,LB_HB,LB_HB,LB_HB,FALSE,limesurvey_2026_deidentified.csv,21
CA04TU11,2026,35,22,male,männlich,75,181,LB_HB,LB_HB,LB_HB,FALSE,limesurvey_2026_deidentified.csv,17
CA11UR11,2024,38,22,male,männlich,83,185,HB_LB,HB_LB,HB_LB,FALSE,limesurvey_2024_deidentified.csv,24
CH08TU30,2026,49,24,male,männlich,82,179,HB_LB,HB_LB,HB_LB,FALSE,limesurvey_2026_deidentified.csv,30
CH10AL22,2026,50,28,male,männlich,78,188,LB_HB,LB_HB,LB_HB,FALSE,limesurvey_2026_deidentified.csv,31
CH10AN25,2024,41,26,male,männlich,89,191,HB_LB,HB_LB,HB_LB,FALSE,limesurvey_2024_deidentified.csv,29
CH11RE22,2026,41,25,male,männlich,61,169,HB_LB,HB_LB,HB_LB,FALSE,limesurvey_2026_deidentified.csv,22
CH18EU28,2024,19,23,female,weiblich,64,173,HB_LB,HB_LB,HB_LB,FALSE,limesurvey_2024_deidentified.csv,3
CL22OE02,2024,47,23,female,weiblich,78,175,HB_LB,HB_LB,HB_LB,FALSE,limesurvey_2024_deidentified.csv,35
CL23ON05,2024,30,20,female,weiblich,53,163,LB_HB,LB_HB,LB_HB,FALSE,limesurvey_2024_deidentified.csv,14
DI16UB31,2026,46,22,female,weiblich,64,162,HB_LB,HB_LB,HB_LB,FALSE,limesurvey_2026_deidentified.csv,27
DO11UB30,2026,42,22,male,männlich,84,189,LB_HB,LB_HB,LB_HB,FALSE,limesurvey_2026_deidentified.csv,23
DO13UE03,2026,47,21,female,weiblich,78,175,LB_HB,LB_HB,LB_HB,FALSE,limesurvey_2026_deidentified.csv,28
EL30AD28,2026,39,20,female,weiblich,75,172,LB_HB,LB_HB,LB_HB,FALSE,limesurvey_2026_deidentified.csv,20
HE20ÜB06,2024,24,22,female,weiblich,68,177,LB_HB,LB_HB,LB_HB,FALSE,limesurvey_2024_deidentified.csv,8
IN06UE25,2024,33,25,female,weiblich,75,168,HB_LB,HB_LB,HB_LB,FALSE,limesurvey_2024_deidentified.csv,19
JE06AD10,2024,20,25,male,männlich,68,179,LB_HB,LB_HB,LB_HB,FALSE,limesurvey_2024_deidentified.csv,4
JO26EI26,2024,23,23,female,weiblich,72,163,HB_LB,HB_LB,HB_LB,FALSE,limesurvey_2024_deidentified.csv,7
JU20ÜC09,2024,46,25,female,weiblich,59,171,LB_HB,HB_LB,LB_HB,TRUE,limesurvey_2024_deidentified.csv,34
KA09ÜH17,2024,36,20,female,weiblich,66,170,HB_LB,HB_LB,HB_LB,FALSE,limesurvey_2024_deidentified.csv,22
KA14RE15,2026,36,24,female,weiblich,68,173,HB_LB,HB_LB,HB_LB,FALSE,limesurvey_2026_deidentified.csv,18
KE30IE06,2024,22,22,male,männlich,73,173,LB_HB,LB_HB,LB_HB,FALSE,limesurvey_2024_deidentified.csv,6
KO24IE08,2024,21,33,male,männlich,104,180,HB_LB,HB_LB,HB_LB,FALSE,limesurvey_2024_deidentified.csv,5
LE11ON12,2024,31,20,male,männlich,93,178,HB_LB,HB_LB,HB_LB,FALSE,limesurvey_2024_deidentified.csv,15
MA25UT20,2024,25,23,male,männlich,90,180,HB_LB,HB_LB,HB_LB,FALSE,limesurvey_2024_deidentified.csv,9
MI27ER17,2024,45,23,male,männlich,89,189,LB_HB,LB_HB,LB_HB,FALSE,limesurvey_2024_deidentified.csv,33
NF16CH30,2024,28,21,male,männlich,84,185,LB_HB,LB_HB,LB_HB,FALSE,limesurvey_2024_deidentified.csv,12
PE16IN18,2026,45,24,female,weiblich,60,168,LB_HB,LB_HB,LB_HB,FALSE,limesurvey_2026_deidentified.csv,26
RE13ON18,2026,51,24,male,männlich,68,181,HB_LB,HB_LB,HB_LB,FALSE,limesurvey_2026_deidentified.csv,32
SA09OR12,2024,39,23,male,männlich,84,179,LB_HB,LB_HB,LB_HB,FALSE,limesurvey_2024_deidentified.csv,27
SI21ÜR22,2024,48,26,male,männlich,95,192,HB_LB,HB_LB,HB_LB,FALSE,limesurvey_2024_deidentified.csv,36
SI22IE06,2024,37,21,male,männlich,74,182,LB_HB,LB_HB,LB_HB,FALSE,limesurvey_2024_deidentified.csv,23
TA17ER04,2024,26,25,male,männlich,77,183,LB_HB,LB_HB,LB_HB,FALSE,limesurvey_2024_deidentified.csv,10
UL01RL21,2024,44,22,female,weiblich,65,171,HB_LB,HB_LB,HB_LB,FALSE,limesurvey_2024_deidentified.csv,32
UL22ON24,2024,34,23,male,männlich,82,184,LB_HB,LB_HB,LB_HB,FALSE,limesurvey_2024_deidentified.csv,20
UR31EM17,2024,35,25,male,männlich,88,188,LB_HB,LB_HB,LB_HB,FALSE,limesurvey_2024_deidentified.csv,21
