ID,condition,expected_ratings,available_ratings,missing_ratings,invalid_values_converted_to_na,review_status
AN06AN18,HB,15,15,0,0,COMPLETE
AN06AN18,LB,15,15,0,0,COMPLETE
AN07IE11,HB,15,15,0,0,COMPLETE
AN07IE11,LB,15,15,0,0,COMPLETE
AN11ST11,HB,15,15,0,0,COMPLETE
AN11ST11,LB,15,15,0,0,COMPLETE
AN15AV09,HB,15,15,0,0,COMPLETE
AN15AV09,LB,15,15,0,0,COMPLETE
AN23BE15,HB,15,15,0,0,COMPLETE
AN23BE15,LB,15,15,0,0,COMPLETE
AN29RA22,HB,15,15,0,0,COMPLETE
AN29RA22,LB,15,15,0,0,COMPLETE
BE06LL24,HB,15,15,0,0,COMPLETE
BE06LL24,LB,15,15,0,0,COMPLETE
BG22OE24,HB,15,12,3,0,REVIEW_MISSING
BG22OE24,LB,15,15,0,0,COMPLETE
BI20OE24,HB,15,15,0,0,COMPLETE
BI20OE24,LB,15,15,0,0,COMPLETE
CA04TU11,HB,15,15,0,0,COMPLETE
CA04TU11,LB,15,15,0,0,COMPLETE
CA11UR11,HB,15,15,0,0,COMPLETE
CA11UR11,LB,15,15,0,0,COMPLETE
CH08TU30,HB,15,15,0,0,COMPLETE
CH08TU30,LB,15,15,0,0,COMPLETE
CH10AL22,HB,15,15,0,0,COMPLETE
CH10AL22,LB,15,15,0,0,COMPLETE
CH10AN25,HB,15,15,0,0,COMPLETE
CH10AN25,LB,15,15,0,0,COMPLETE
CH11RE22,HB,15,15,0,0,COMPLETE
CH11RE22,LB,15,15,0,0,COMPLETE
CH18EU28,HB,15,15,0,0,COMPLETE
CH18EU28,LB,15,15,0,0,COMPLETE
CL22OE02,HB,15,15,0,0,COMPLETE
CL22OE02,LB,15,15,0,0,COMPLETE
CL23ON05,HB,15,15,0,0,COMPLETE
CL23ON05,LB,15,15,0,0,COMPLETE
DI16UB31,HB,15,15,0,0,COMPLETE
DI16UB31,LB,15,15,0,0,COMPLETE
DO11UB30,HB,15,15,0,0,COMPLETE
DO11UB30,LB,15,15,0,0,COMPLETE
DO13UE03,HB,15,0,15,0,REVIEW_MISSING
DO13UE03,LB,15,15,0,0,COMPLETE
EL30AD28,HB,15,15,0,0,COMPLETE
EL30AD28,LB,15,15,0,0,COMPLETE
HE20ÜB06,HB,15,15,0,0,COMPLETE
HE20ÜB06,LB,15,15,0,0,COMPLETE
IN06UE25,HB,15,15,0,0,COMPLETE
IN06UE25,LB,15,15,0,0,COMPLETE
JE06AD10,HB,15,15,0,0,COMPLETE
JE06AD10,LB,15,15,0,0,COMPLETE
JO26EI26,HB,15,15,0,0,COMPLETE
JO26EI26,LB,15,15,0,0,COMPLETE
JU20ÜC09,HB,15,15,0,0,COMPLETE
JU20ÜC09,LB,15,15,0,0,COMPLETE
KA09ÜH17,HB,15,15,0,0,COMPLETE
KA09ÜH17,LB,15,15,0,0,COMPLETE
KA14RE15,HB,15,15,0,0,COMPLETE
KA14RE15,LB,15,0,15,15,REVIEW_MISSING
KE30IE06,HB,15,15,0,0,COMPLETE
KE30IE06,LB,15,15,0,0,COMPLETE
KO24IE08,HB,15,15,0,0,COMPLETE
KO24IE08,LB,15,15,0,0,COMPLETE
LE11ON12,HB,15,15,0,0,COMPLETE
LE11ON12,LB,15,15,0,0,COMPLETE
MA25UT20,HB,15,15,0,0,COMPLETE
MA25UT20,LB,15,15,0,0,COMPLETE
MI27ER17,HB,15,15,0,0,COMPLETE
MI27ER17,LB,15,15,0,0,COMPLETE
NF16CH30,HB,15,15,0,0,COMPLETE
NF16CH30,LB,15,15,0,0,COMPLETE
PE16IN18,HB,15,15,0,0,COMPLETE
PE16IN18,LB,15,15,0,0,COMPLETE
RE13ON18,HB,15,15,0,0,COMPLETE
RE13ON18,LB,15,15,0,0,COMPLETE
SA09OR12,HB,15,15,0,0,COMPLETE
SA09OR12,LB,15,15,0,0,COMPLETE
SI21ÜR22,HB,15,15,0,0,COMPLETE
SI21ÜR22,LB,15,15,0,0,COMPLETE
SI22IE06,HB,15,15,0,0,COMPLETE
SI22IE06,LB,15,15,0,0,COMPLETE
TA17ER04,HB,15,15,0,0,COMPLETE
TA17ER04,LB,15,15,0,0,COMPLETE
UL01RL21,HB,15,15,0,0,COMPLETE
UL01RL21,LB,15,15,0,0,COMPLETE
UL22ON24,HB,15,15,0,0,COMPLETE
UL22ON24,LB,15,15,0,0,COMPLETE
UR31EM17,HB,15,15,0,0,COMPLETE
UR31EM17,LB,15,15,0,0,COMPLETE
