source_file,ID,Block,Condition,arm_01,arm_02,arm_03,arm_04,head_01,head_02,head_03,head_04,leg_01,leg_02,leg_03,leg_04,other_01,other_02,other_03,other_04,total_01,total_02,total_03,total_04,validation_status,critical_issue,warning_issue
AN06AN18_A_LB.csv,AN06AN18,A,LB,3,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,4,1,1,1,VALID,,
AN06AN18_B_HB.csv,AN06AN18,B,HB,3,0,1,2,1,1,2,0,0,0,1,0,1,0,0,0,5,1,4,2,VALID,,
AN07IE11_A_HB.csv,AN07IE11,A,HB,0,0,2,2,0,0,0,0,0,0,2,4,1,0,0,3,1,0,4,9,VALID,,
AN07IE11_B_LB.csv,AN07IE11,B,LB,0,1,0,2,0,0,0,0,3,1,0,3,3,2,1,2,6,4,1,7,VALID,,
AN11ST11_A_HB.csv,AN11ST11,A,HB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,,
AN11ST11_B_LB.csv,AN11ST11,B,LB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,,
AN15AV09_A_LB.csv,AN15AV09,A,LB,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,VALID_WITH_WARNING,,1 timestamp(s) cannot be matched to clicked_name
AN15AV09_B_HB.csv,AN15AV09,B,HB,2,3,4,5,0,0,0,1,0,1,0,1,1,0,1,0,3,4,5,7,VALID,,
AN23BE15_A_HB.csv,AN23BE15,A,HB,0,2,1,2,0,0,1,2,0,1,0,0,1,2,1,2,1,5,3,6,VALID,,
AN23BE15_B_LB.csv,AN23BE15,B,LB,1,2,2,0,0,2,0,1,0,0,0,2,1,1,3,2,2,5,5,5,VALID,,
AN29RA22_A_LB.csv,AN29RA22,A,LB,0,1,0,0,0,0,1,1,0,0,0,1,0,1,2,4,0,2,3,6,VALID,,
AN29RA22_B_HB.csv,AN29RA22,B,HB,1,0,0,2,2,2,4,5,1,1,1,2,1,1,1,4,5,4,6,13,VALID,,
BE06LL24_A_HB.csv,BE06LL24,A,HB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,VALID,,
BE06LL24_B_LB.csv,BE06LL24,B,LB,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,VALID,,
BG22OE24_A_LB.csv,BG22OE24,A,LB,0,0,0,0,1,0,1,0,0,0,0,0,3,1,1,1,4,1,2,1,VALID,,
BG22OE24_B_HB.csv,BG22OE24,B,HB,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,3,3,0,0,VALID,,
BI20OE24_A_LB.csv,BI20OE24,A,LB,3,4,3,12,1,1,3,2,5,1,0,2,4,2,3,4,13,8,9,20,VALID,,
BI20OE24_B_HB.csv,BI20OE24,B,HB,5,5,5,6,2,0,3,2,0,1,3,3,2,1,4,4,9,7,15,15,VALID,,
CA04TU11_A_LB.csv,CA04TU11,A,LB,1,2,0,3,1,1,1,1,0,1,0,1,1,2,2,1,3,6,3,6,VALID,,
CA04TU11_B_HB.csv,CA04TU11,B,HB,1,0,2,1,2,0,0,0,1,1,1,0,2,4,4,4,6,5,7,5,VALID,,
CA11UR11_A_HB.csv,CA11UR11,A,HB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,,
CA11UR11_B_LB.csv,CA11UR11,B,LB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,,
CH08TU30_A_HB.csv,CH08TU30,A,HB,0,1,1,1,1,1,4,4,0,0,0,2,0,0,1,2,1,2,6,9,VALID,,
CH08TU30_B_LB.csv,CH08TU30,B,LB,1,1,0,2,0,0,1,5,1,0,2,3,0,0,3,0,2,1,6,10,VALID,,
CH10AL22_A_LB.csv,CH10AL22,A,LB,3,4,1,1,3,0,0,0,1,0,1,1,4,0,0,0,11,4,2,2,VALID,,
CH10AL22_B_HB.csv,CH10AL22,B,HB,4,2,6,5,1,2,1,4,0,2,1,5,0,2,2,1,5,8,10,15,VALID_WITH_WARNING,,1 timestamp(s) cannot be matched to clicked_name
CH10AN25_A_HB.csv,CH10AN25,A,HB,0,1,2,0,0,0,0,1,1,1,0,1,2,1,2,1,3,3,4,3,VALID,,
CH10AN25_B_LB.csv,CH10AN25,B,LB,1,0,0,1,0,0,0,0,0,2,2,0,1,1,1,2,2,3,3,3,VALID,,
CH11RE22_A_HB.csv,CH11RE22,A,HB,1,4,3,2,0,0,0,0,0,0,0,0,0,0,0,2,1,4,3,4,VALID,,
CH11RE22_B_LB.csv,CH11RE22,B,LB,4,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,4,2,1,2,VALID,,
CH18EU28_A_HB.csv,CH18EU28,A,HB,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,2,1,1,VALID,,
CH18EU28_B_LB.csv,CH18EU28,B,LB,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,2,1,1,3,VALID,,
CL22OE02_A_HB.csv,CL22OE02,A,HB,1,6,13,12,0,0,0,0,0,6,10,23,0,1,2,0,1,13,25,35,VALID,,
CL22OE02_B_LB.csv,CL22OE02,B,LB,2,1,3,16,1,0,1,0,13,2,20,15,0,0,0,0,16,3,24,31,VALID,,
CL23ON05_A_LB.csv,CL23ON05,A,LB,2,0,0,0,0,0,0,1,0,0,0,0,3,2,4,2,5,2,4,3,VALID,,
CL23ON05_B_HB.csv,CL23ON05,B,HB,0,0,1,0,1,3,0,1,1,0,0,0,0,2,4,4,2,5,5,5,VALID,,
DI16UB31_A_HB.csv,DI16UB31,A,HB,3,2,3,3,1,1,2,0,0,0,0,0,3,2,1,1,7,5,6,4,VALID,,
DI16UB31_B_LB.csv,DI16UB31,B,LB,0,1,4,3,0,1,1,1,0,0,0,0,4,1,2,1,4,3,7,5,VALID,,
DO11UB30_A_LB.csv,DO11UB30,A,LB,0,4,2,6,0,0,4,3,0,1,4,6,0,1,3,0,0,6,13,15,VALID,,
DO11UB30_B_HB.csv,DO11UB30,B,HB,1,7,5,4,0,2,1,0,0,10,2,5,7,3,6,2,8,22,14,11,VALID,,
DO13UE03_A_LB.csv,DO13UE03,A,LB,23,15,27,29,1,2,2,4,9,4,7,13,2,1,6,5,35,22,42,51,VALID,,
DO13UE03_B_HB.csv,DO13UE03,B,HB,27,25,23,39,1,5,3,7,13,8,7,10,4,6,8,17,45,44,41,73,VALID,,
EL30AD28_A_LB.csv,EL30AD28,A,LB,0,1,2,0,0,0,0,1,0,0,0,0,1,1,2,1,1,2,4,2,VALID,,
