source,ID_original,ID_normalized,balance_ID,edit_distance,match_status,confirmed_source_only
balance,AN06AN18,AN06AN18,AN06AN18,0,EXACT,FALSE
balance,AN07IE11,AN07IE11,AN07IE11,0,EXACT,FALSE
balance,AN11ST11,AN11ST11,AN11ST11,0,EXACT,FALSE
balance,AN15AV09,AN15AV09,AN15AV09,0,EXACT,FALSE
balance,AN23BE15,AN23BE15,AN23BE15,0,EXACT,FALSE
balance,AN29RA22,AN29RA22,AN29RA22,0,EXACT,FALSE
balance,BE06LL24,BE06LL24,BE06LL24,0,EXACT,FALSE
balance,BG22OE24,BG22OE24,BG22OE24,0,EXACT,FALSE
balance,BI20OE24,BI20OE24,BI20OE24,0,EXACT,FALSE
balance,CA04TU11,CA04TU11,CA04TU11,0,EXACT,FALSE
balance,CA11UR11,CA11UR11,CA11UR11,0,EXACT,FALSE
balance,CH08TU30,CH08TU30,CH08TU30,0,EXACT,FALSE
balance,CH10AL22,CH10AL22,CH10AL22,0,EXACT,FALSE
balance,CH11RE22,CH11RE22,CH11RE22,0,EXACT,FALSE
balance,CL22OE02,CL22OE02,CL22OE02,0,EXACT,FALSE
balance,CL23ON05,CL23ON05,CL23ON05,0,EXACT,FALSE
balance,DI16UB31,DI16UB31,DI16UB31,0,EXACT,FALSE
balance,DO11UB30,DO11UB30,DO11UB30,0,EXACT,FALSE
balance,EL30AD28,EL30AD28,EL30AD28,0,EXACT,FALSE
balance,HE20UB06,HE20UB06,HE20UB06,0,EXACT,FALSE
balance,IN06UE25,IN06UE25,IN06UE25,0,EXACT,FALSE
balance,JE06AD10,JE06AD10,JE06AD10,0,EXACT,FALSE
balance,JO26EI26,JO26EI26,JO26EI26,0,EXACT,FALSE
balance,JU20UC09,JU20UC09,JU20UC09,0,EXACT,FALSE
balance,KA09UH17,KA09UH17,KA09UH17,0,EXACT,FALSE
balance,KA14RE15,KA14RE15,KA14RE15,0,EXACT,FALSE
balance,KE30IE06,KE30IE06,KE30IE06,0,EXACT,FALSE
balance,KO24IE08,KO24IE08,KO24IE08,0,EXACT,FALSE
balance,LE11ON12,LE11ON12,LE11ON12,0,EXACT,FALSE
balance,MA25UT20,MA25UT20,MA25UT20,0,EXACT,FALSE
balance,MI27ER17,MI27ER17,MI27ER17,0,EXACT,FALSE
balance,NF16CH30,NF16CH30,NF16CH30,0,EXACT,FALSE
balance,PE16IN18,PE16IN18,PE16IN18,0,EXACT,FALSE
balance,RE13ON18,RE13ON18,RE13ON18,0,EXACT,FALSE
balance,SA09OR12,SA09OR12,SA09OR12,0,EXACT,FALSE
balance,SI21UR22,SI21UR22,SI21UR22,0,EXACT,FALSE
balance,SI22IE06,SI22IE06,SI22IE06,0,EXACT,FALSE
balance,TA17ER04,TA17ER04,TA17ER04,0,EXACT,FALSE
balance,UL01RL21,UL01RL21,UL01RL21,0,EXACT,FALSE
balance,UL22ON24,UL22ON24,UL22ON24,0,EXACT,FALSE
balance,UR31EM17,UR31EM17,UR31EM17,0,EXACT,FALSE
limesurvey,CH10AN25,CH10AN25,,,CONFIRMED_SOURCE_ONLY_EXCLUDED_FROM_MASTER,TRUE
limesurvey,CH18EU28,CH18EU28,,,CONFIRMED_SOURCE_ONLY_EXCLUDED_FROM_MASTER,TRUE
limesurvey,DO13UE03,DO13UE03,,,CONFIRMED_SOURCE_ONLY_EXCLUDED_FROM_MASTER,TRUE
limesurvey,AN06AN18,AN06AN18,AN06AN18,0,EXACT,FALSE
limesurvey,AN07IE11,AN07IE11,AN07IE11,0,EXACT,FALSE
limesurvey,AN11ST11,AN11ST11,AN11ST11,0,EXACT,FALSE
limesurvey,AN15AV09,AN15AV09,AN15AV09,0,EXACT,FALSE
limesurvey,AN23BE15,AN23BE15,AN23BE15,0,EXACT,FALSE
limesurvey,AN29RA22,AN29RA22,AN29RA22,0,EXACT,FALSE
limesurvey,BE06LL24,BE06LL24,BE06LL24,0,EXACT,FALSE
limesurvey,BG22OE24,BG22OE24,BG22OE24,0,EXACT,FALSE
limesurvey,BI20OE24,BI20OE24,BI20OE24,0,EXACT,FALSE
limesurvey,CA04TU11,CA04TU11,CA04TU11,0,EXACT,FALSE
limesurvey,CA11UR11,CA11UR11,CA11UR11,0,EXACT,FALSE
limesurvey,CH08TU30,CH08TU30,CH08TU30,0,EXACT,FALSE
limesurvey,CH10AL22,CH10AL22,CH10AL22,0,EXACT,FALSE
limesurvey,CH11RE22,CH11RE22,CH11RE22,0,EXACT,FALSE
limesurvey,CL22OE02,CL22OE02,CL22OE02,0,EXACT,FALSE
limesurvey,CL23ON05,CL23ON05,CL23ON05,0,EXACT,FALSE
limesurvey,DI16UB31,DI16UB31,DI16UB31,0,EXACT,FALSE
limesurvey,DO11UB30,DO11UB30,DO11UB30,0,EXACT,FALSE
limesurvey,EL30AD28,EL30AD28,EL30AD28,0,EXACT,FALSE
