ID,balance_present,psychopy_present,limesurvey_present,merge_status
AN06AN18,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
AN07IE11,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
AN11ST11,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
AN15AV09,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
AN23BE15,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
AN29RA22,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
BE06LL24,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
BG22OE24,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
BI20OE24,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
CA04TU11,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
CA11UR11,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
CH08TU30,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
CH10AL22,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
CH11RE22,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
CL22OE02,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
CL23ON05,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
DI16UB31,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
DO11UB30,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
EL30AD28,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
HE20UB06,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
IN06UE25,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
JE06AD10,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
JO26EI26,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
JU20UC09,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
KA09UH17,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
KA14RE15,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
KE30IE06,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
KO24IE08,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
LE11ON12,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
MA25UT20,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
MI27ER17,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
NF16CH30,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
PE16IN18,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
RE13ON18,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
SA09OR12,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
SI21UR22,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
SI22IE06,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
TA17ER04,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
UL01RL21,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
UL22ON24,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
UR31EM17,TRUE,TRUE,TRUE,COMPLETE_THREE_SOURCE_MATCH
CH10AN25,FALSE,TRUE,TRUE,CONFIRMED_SOURCE_ONLY_EXCLUDED_FROM_MASTER
CH18EU28,FALSE,TRUE,TRUE,CONFIRMED_SOURCE_ONLY_EXCLUDED_FROM_MASTER
DO13UE03,FALSE,TRUE,TRUE,CONFIRMED_SOURCE_ONLY_EXCLUDED_FROM_MASTER
