ID,trial_order,arm_LB_01,arm_HB_01,arm_LB_02,arm_HB_02,arm_LB_03,arm_HB_03,arm_LB_04,arm_HB_04,head_LB_01,head_HB_01,head_LB_02,head_HB_02,head_LB_03,head_HB_03,head_LB_04,head_HB_04,leg_LB_01,leg_HB_01,leg_LB_02,leg_HB_02,leg_LB_03,leg_HB_03,leg_LB_04,leg_HB_04,other_LB_01,other_HB_01,other_LB_02,other_HB_02,other_LB_03,other_HB_03,other_LB_04,other_HB_04,total_LB_01,total_HB_01,total_LB_02,total_HB_02,total_LB_03,total_HB_03,total_LB_04,total_HB_04,arm_HB_total,head_HB_total,leg_HB_total,other_HB_total,all_movements_HB_total,arm_LB_total,head_LB_total,leg_LB_total,other_LB_total,all_movements_LB_total
AN06AN18,LB_HB,3,3,0,0,0,1,1,2,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,4,5,1,1,1,4,1,2,6,4,1,1,12,4,0,0,3,7
AN07IE11,HB_LB,0,0,1,0,0,2,2,2,0,0,0,0,0,0,0,0,3,0,1,0,0,2,3,4,3,1,2,0,1,0,2,3,6,1,4,0,1,4,7,9,4,0,6,4,14,3,0,7,8,18
AN11ST11,HB_LB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AN15AV09,LB_HB,1,2,2,3,2,4,2,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,3,2,4,2,5,2,7,14,1,2,2,19,7,0,0,0,7
AN23BE15,HB_LB,1,0,2,2,2,1,0,2,0,0,2,0,0,1,1,2,0,0,0,1,0,0,2,0,1,1,1,2,3,1,2,2,2,1,5,5,5,3,5,6,5,3,1,6,15,5,3,2,7,17
AN29RA22,LB_HB,0,1,1,0,0,0,0,2,0,2,0,2,1,4,1,5,0,1,0,1,0,1,1,2,0,1,1,1,2,1,4,4,0,5,2,4,3,6,6,13,3,13,5,7,28,1,2,1,7,11
BE06LL24,HB_LB,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,2,1,1,0,0,2
BG22OE24,LB_HB,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,2,1,3,1,0,1,0,4,3,1,3,2,0,1,0,0,0,1,5,6,0,2,0,6,8
BI20OE24,LB_HB,3,5,4,5,3,5,12,6,1,2,1,0,3,3,2,2,5,0,1,1,0,3,2,3,4,2,2,1,3,4,4,4,13,9,8,7,9,15,20,15,21,7,7,11,46,22,7,8,13,50
CA04TU11,LB_HB,1,1,2,0,0,2,3,1,1,2,1,0,1,0,1,0,0,1,1,1,0,1,1,0,1,2,2,4,2,4,1,4,3,6,6,5,3,7,6,5,4,2,3,14,23,6,4,2,6,18
