thisRow.t,notes,Welcome_A.started,Welcome.started,mouse.started,Welcome_A.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Condition_A.started,mouse_3.started,ConditionA.started,Condition_A.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Block_A_01.started,Klicks_Block_A_01.started,Arms_Block_A_01.started,Legs_Block_A_01.started,Other_Block_A_01.started,Head_Block_A_01.started,Block_A_01.stopped,Klicks_Block_A_01.x,Klicks_Block_A_01.y,Klicks_Block_A_01.leftButton,Klicks_Block_A_01.midButton,Klicks_Block_A_01.rightButton,Klicks_Block_A_01.time,Klicks_Block_A_01.clicked_name,Filler_A_01.started,mouse_5.started,Text_FIller_A01.started,Filler_A_01.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,Block_A_02.started,Klicks_Block_A_02.started,Arms_Block_A_02.started,Legs_Block_A_02.started,Other_Block_A_02.started,Head_Block_A_02.started,Block_A_02.stopped,Klicks_Block_A_02.x,Klicks_Block_A_02.y,Klicks_Block_A_02.leftButton,Klicks_Block_A_02.midButton,Klicks_Block_A_02.rightButton,Klicks_Block_A_02.time,Klicks_Block_A_02.clicked_name,Filler_A_02.started,mouse_6.started,Text_Filler_A_02.started,Filler_A_02.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Block_A_03.started,Klicks_Block_A_03.started,Arms_Block_A_03.started,Legs_Block_A_03.started,Other_Block_A_03.started,Head_Block_A_03.started,Block_A_03.stopped,Klicks_Block_A_03.x,Klicks_Block_A_03.y,Klicks_Block_A_03.leftButton,Klicks_Block_A_03.midButton,Klicks_Block_A_03.rightButton,Klicks_Block_A_03.time,Klicks_Block_A_03.clicked_name,Filler_A_03.started,mouse_7.started,Text_Filler_A_03.started,Filler_A_03.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Block_A_04.started,Klicks_Block_A_04.started,Arms_Block_A_04.started,Legs_Block_A_04.started,Other_Block_A_04.started,Head_Block_A_04.started,Block_A_04.stopped,Klicks_Block_A_04.x,Klicks_Block_A_04.y,Klicks_Block_A_04.leftButton,Klicks_Block_A_04.midButton,Klicks_Block_A_04.rightButton,Klicks_Block_A_04.time,Klicks_Block_A_04.clicked_name,Goodbye.started,GoodBye.started,mouse_4.started,Goodbye.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,participant,session,Condition,date,expName,psychopyVersion,frameRate,expStart,
,,0.007788999937474728,0.029440800193697214,0.008040999993681908,4.060073200147599,[0.8388888888888889],[-0.14629629629629629],[1],[0],[0],[4.05116769997403],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH101AN25_A_HB_,001,,2024-07-01_11h46.18.751,Balance_and_VR_A,2024.1.5,None,2024-07-01 12h01.04.449035 +0200,
,,,,,,,,,,,,4.060192400123924,3.2899901270866394e-05,4.0757341999560595,1980.5758298998699,[0.8388888888888889],[-0.14629629629629629],[1],[0],[0],[1976.5151135004126],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH101AN25_A_HB_,001,,2024-07-01_11h46.18.751,Balance_and_VR_A,2024.1.5,None,2024-07-01 12h01.04.449035 +0200,
,,,,,,,,,,,,,,,,,,,,,,1980.5759641998447,6.220024079084396e-05,1980.6268929000944,1980.6268929000944,1980.6268929000944,1980.6268929000944,2190.587364899926,"[0.8388888888888889, 0.35, -0.3388888888888889, 0.25925925925925924]","[-0.14629629629629629, 0.33240740740740743, -0.19537037037037036, 0.1814814814814815]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.0007219999097287655, 164.19434220017865, 171.29179059993476, 193.15120760025457]","['Other_Block_A_01', 'Legs_Block_A_01', 'Other_Block_A_01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH101AN25_A_HB_,001,,2024-07-01_11h46.18.751,Balance_and_VR_A,2024.1.5,None,2024-07-01 12h01.04.449035 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2190.587560699787,0.011637200135737658,2190.603653999977,2201.8842943999916,[0.25925925925925924],[0.1814814814814815],[1],[0],[0],[11.296160399913788],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH101AN25_A_HB_,001,,2024-07-01_11h46.18.751,Balance_and_VR_A,2024.1.5,None,2024-07-01 12h01.04.449035 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2201.8844106998295,4.730001091957092e-05,2201.907134700101,2201.907134700101,2201.907134700101,2201.907134700101,2411.895861200057,"[0.25925925925925924, 0.25925925925925924, 0.4046296296296296, -0.2638888888888889]","[0.1814814814814815, 0.1814814814814815, -0.18055555555555555, -0.13796296296296295]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.0005451999604701996, 40.052957399748266, 131.22202220000327, 194.18387919990346]","['Other_Block_A_02', 'Other_Block_A_02', 'Arms_Block_A_02', 'Legs_Block_A_02']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH101AN25_A_HB_,001,,2024-07-01_11h46.18.751,Balance_and_VR_A,2024.1.5,None,2024-07-01 12h01.04.449035 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2411.8960776999593,0.011706800200045109,2411.912310999818,2427.6413072999567,[-0.5722222222222222],[-0.10648148148148148],[1],[0],[0],[15.74469990003854],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH101AN25_A_HB_,001,,2024-07-01_11h46.18.751,Balance_and_VR_A,2024.1.5,None,2024-07-01 12h01.04.449035 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2427.641418199986,4.6900007873773575e-05,2427.6644903002307,2427.6644903002307,2427.6644903002307,2427.6644903002307,2637.6530419001356,"[-0.5722222222222222, 0.1638888888888889, 0.38055555555555554, 0.4287037037037037, 0.32222222222222224]","[-0.10648148148148148, -0.21574074074074073, 0.1398148148148148, 0.18425925925925926, -0.21481481481481482]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0.0005117999389767647, 28.607858600094914, 36.704032300040126, 83.80493440013379, 119.90914859995246]","['Arms_Block_A_03', 'Other_Block_A_03', 'Other_Block_A_03', 'Arms_Block_A_03']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH101AN25_A_HB_,001,,2024-07-01_11h46.18.751,Balance_and_VR_A,2024.1.5,None,2024-07-01 12h01.04.449035 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2637.6532548000105,0.011877200100570917,2637.6694208998233,2669.626949300058,[0.687037037037037],[-0.1],[1],[0],[0],[31.97318600025028],,,,,,,,,,,,,,,,,,,,,,,,,CH101AN25_A_HB_,001,,2024-07-01_11h46.18.751,Balance_and_VR_A,2024.1.5,None,2024-07-01 12h01.04.449035 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2669.6270718998276,4.910025745630264e-05,2669.653981800191,2669.653981800191,2669.653981800191,2669.653981800191,2879.6381214000285,"[0.687037037037037, -0.2074074074074074, -0.22777777777777777, 0.15925925925925927]","[-0.1, -0.1935185185185185, 0.19907407407407407, 0.22314814814814815]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.00048609962686896324, 77.70633749989793, 113.02750259963796, 201.3644619998522]","['Legs_Block_A_04', 'Head_Block_A_04', 'Other_Block_A_04']",,,,,,,,,,,CH101AN25_A_HB_,001,,2024-07-01_11h46.18.751,Balance_and_VR_A,2024.1.5,None,2024-07-01 12h01.04.449035 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2879.638424200006,2879.654473300092,0.011428900063037872,2963.6267911000177,[-0.022222222222222223],[-0.1824074074074074],[1],[0],[0],[83.98770500021055],CH101AN25_A_HB_,001,,2024-07-01_11h46.18.751,Balance_and_VR_A,2024.1.5,None,2024-07-01 12h01.04.449035 +0200,
