thisRow.t,notes,Welcome_A.started,Welcome.started,mouse.started,Welcome_A.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Condition_A.started,mouse_3.started,ConditionA.started,Condition_A.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Block_A_01.started,Klicks_Block_A_01.started,Arms_Block_A_01.started,Legs_Block_A_01.started,Other_Block_A_01.started,Head_Block_A_01.started,Counter_Legs_A_01.started,Counter_Arms_A_01.started,Counter_Other_A_01.started,Counter_Head_A_01.started,Block_A_01.stopped,Klicks_Block_A_01.x,Klicks_Block_A_01.y,Klicks_Block_A_01.leftButton,Klicks_Block_A_01.midButton,Klicks_Block_A_01.rightButton,Klicks_Block_A_01.time,Klicks_Block_A_01.clicked_name,arms_count_A_01,legs_count_A_01,head_count_A_01,other_count_A_01,total_click_count_A_01,Filler_A_01.started,mouse_5.started,Text_FIller_A01.started,Filler_A_01.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,Block_A_02.started,Klicks_Block_A_02.started,Arms_Block_A_02.started,Legs_Block_A_02.started,Other_Block_A_02.started,Head_Block_A_02.started,Counter_Head_A_02.started,Counter_Other_A_02.started,Counter_Legs_A_02.started,Counter_Arms_A_02.started,Block_A_02.stopped,Klicks_Block_A_02.x,Klicks_Block_A_02.y,Klicks_Block_A_02.leftButton,Klicks_Block_A_02.midButton,Klicks_Block_A_02.rightButton,Klicks_Block_A_02.time,Klicks_Block_A_02.clicked_name,arms_count_A_02,legs_count_A_02,head_count_A_02,other_count_A_02,total_click_count_A_02,Filler_A_02.started,mouse_6.started,Text_Filler_A_02.started,Filler_A_02.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Block_A_03.started,Klicks_Block_A_03.started,Arms_Block_A_03.started,Legs_Block_A_03.started,Other_Block_A_03.started,Head_Block_A_03.started,Counter_Head_A_03.started,Counter_Other_A_03.started,Counter_Legs_A_03.started,Counter_Arms_A_03.started,Block_A_03.stopped,Klicks_Block_A_03.x,Klicks_Block_A_03.y,Klicks_Block_A_03.leftButton,Klicks_Block_A_03.midButton,Klicks_Block_A_03.rightButton,Klicks_Block_A_03.time,Klicks_Block_A_03.clicked_name,arms_count_A_03,legs_count_A_03,head_count_A_03,other_count_A_03,total_click_count_A_03,Filler_A_03.started,mouse_7.started,Text_Filler_A_03.started,Filler_A_03.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Block_A_04.started,Klicks_Block_A_04.started,Arms_Block_A_04.started,Legs_Block_A_04.started,Other_Block_A_04.started,Head_Block_A_04.started,Counter_Head_A_04.started,Counter_Other_A_04.started,Counter_Legs_A_04.started,Counter_Arms_A_04.started,Block_A_04.stopped,Klicks_Block_A_04.x,Klicks_Block_A_04.y,Klicks_Block_A_04.leftButton,Klicks_Block_A_04.midButton,Klicks_Block_A_04.rightButton,Klicks_Block_A_04.time,Klicks_Block_A_04.clicked_name,arms_count_A_04,legs_count_A_04,head_count_A_04,other_count_A_04,total_click_count_A_04,Goodbye.started,GoodBye.started,mouse_4.started,Goodbye.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,participant,session,Condition,date,expName,psychopyVersion,frameRate,expStart,
,,0.00762000004760921,0.019653600174933672,0.0074130999855697155,591.5700124001596,[-0.12685185185185185],[0.1259259259259259],[1],[0],[0],[591.5617747001816],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH11RE22,001,HB,2026-06-12_14h00.36.929,Balance_and_VR_A,2024.1.5,None,2026-06-12 14h03.45.732955 +0200,
,,,,,,,,,,,,591.5701541001908,3.42000275850296e-05,591.5856489001308,626.6586079001427,[-0.12685185185185185],[0.1259259259259259],[1],[0],[0],[35.087917800061405],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH11RE22,001,HB,2026-06-12_14h00.36.929,Balance_and_VR_A,2024.1.5,None,2026-06-12 14h03.45.732955 +0200,
,,,,,,,,,,,,,,,,,,,,,,626.6586979001295,0.00014650006778538227,626.6985757001676,626.6985757001676,626.6985757001676,626.6985757001676,626.6985757001676,626.6985757001676,626.6985757001676,626.6985757001676,836.6696948001627,"[-0.12685185185185185, 0.2824074074074074]","[0.1259259259259259, -0.27037037037037037]","[1, 1]","[0, 0]","[0, 0]","[0.00056419987231493, 34.104913800023496]","['Head_Block_A_01', 'Arms_Block_A_01']",1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH11RE22,001,HB,2026-06-12_14h00.36.929,Balance_and_VR_A,2024.1.5,None,2026-06-12 14h03.45.732955 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,836.6698423000053,0.011175099993124604,836.6859408000018,865.9935785001144,[0.2824074074074074],[-0.27037037037037037],[1],[0],[0],[29.323282100027427],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH11RE22,001,HB,2026-06-12_14h00.36.929,Balance_and_VR_A,2024.1.5,None,2026-06-12 14h03.45.732955 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,865.9936806000769,0.00012900005094707012,866.0137813000474,866.0137813000474,866.0137813000474,866.0137813000474,866.0137813000474,866.0137813000474,866.0137813000474,866.0137813000474,1076.0051609000657,"[0.2824074074074074, 0.2759259259259259, 0.2759259259259259, 0.34444444444444444, 0.34444444444444444]","[-0.27037037037037037, -0.3509259259259259, -0.3509259259259259, -0.22592592592592592, -0.22592592592592592]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0.0004867999814450741, 2.266174199990928, 41.96979589993134, 185.02081050002016, 199.10018719988875]","['Arms_Block_A_02', 'Arms_Block_A_02', 'Arms_Block_A_02', 'Arms_Block_A_02', 'Arms_Block_A_02']",4,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH11RE22,001,HB,2026-06-12_14h00.36.929,Balance_and_VR_A,2024.1.5,None,2026-06-12 14h03.45.732955 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1076.0053865001537,0.011739999987185001,1076.021458500065,1121.640379199991,[0.34444444444444444],[-0.22592592592592592],[1],[0],[0],[45.634504300076514],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH11RE22,001,HB,2026-06-12_14h00.36.929,Balance_and_VR_A,2024.1.5,None,2026-06-12 14h03.45.732955 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1121.6404936001636,0.00016569998115301132,1121.6703092001844,1121.6703092001844,1121.6703092001844,1121.6703092001844,1121.6703092001844,1121.6703092001844,1121.6703092001844,1121.6703092001844,1331.6520396000706,"[0.34444444444444444, 0.34444444444444444, 0.34444444444444444, 0.34444444444444444]","[-0.22592592592592592, -0.22592592592592592, -0.22592592592592592, -0.22592592592592592]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.0004942999221384525, 65.2790934999939, 93.17045550001785, 109.2804481999483]","['Arms_Block_A_03', 'Arms_Block_A_03', 'Arms_Block_A_03', 'Arms_Block_A_03']",3,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH11RE22,001,HB,2026-06-12_14h00.36.929,Balance_and_VR_A,2024.1.5,None,2026-06-12 14h03.45.732955 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1331.6522473001387,0.011788500007241964,1331.6681805001572,1366.4577901000157,[0.34444444444444444],[-0.22592592592592592],[1],[0],[0],[34.80504599981941],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH11RE22,001,HB,2026-06-12_14h00.36.929,Balance_and_VR_A,2024.1.5,None,2026-06-12 14h03.45.732955 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1366.457897900138,0.00014219991862773895,1366.4781539000105,1366.4781539000105,1366.4781539000105,1366.4781539000105,1366.4781539000105,1366.4781539000105,1366.4781539000105,1366.4781539000105,1576.4689880001824,"[0.34444444444444444, 0.32314814814814813, 0.32222222222222224, 0.39537037037037037, 0.4546296296296296]","[-0.22592592592592592, 0.25925925925925924, -0.3537037037037037, -0.36203703703703705, 0.4074074074074074]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0.000512199942022562, 9.130634299945086, 29.240116499830037, 80.63890199991874, 83.40055409981869]","['Arms_Block_A_04', 'Other_Block_A_04', 'Arms_Block_A_04', 'Arms_Block_A_04', 'Other_Block_A_04']",2,0,0,2,4,,,,,,,,,,,CH11RE22,001,HB,2026-06-12_14h00.36.929,Balance_and_VR_A,2024.1.5,None,2026-06-12 14h03.45.732955 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1576.469227100024,1576.4852256001905,0.011362699791789055,1581.0853313000407,[0.16666666666666666],[-0.22592592592592592],[1],[0],[0],[4.615559999831021],CH11RE22,001,HB,2026-06-12_14h00.36.929,Balance_and_VR_A,2024.1.5,None,2026-06-12 14h03.45.732955 +0200,
