thisRow.t,notes,Welcome_A.started,Welcome.started,mouse.started,Welcome_A.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Condition_A.started,mouse_3.started,ConditionA.started,Condition_A.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Block_A_01.started,Klicks_Block_A_01.started,Arms_Block_A_01.started,Legs_Block_A_01.started,Other_Block_A_01.started,Head_Block_A_01.started,Block_A_01.stopped,Klicks_Block_A_01.x,Klicks_Block_A_01.y,Klicks_Block_A_01.leftButton,Klicks_Block_A_01.midButton,Klicks_Block_A_01.rightButton,Klicks_Block_A_01.time,Klicks_Block_A_01.clicked_name,Filler_A_01.started,mouse_5.started,Text_FIller_A01.started,Filler_A_01.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,Block_A_02.started,Klicks_Block_A_02.started,Arms_Block_A_02.started,Legs_Block_A_02.started,Other_Block_A_02.started,Head_Block_A_02.started,Block_A_02.stopped,Klicks_Block_A_02.x,Klicks_Block_A_02.y,Klicks_Block_A_02.leftButton,Klicks_Block_A_02.midButton,Klicks_Block_A_02.rightButton,Klicks_Block_A_02.time,Klicks_Block_A_02.clicked_name,Filler_A_02.started,mouse_6.started,Text_Filler_A_02.started,Filler_A_02.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Block_A_03.started,Klicks_Block_A_03.started,Arms_Block_A_03.started,Legs_Block_A_03.started,Other_Block_A_03.started,Head_Block_A_03.started,Block_A_03.stopped,Klicks_Block_A_03.x,Klicks_Block_A_03.y,Klicks_Block_A_03.leftButton,Klicks_Block_A_03.midButton,Klicks_Block_A_03.rightButton,Klicks_Block_A_03.time,Klicks_Block_A_03.clicked_name,Filler_A_03.started,mouse_7.started,Text_Filler_A_03.started,Filler_A_03.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Block_A_04.started,Klicks_Block_A_04.started,Arms_Block_A_04.started,Legs_Block_A_04.started,Other_Block_A_04.started,Head_Block_A_04.started,Block_A_04.stopped,Klicks_Block_A_04.x,Klicks_Block_A_04.y,Klicks_Block_A_04.leftButton,Klicks_Block_A_04.midButton,Klicks_Block_A_04.rightButton,Klicks_Block_A_04.time,Klicks_Block_A_04.clicked_name,Goodbye.started,GoodBye.started,mouse_4.started,Goodbye.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,participant,session,Condition,date,expName,psychopyVersion,frameRate,expStart,
,,0.007485799957066774,0.025640300009399652,0.007258499972522259,843.9759615000803,[0.1111111111111111],[0.09814814814814815],[1],[0],[0],[843.9678342000116],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL22OE02_A_HB,A,HB,2024-07-08_17h33.32.291,Balance_and_VR_A,2024.1.5,None,2024-07-08 17h34.28.793828 +0200,
,,,,,,,,,,,,843.9761383000296,4.160008393228054e-05,843.9915086000692,1097.4242201000452,[-0.20833333333333334],[-0.13333333333333333],[1],[0],[0],[253.44750189990737],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL22OE02_A_HB,A,HB,2024-07-08_17h33.32.291,Balance_and_VR_A,2024.1.5,None,2024-07-08 17h34.28.793828 +0200,
,,,,,,,,,,,,,,,,,,,,,,1097.4243286000565,5.3800176829099655e-05,1097.4742608000524,1097.4742608000524,1097.4742608000524,1097.4742608000524,1307.4351530000567,"[-0.20833333333333334, 0.12777777777777777]","[-0.13333333333333333, -0.12129629629629629]","[1, 1]","[0, 0]","[0, 0]","[0.0006300001405179501, 164.6770506000612]","['Legs_Block_A_01', 'Arms_Block_A_01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL22OE02_A_HB,A,HB,2024-07-08_17h33.32.291,Balance_and_VR_A,2024.1.5,None,2024-07-08 17h34.28.793828 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1307.4353130999953,0.011020499980077147,1307.4518250999972,1346.9729100998957,[0.12777777777777777],[-0.12129629629629629],[1],[0],[0],[39.53709929995239],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL22OE02_A_HB,A,HB,2024-07-08_17h33.32.291,Balance_and_VR_A,2024.1.5,None,2024-07-08 17h34.28.793828 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1346.9730666000396,4.67000063508749e-05,1346.9989012998994,1346.9989012998994,1346.9989012998994,1346.9989012998994,1556.9845114999916,"[0.12777777777777777, 0.28055555555555556, -0.16296296296296298, 0.07592592592592592, 0.07592592592592592, -0.18981481481481483, -0.18981481481481483, 0.075, 0.075, -0.4, -0.4, -0.4, 0.05, 0.05]","[-0.12129629629629629, 0.24444444444444444, -0.07777777777777778, -0.1935185185185185, -0.1935185185185185, -0.33611111111111114, -0.33611111111111114, -0.29444444444444445, -0.29444444444444445, -0.16574074074074074, -0.16574074074074074, -0.16574074074074074, -0.1287037037037037, -0.1287037037037037]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0005479000974446535, 37.403781099943444, 64.96090560010634, 90.1358916000463, 90.45260139997117, 109.14595549996011, 119.04335439996794, 125.37419690005481, 126.45802880008705, 156.4801491999533, 170.14316640002653, 170.6760651001241, 184.73794319992885, 204.0477180001326]","['Arms_Block_A_02', 'Other_Block_A_02', 'Legs_Block_A_02', 'Arms_Block_A_02', 'Arms_Block_A_02', 'Legs_Block_A_02', 'Legs_Block_A_02', 'Arms_Block_A_02', 'Arms_Block_A_02', 'Legs_Block_A_02', 'Legs_Block_A_02', 'Legs_Block_A_02', 'Arms_Block_A_02', 'Arms_Block_A_02']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL22OE02_A_HB,A,HB,2024-07-08_17h33.32.291,Balance_and_VR_A,2024.1.5,None,2024-07-08 17h34.28.793828 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1556.984941399889,0.011920200195163488,1557.0010184999555,1587.9082855999004,[0.05],[-0.1287037037037037],[1],[0],[0],[30.922708800062537],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL22OE02_A_HB,A,HB,2024-07-08_17h33.32.291,Balance_and_VR_A,2024.1.5,None,2024-07-08 17h34.28.793828 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1587.908391600009,3.909994848072529e-05,1587.9353495000396,1587.9353495000396,1587.9353495000396,1587.9353495000396,1797.920081899967,"[0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, -0.09444444444444444, -0.22407407407407406, -0.22407407407407406, 0.23796296296296296, 0.025925925925925925, -0.23981481481481481, -0.23981481481481481, -0.23981481481481481, -0.23981481481481481, 0.06481481481481481, -0.009259259259259259, 0.06018518518518518, 0.046296296296296294, -0.1111111111111111, -0.1111111111111111]","[-0.1287037037037037, -0.1287037037037037, -0.1287037037037037, -0.1287037037037037, -0.1287037037037037, -0.1287037037037037, -0.1287037037037037, -0.1287037037037037, -0.1287037037037037, -0.1287037037037037, -0.1287037037037037, -0.11388888888888889, -0.16574074074074074, -0.16574074074074074, 0.22314814814814815, -0.03611111111111111, -0.058333333333333334, -0.058333333333333334, -0.058333333333333334, -0.058333333333333334, -0.07685185185185185, -0.08981481481481482, -0.09074074074074075, 0.25833333333333336, -0.08518518518518518, -0.08518518518518518]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0004687998443841934, 7.314060800010338, 10.179497399833053, 11.16385249979794, 12.662002099910751, 16.228652499848977, 22.85940620000474, 90.15268729999661, 92.33562039979734, 119.99349369993433, 141.368967999937, 147.93334649992175, 162.56176349986345, 163.91274959989823, 168.65955169987865, 180.27235719980672, 182.55571049987338, 184.10428570001386, 186.00352979986928, 191.31895589991473, 192.68506459984928, 194.86745469993912, 197.25121249980293, 201.71651849988848, 208.31282819993794, 209.0474729000125]","['Arms_Block_A_03', 'Arms_Block_A_03', 'Arms_Block_A_03', 'Arms_Block_A_03', 'Arms_Block_A_03', 'Arms_Block_A_03', 'Arms_Block_A_03', 'Arms_Block_A_03', 'Arms_Block_A_03', 'Arms_Block_A_03', 'Arms_Block_A_03', 'Legs_Block_A_03', 'Legs_Block_A_03', 'Legs_Block_A_03', 'Other_Block_A_03', 'Arms_Block_A_03', 'Legs_Block_A_03', 'Legs_Block_A_03', 'Legs_Block_A_03', 'Legs_Block_A_03', 'Arms_Block_A_03', 'Legs_Block_A_03', 'Arms_Block_A_03', 'Other_Block_A_03', 'Legs_Block_A_03', 'Legs_Block_A_03']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL22OE02_A_HB,A,HB,2024-07-08_17h33.32.291,Balance_and_VR_A,2024.1.5,None,2024-07-08 17h34.28.793828 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1797.920656299917,0.012304099975153804,1797.9364890998695,1833.375473299995,[0.05277777777777778],[-0.1388888888888889],[1],[0],[0],[35.45431450009346],,,,,,,,,,,,,,,,,,,,,,,,,CL22OE02_A_HB,A,HB,2024-07-08_17h33.32.291,Balance_and_VR_A,2024.1.5,None,2024-07-08 17h34.28.793828 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1833.3755792998709,4.0800077840685844e-05,1833.4017223999836,1833.4017223999836,1833.4017223999836,1833.4017223999836,2043.3872736999765,"[0.05277777777777778, -0.1259259259259259, -0.07592592592592592, 0.14722222222222223, -0.041666666666666664, 0.062037037037037036, 0.062037037037037036, -0.08796296296296297, -0.021296296296296296, -0.021296296296296296, -0.1111111111111111, -0.1111111111111111, -0.1111111111111111, -0.1111111111111111, -0.1111111111111111, -0.1111111111111111, -0.1111111111111111, -0.1111111111111111, 0.12037037037037036, -0.1175925925925926, -0.1175925925925926, 0.11574074074074074, -0.10092592592592593, -0.10092592592592593, -0.10092592592592593, -0.10092592592592593, -0.10092592592592593, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, -0.11666666666666667, 0.0824074074074074, 0.0824074074074074, -0.2111111111111111, 0.2111111111111111, 0.2111111111111111]","[-0.1388888888888889, -0.175, -0.25462962962962965, -0.25925925925925924, -0.34814814814814815, -0.3824074074074074, -0.3824074074074074, -0.40555555555555556, -0.39166666666666666, -0.39166666666666666, -0.40370370370370373, -0.40370370370370373, -0.40370370370370373, -0.40370370370370373, -0.40370370370370373, -0.40370370370370373, -0.40370370370370373, -0.40370370370370373, -0.36574074074074076, -0.3175925925925926, -0.3175925925925926, -0.33611111111111114, -0.2111111111111111, -0.2111111111111111, -0.2111111111111111, -0.2111111111111111, -0.2111111111111111, -0.1925925925925926, -0.1925925925925926, -0.1925925925925926, -0.25092592592592594, -0.25092592592592594, -0.25092592592592594, -0.37962962962962965, -0.39166666666666666, -0.39166666666666666]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0004651998169720173, 9.213262399891391, 18.810212699929252, 21.993124999804422, 24.209758299868554, 28.123825599905103, 32.60576760000549, 40.85259329993278, 59.67962999991141, 60.54597419989295, 73.59263779991306, 74.50793599989265, 84.0048093998339, 85.20439530001022, 86.30497800000012, 89.7696517999284, 91.93711099983193, 105.86452990001999, 112.72849549981765, 115.42789769987576, 116.31106009986252, 122.2250814998988, 125.69280269998126, 129.1069705998525, 146.28391799982637, 151.5989451999776, 159.34654999990016, 173.94194769999012, 177.93971629999578, 181.98861099989153, 185.82049259985797, 202.93252549995668, 203.93115319986828, 204.7478825999424, 207.91328420001082, 209.34655139991082]","['Arms_Block_A_04', 'Legs_Block_A_04', 'Legs_Block_A_04', 'Arms_Block_A_04', 'Legs_Block_A_04', 'Arms_Block_A_04', 'Arms_Block_A_04', 'Legs_Block_A_04', 'Legs_Block_A_04', 'Legs_Block_A_04', 'Legs_Block_A_04', 'Legs_Block_A_04', 'Legs_Block_A_04', 'Legs_Block_A_04', 'Legs_Block_A_04', 'Legs_Block_A_04', 'Legs_Block_A_04', 'Legs_Block_A_04', 'Arms_Block_A_04', 'Legs_Block_A_04', 'Legs_Block_A_04', 'Arms_Block_A_04', 'Legs_Block_A_04', 'Legs_Block_A_04', 'Legs_Block_A_04', 'Legs_Block_A_04', 'Legs_Block_A_04', 'Arms_Block_A_04', 'Arms_Block_A_04', 'Arms_Block_A_04', 'Legs_Block_A_04', 'Arms_Block_A_04', 'Arms_Block_A_04', 'Legs_Block_A_04', 'Arms_Block_A_04', 'Arms_Block_A_04']",,,,,,,,,,,CL22OE02_A_HB,A,HB,2024-07-08_17h33.32.291,Balance_and_VR_A,2024.1.5,None,2024-07-08 17h34.28.793828 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2043.3879716999363,2043.4038160999771,0.012430200120434165,2045.6218021998648,[0.2111111111111111],[-0.39166666666666666],[1],[0],[0],[2.233312099939212],CL22OE02_A_HB,A,HB,2024-07-08_17h33.32.291,Balance_and_VR_A,2024.1.5,None,2024-07-08 17h34.28.793828 +0200,
