thisRow.t,notes,Welcome_B.started,Welcome.started,mouse.started,Welcome_B.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Condition_B.started,mouse_3.started,ConditionB.started,Condition_B.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Block_B_01.started,Klicks_Block_B_01.started,Arms_Block_B_01.started,Legs_Block_B_01.started,Other_Block_B_01.started,Head_Block_B_01.started,Counter_Head_B_01.started,Counter_Other_B_01.started,Counter_Legs_B_01.started,Counter_Arms_B_01.started,Block_B_01.stopped,Klicks_Block_B_01.x,Klicks_Block_B_01.y,Klicks_Block_B_01.leftButton,Klicks_Block_B_01.midButton,Klicks_Block_B_01.rightButton,Klicks_Block_B_01.time,Klicks_Block_B_01.clicked_name,arms_count_B_01,legs_count_B_01,head_count_B_01,other_count_B_01,total_click_count_B_01,Filler_B_01.started,mouse_5.started,Text_FIller_B01.started,Filler_B_01.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,Block_B_02.started,Klicks_Block_B_02.started,Arms_Block_B_02.started,Legs_Block_B_02.started,Other_Block_B_02.started,Head_Block_B_02.started,Counter_Head_B_02.started,Counter_Other_B_02.started,Counter_Legs_B_02.started,Counter_Arms_B_02.started,Block_B_02.stopped,Klicks_Block_B_02.x,Klicks_Block_B_02.y,Klicks_Block_B_02.leftButton,Klicks_Block_B_02.midButton,Klicks_Block_B_02.rightButton,Klicks_Block_B_02.time,Klicks_Block_B_02.clicked_name,arms_count_B_02,legs_count_B_02,head_count_B_02,other_count_B_02,total_click_count_B_02,Filler_B_02.started,mouse_6.started,Text_Filler_B_02.started,Filler_B_02.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Block_B_03.started,Klicks_Block_B_03.started,Arms_Block_B_03.started,Legs_Block_B_03.started,Other_Block_B_03.started,Head_Block_B_03.started,Counter_Head_B_03.started,Counter_Other_B_03.started,Counter_Legs_B_03.started,Counter_Arms_B_03.started,Block_B_03.stopped,Klicks_Block_B_03.x,Klicks_Block_B_03.y,Klicks_Block_B_03.leftButton,Klicks_Block_B_03.midButton,Klicks_Block_B_03.rightButton,Klicks_Block_B_03.time,Klicks_Block_B_03.clicked_name,arms_count_B_03,legs_count_B_03,head_count_B_03,other_count_B_03,total_click_count_B_03,Filler_B_03.started,mouse_7.started,Text_Filler_B_03.started,Filler_B_03.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Block_B_04.started,Klicks_Block_B_04.started,Arms_Block_B_04.started,Legs_Block_B_04.started,Other_Block_B_04.started,Head_Block_B_04.started,Counter_Head_B_04.started,Counter_Other_B_04.started,Counter_Legs_B_04.started,Counter_Arms_B_04.started,Block_B_04.stopped,Klicks_Block_B_04.x,Klicks_Block_B_04.y,Klicks_Block_B_04.leftButton,Klicks_Block_B_04.midButton,Klicks_Block_B_04.rightButton,Klicks_Block_B_04.time,Klicks_Block_B_04.clicked_name,arms_count_B_04,legs_count_B_04,head_count_B_04,other_count_B_04,total_click_count_B_04,GoodBye_Final.started,GoodBye.started,mouse_4.started,GoodBye_Final.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,participant,session,Condition,date,expName,psychopyVersion,frameRate,expStart,
,,0.0057482002303004265,0.026591300033032894,0.005495700053870678,159.05921570025384,[-0.13796296296296295],[0.1175925925925926],[1],[0],[0],[159.05253780027851],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DI16UB31_B_LB,001,LB,2026-06-22_09h09.01.582,Balance_and_VR_B,2024.1.5,None,2026-06-22 09h13.09.338225 +0200,
,,,,,,,,,,,,159.0594453001395,4.91999089717865e-05,159.07398159988225,160.00935589987785,[-0.13796296296296295],[0.1175925925925926],[1],[0],[0],[0.9493371001444757],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DI16UB31_B_LB,001,LB,2026-06-22_09h09.01.582,Balance_and_VR_B,2024.1.5,None,2026-06-22 09h13.09.338225 +0200,
,,,,,,,,,,,,,,,,,,,,,,160.00946100009605,0.0003064996562898159,160.05856100004166,160.05856100004166,160.05856100004166,160.05856100004166,160.05856100004166,160.05856100004166,160.05856100004166,160.05856100004166,370.01912439987063,"[-0.13796296296296295, 0.1111111111111111, 0.17222222222222222, 0.175, 0.14907407407407408]","[0.1175925925925926, 0.2212962962962963, 0.26944444444444443, 0.09907407407407408, 0.1712962962962963]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0.0005944999866187572, 64.0261570001021, 71.93995650019497, 100.53150640008971, 182.70294590014964]","['Head_Block_B_01', 'Other_Block_B_01', 'Other_Block_B_01', 'Other_Block_B_01', 'Other_Block_B_01']",0,0,0,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DI16UB31_B_LB,001,LB,2026-06-22_09h09.01.582,Balance_and_VR_B,2024.1.5,None,2026-06-22 09h13.09.338225 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.0193627998233,0.00993959978222847,370.03552980022505,403.97676450014114,[-0.013888888888888888],[-0.025925925925925925],[1],[0],[0],[33.95654579997063],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DI16UB31_B_LB,001,LB,2026-06-22_09h09.01.582,Balance_and_VR_B,2024.1.5,None,2026-06-22 09h13.09.338225 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.97694530012086,0.00021749967709183693,404.00231810007244,404.00231810007244,404.00231810007244,404.00231810007244,404.00231810007244,404.00231810007244,404.00231810007244,404.00231810007244,613.98664249992,"[-0.013888888888888888, 0.11666666666666667, -0.1925925925925926, 0.2537037037037037]","[-0.025925925925925925, -0.20277777777777778, 0.21944444444444444, 0.15]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.0006967000663280487, 59.810767400078475, 105.12939640041441, 106.21144390013069]","['Legs_Block_B_02', 'Arms_Block_B_02', 'Head_Block_B_02', 'Other_Block_B_02']",1,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DI16UB31_B_LB,001,LB,2026-06-22_09h09.01.582,Balance_and_VR_B,2024.1.5,None,2026-06-22 09h13.09.338225 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613.9869093000889,0.01001349976286292,614.0034149000421,648.9254705002531,[0.1527777777777778],[-0.2935185185185185],[1],[0],[0],[34.938037500251085],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DI16UB31_B_LB,001,LB,2026-06-22_09h09.01.582,Balance_and_VR_B,2024.1.5,None,2026-06-22 09h13.09.338225 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648.9256067001261,0.0001443997025489807,648.95038569998,648.95038569998,648.95038569998,648.95038569998,648.95038569998,648.95038569998,648.95038569998,648.95038569998,858.9368543000892,"[0.1527777777777778, 0.2490740740740741, -0.13055555555555556, 0.1037037037037037, 0.18796296296296297, 0.26851851851851855, 0.2638888888888889, 0.2861111111111111]","[-0.2935185185185185, -0.3212962962962963, 0.1574074074074074, 0.1388888888888889, -0.08796296296296297, -0.09537037037037037, 0.14166666666666666, -0.2]","[1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0.00047900015488266945, 14.161630500108004, 60.3126698997803, 98.24979910021648, 118.34265189990401, 138.0196464001201, 138.6864642999135, 176.9561729999259]","['Arms_Block_B_03', 'Arms_Block_B_03', 'Head_Block_B_03', 'Other_Block_B_03', 'Arms_Block_B_03', 'Arms_Block_B_03', 'Other_Block_B_03', 'Arms_Block_B_03']",4,0,1,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DI16UB31_B_LB,001,LB,2026-06-22_09h09.01.582,Balance_and_VR_B,2024.1.5,None,2026-06-22 09h13.09.338225 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,858.9371334998868,0.0115660997107625,858.9533477001823,894.0091034998186,[0.003703703703703704],[0.011111111111111112],[1],[0],[0],[35.071479300037026],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DI16UB31_B_LB,001,LB,2026-06-22_09h09.01.582,Balance_and_VR_B,2024.1.5,None,2026-06-22 09h13.09.338225 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894.0092243999243,0.0001496998593211174,894.0369676998816,894.0369676998816,894.0369676998816,894.0369676998816,894.0369676998816,894.0369676998816,894.0369676998816,894.0369676998816,1104.0206392002292,"[0.003703703703703704, 0.16296296296296298, 0.19444444444444445, 0.14907407407407408, -0.175, 0.20185185185185187]","[0.011111111111111112, -0.2916666666666667, 0.21481481481481482, -0.17222222222222222, 0.1398148148148148, -0.275]","[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0.0004786001518368721, 13.71140050003305, 69.80930249998346, 165.39363100007176, 166.1610988001339, 207.24683890026063]","['Other_Block_B_04', 'Arms_Block_B_04', 'Other_Block_B_04', 'Arms_Block_B_04', 'Head_Block_B_04', 'Arms_Block_B_04']",3,0,1,1,5,,,,,,,,,,,DI16UB31_B_LB,001,LB,2026-06-22_09h09.01.582,Balance_and_VR_B,2024.1.5,None,2026-06-22 09h13.09.338225 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1104.0210203002207,1104.0374783002771,0.011841099709272385,1147.0082669002004,[-0.1925925925925926],[-0.08518518518518518],[1],[0],[0],[42.98643249971792],DI16UB31_B_LB,001,LB,2026-06-22_09h09.01.582,Balance_and_VR_B,2024.1.5,None,2026-06-22 09h13.09.338225 +0200,
