thisRow.t,notes,Welcome_B.started,Welcome.started,mouse.started,Welcome_B.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Condition_B.started,mouse_3.started,ConditionB.started,Condition_B.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Block_B_01.started,Klicks_Block_B_01.started,Arms_Block_B_01.started,Legs_Block_B_01.started,Other_Block_B_01.started,Head_Block_B_01.started,Block_B_01.stopped,Klicks_Block_B_01.x,Klicks_Block_B_01.y,Klicks_Block_B_01.leftButton,Klicks_Block_B_01.midButton,Klicks_Block_B_01.rightButton,Klicks_Block_B_01.time,Klicks_Block_B_01.clicked_name,Filler_B_01.started,mouse_5.started,Text_FIller_B01.started,Filler_B_01.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,Block_B_02.started,Klicks_Block_B_02.started,Arms_Block_B_02.started,Legs_Block_B_02.started,Other_Block_B_02.started,Head_Block_B_02.started,Block_B_02.stopped,Klicks_Block_B_02.x,Klicks_Block_B_02.y,Klicks_Block_B_02.leftButton,Klicks_Block_B_02.midButton,Klicks_Block_B_02.rightButton,Klicks_Block_B_02.time,Klicks_Block_B_02.clicked_name,Filler_B_02.started,mouse_6.started,Text_Filler_B_02.started,Filler_B_02.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Block_B_03.started,Klicks_Block_B_03.started,Arms_Block_B_03.started,Legs_Block_B_03.started,Other_Block_B_03.started,Head_Block_B_03.started,Block_B_03.stopped,Klicks_Block_B_03.x,Klicks_Block_B_03.y,Klicks_Block_B_03.leftButton,Klicks_Block_B_03.midButton,Klicks_Block_B_03.rightButton,Klicks_Block_B_03.time,Klicks_Block_B_03.clicked_name,Filler_B_03.started,mouse_7.started,Text_Filler_B_03.started,Filler_B_03.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Block_B_04.started,Klicks_Block_B_04.started,Arms_Block_B_04.started,Legs_Block_B_04.started,Other_Block_B_04.started,Head_Block_B_04.started,Block_B_04.stopped,Klicks_Block_B_04.x,Klicks_Block_B_04.y,Klicks_Block_B_04.leftButton,Klicks_Block_B_04.midButton,Klicks_Block_B_04.rightButton,Klicks_Block_B_04.time,Klicks_Block_B_04.clicked_name,GoodBye_Final.started,GoodBye.started,mouse_4.started,GoodBye_Final.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,participant,session,Condition,date,expName,psychopyVersion,frameRate,expStart,
,,0.005625199992209673,0.019045900087803602,0.005414400016888976,113.16498179989867,[-0.12222222222222222],[0.09259259259259259],[1],[0],[0],[113.15865499991924],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JU20ÜC09_B_HB,B,HB,2024-07-08_16h52.42.404,Balance_and_VR_B,2024.1.5,None,2024-07-08 16h53.55.551292 +0200,
,,,,,,,,,,,,113.16510239988565,3.3400021493434906e-05,113.18082259991206,146.936897699954,[-0.12222222222222222],[0.09259259259259259],[1],[0],[0],[33.77122170012444],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JU20ÜC09_B_HB,B,HB,2024-07-08_16h52.42.404,Balance_and_VR_B,2024.1.5,None,2024-07-08 16h53.55.551292 +0200,
,,,,,,,,,,,,,,,,,,,,,,146.93701240001246,5.579995922744274e-05,146.98541419999674,146.98541419999674,146.98541419999674,146.98541419999674,356.94849810004234,"[-0.12222222222222222, 0.24814814814814815, 0.1037037037037037]","[0.09259259259259259, 0.16296296296296298, 0.22592592592592592]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.0006241998635232449, 160.34542879997753, 201.9979966999963]","['Head_Block_B_01', 'Other_Block_B_01', 'Other_Block_B_01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JU20ÜC09_B_HB,B,HB,2024-07-08_16h52.42.404,Balance_and_VR_B,2024.1.5,None,2024-07-08 16h53.55.551292 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.94867599988356,0.01169859990477562,356.9650103999302,392.58718309993856,[0.1037037037037037],[0.22592592592592592],[1],[0],[0],[35.63797669997439],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JU20ÜC09_B_HB,B,HB,2024-07-08_16h52.42.404,Balance_and_VR_B,2024.1.5,None,2024-07-08 16h53.55.551292 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.58730740007013,4.75000124424696e-05,392.6155041998718,392.6155041998718,392.6155041998718,392.6155041998718,602.5990901000332,"[0.1037037037037037, 0.1037037037037037]","[0.22592592592592592, 0.22592592592592592]","[1, 1]","[0, 0]","[0, 0]","[0.0005846000276505947, 121.65917339990847]","['Other_Block_B_02', 'Other_Block_B_02']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JU20ÜC09_B_HB,B,HB,2024-07-08_16h52.42.404,Balance_and_VR_B,2024.1.5,None,2024-07-08 16h53.55.551292 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602.5992588999216,0.011995000066235662,602.615688999882,636.2565617999062,[0.1037037037037037],[0.22592592592592592],[1],[0],[0],[33.65677430015057],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JU20ÜC09_B_HB,B,HB,2024-07-08_16h52.42.404,Balance_and_VR_B,2024.1.5,None,2024-07-08 16h53.55.551292 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.2566992000211,5.319993942975998e-05,636.2832269999199,636.2832269999199,636.2832269999199,636.2832269999199,846.2671070999932,"[0.1037037037037037, 0.1037037037037037, 0.1037037037037037]","[0.22592592592592592, 0.22592592592592592, 0.22592592592592592]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.0005175999831408262, 162.84457389987074, 164.0940231999848]","['Other_Block_B_03', 'Other_Block_B_03', 'Other_Block_B_03']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JU20ÜC09_B_HB,B,HB,2024-07-08_16h52.42.404,Balance_and_VR_B,2024.1.5,None,2024-07-08 16h53.55.551292 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846.2672856999561,0.010632199933752418,846.2834751999471,883.9717043000273,[0.1037037037037037],[0.22592592592592592],[1],[0],[0],[37.70386719983071],,,,,,,,,,,,,,,,,,,,,,,,,JU20ÜC09_B_HB,B,HB,2024-07-08_16h52.42.404,Balance_and_VR_B,2024.1.5,None,2024-07-08 16h53.55.551292 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,883.9718104000203,4.12999652326107e-05,883.996451199986,883.996451199986,883.996451199986,883.996451199986,1093.9836452999152,"[0.1037037037037037, 0.18611111111111112, -0.2222222222222222, -0.2222222222222222, 0.2712962962962963, -0.14907407407407408, -0.14907407407407408]","[0.22592592592592592, -0.16296296296296298, 0.30277777777777776, 0.30277777777777776, 0.17777777777777778, 0.14537037037037037, 0.14537037037037037]","[1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0.00044700014404952526, 92.8687451002188, 122.0420493001584, 123.05852620000951, 140.15271160006523, 142.0366799000185, 142.56983790011145]","['Other_Block_B_04', 'Arms_Block_B_04', 'Head_Block_B_04', 'Head_Block_B_04', 'Other_Block_B_04', 'Head_Block_B_04', 'Head_Block_B_04']",,,,,,,,,,,JU20ÜC09_B_HB,B,HB,2024-07-08_16h52.42.404,Balance_and_VR_B,2024.1.5,None,2024-07-08 16h53.55.551292 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1093.9839081000537,1094.0000058999285,0.012136599980294704,1097.4834394000936,[-0.14907407407407408],[0.14537037037037037],[1],[0],[0],[3.498921199934557],JU20ÜC09_B_HB,B,HB,2024-07-08_16h52.42.404,Balance_and_VR_B,2024.1.5,None,2024-07-08 16h53.55.551292 +0200,
