thisRow.t,notes,Welcome_B.started,Welcome.started,mouse.started,Welcome_B.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Condition_B.started,mouse_3.started,ConditionB.started,Condition_B.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Block_B_01.started,Klicks_Block_B_01.started,Arms_Block_B_01.started,Legs_Block_B_01.started,Other_Block_B_01.started,Head_Block_B_01.started,Block_B_01.stopped,Klicks_Block_B_01.x,Klicks_Block_B_01.y,Klicks_Block_B_01.leftButton,Klicks_Block_B_01.midButton,Klicks_Block_B_01.rightButton,Klicks_Block_B_01.time,Klicks_Block_B_01.clicked_name,Filler_B_01.started,mouse_5.started,Text_FIller_B01.started,Filler_B_01.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,Block_B_02.started,Klicks_Block_B_02.started,Arms_Block_B_02.started,Legs_Block_B_02.started,Other_Block_B_02.started,Head_Block_B_02.started,Block_B_02.stopped,Klicks_Block_B_02.x,Klicks_Block_B_02.y,Klicks_Block_B_02.leftButton,Klicks_Block_B_02.midButton,Klicks_Block_B_02.rightButton,Klicks_Block_B_02.time,Klicks_Block_B_02.clicked_name,Filler_B_02.started,mouse_6.started,Text_Filler_B_02.started,Filler_B_02.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Block_B_03.started,Klicks_Block_B_03.started,Arms_Block_B_03.started,Legs_Block_B_03.started,Other_Block_B_03.started,Head_Block_B_03.started,Block_B_03.stopped,Klicks_Block_B_03.x,Klicks_Block_B_03.y,Klicks_Block_B_03.leftButton,Klicks_Block_B_03.midButton,Klicks_Block_B_03.rightButton,Klicks_Block_B_03.time,Klicks_Block_B_03.clicked_name,Filler_B_03.started,mouse_7.started,Text_Filler_B_03.started,Filler_B_03.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Block_B_04.started,Klicks_Block_B_04.started,Arms_Block_B_04.started,Legs_Block_B_04.started,Other_Block_B_04.started,Head_Block_B_04.started,Block_B_04.stopped,Klicks_Block_B_04.x,Klicks_Block_B_04.y,Klicks_Block_B_04.leftButton,Klicks_Block_B_04.midButton,Klicks_Block_B_04.rightButton,Klicks_Block_B_04.time,Klicks_Block_B_04.clicked_name,GoodBye_Final.started,GoodBye.started,mouse_4.started,GoodBye_Final.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,participant,session,Condition,date,expName,psychopyVersion,frameRate,expStart,
,,0.0065657999366521835,0.027134499978274107,0.006408100016415119,235.22039819997735,[-0.12129629629629629],[0.12314814814814815],[1],[0],[0],[235.21302550006658],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÜR17_B_LB,001,LB,2024-06-25_14h43.30.199,Balance_and_VR_B,2024.1.5,None,2024-06-25 14h44.33.104762 +0200,
,,,,,,,,,,,,235.22059629997239,4.1800085455179214e-05,235.2313765999861,502.7754086998757,[-0.10462962962962963],[0.05555555555555555],[1],[0],[0],[267.5543088000268],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÜR17_B_LB,001,LB,2024-06-25_14h43.30.199,Balance_and_VR_B,2024.1.5,None,2024-06-25 14h44.33.104762 +0200,
,,,,,,,,,,,,,,,,,,,,,,502.7755259000696,5.389982834458351e-05,502.82373970001936,502.82373970001936,502.82373970001936,502.82373970001936,712.7858639999758,"[-0.10462962962962963, 0.25555555555555554]","[0.05555555555555555, 0.25925925925925924]","[1, 1]","[0, 0]","[0, 0]","[0.0005942999850958586, 112.51074799988419]","['Head_Block_B_01', 'Other_Block_B_01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÜR17_B_LB,001,LB,2024-06-25_14h43.30.199,Balance_and_VR_B,2024.1.5,None,2024-06-25 14h44.33.104762 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.7860270999372,0.010535199893638492,712.8022610000335,749.8586134000216,[0.23703703703703705],[-0.06759259259259259],[1],[0],[0],[37.072110699955374],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÜR17_B_LB,001,LB,2024-06-25_14h43.30.199,Balance_and_VR_B,2024.1.5,None,2024-06-25 14h44.33.104762 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749.8587028998882,4.109996370971203e-05,749.8850690999534,749.8850690999534,749.8850690999534,749.8850690999534,959.8690762999468,"[0.23703703703703705, 0.2490740740740741, -0.27037037037037037]","[-0.06759259259259259, 0.18425925925925926, -0.1685185185185185]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.0004524998366832733, 87.40241859992966, 135.95283839991316]","['Arms_Block_B_02', 'Other_Block_B_02', 'Legs_Block_B_02']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÜR17_B_LB,001,LB,2024-06-25_14h43.30.199,Balance_and_VR_B,2024.1.5,None,2024-06-25 14h44.33.104762 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,959.8692505999934,0.010582499904558063,959.8854324999265,993.0920502999797,[0.6453703703703704],[0.19444444444444445],[1],[0],[0],[33.22231219988316],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÜR17_B_LB,001,LB,2024-06-25_14h43.30.199,Balance_and_VR_B,2024.1.5,None,2024-06-25 14h44.33.104762 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,993.0921513999347,3.9400067180395126e-05,993.1133475999814,993.1133475999814,993.1133475999814,993.1133475999814,1203.1035825998988,"[0.6453703703703704, 0.46944444444444444, 0.17962962962962964]","[0.19444444444444445, -0.2037037037037037, 0.262037037037037]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.00045469985343515873, 12.062178199877962, 78.99230899987742]","['Arms_Block_B_03', 'Other_Block_B_03']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ÜR17_B_LB,001,LB,2024-06-25_14h43.30.199,Balance_and_VR_B,2024.1.5,None,2024-06-25 14h44.33.104762 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1203.103767100023,0.011651000007987022,1203.1199665998574,1237.4260941999964,[0.7611111111111111],[0.1787037037037037],[1],[0],[0],[34.3218042999506],,,,,,,,,,,,,,,,,,,,,,,,,ÜR17_B_LB,001,LB,2024-06-25_14h43.30.199,Balance_and_VR_B,2024.1.5,None,2024-06-25 14h44.33.104762 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237.4262117999606,4.830001853406429e-05,1237.451905600028,1237.451905600028,1237.451905600028,1237.451905600028,1447.4377317999024,"[0.7611111111111111, 0.39537037037037037, 0.325, -0.3972222222222222]","[0.1787037037037037, 0.24444444444444444, -0.3425925925925926, -0.16944444444444445]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.0005306999664753675, 78.27354550012387, 92.401585200103, 171.008582000155]","['Other_Block_B_04', 'Arms_Block_B_04', 'Legs_Block_B_04']",,,,,,,,,,,ÜR17_B_LB,001,LB,2024-06-25_14h43.30.199,Balance_and_VR_B,2024.1.5,None,2024-06-25 14h44.33.104762 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1447.4379455999006,1447.4541575999465,0.011771499877795577,1453.0047210999765,[0.7888888888888889],[0.15925925925925927],[1],[0],[0],[5.566171200014651],ÜR17_B_LB,001,LB,2024-06-25_14h43.30.199,Balance_and_VR_B,2024.1.5,None,2024-06-25 14h44.33.104762 +0200,
