thisRow.t,notes,Welcome_A.started,Welcome.started,mouse.started,Welcome_A.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Condition_A.started,mouse_3.started,ConditionA.started,Condition_A.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Block_A_01.started,Klicks_Block_A_01.started,Arms_Block_A_01.started,Legs_Block_A_01.started,Other_Block_A_01.started,Head_Block_A_01.started,Block_A_01.stopped,Klicks_Block_A_01.x,Klicks_Block_A_01.y,Klicks_Block_A_01.leftButton,Klicks_Block_A_01.midButton,Klicks_Block_A_01.rightButton,Klicks_Block_A_01.time,Klicks_Block_A_01.clicked_name,Filler_A_01.started,mouse_5.started,Text_FIller_A01.started,Filler_A_01.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,Block_A_02.started,Klicks_Block_A_02.started,Arms_Block_A_02.started,Legs_Block_A_02.started,Other_Block_A_02.started,Head_Block_A_02.started,Block_A_02.stopped,Klicks_Block_A_02.x,Klicks_Block_A_02.y,Klicks_Block_A_02.leftButton,Klicks_Block_A_02.midButton,Klicks_Block_A_02.rightButton,Klicks_Block_A_02.time,Klicks_Block_A_02.clicked_name,Filler_A_02.started,mouse_6.started,Text_Filler_A_02.started,Filler_A_02.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Block_A_03.started,Klicks_Block_A_03.started,Arms_Block_A_03.started,Legs_Block_A_03.started,Other_Block_A_03.started,Head_Block_A_03.started,Block_A_03.stopped,Klicks_Block_A_03.x,Klicks_Block_A_03.y,Klicks_Block_A_03.leftButton,Klicks_Block_A_03.midButton,Klicks_Block_A_03.rightButton,Klicks_Block_A_03.time,Klicks_Block_A_03.clicked_name,Filler_A_03.started,mouse_7.started,Text_Filler_A_03.started,Filler_A_03.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Block_A_04.started,Klicks_Block_A_04.started,Arms_Block_A_04.started,Legs_Block_A_04.started,Other_Block_A_04.started,Head_Block_A_04.started,Block_A_04.stopped,Klicks_Block_A_04.x,Klicks_Block_A_04.y,Klicks_Block_A_04.leftButton,Klicks_Block_A_04.midButton,Klicks_Block_A_04.rightButton,Klicks_Block_A_04.time,Klicks_Block_A_04.clicked_name,Goodbye.started,GoodBye.started,mouse_4.started,participant,session,Condition,date,expName,psychopyVersion,frameRate,expStart,
,,0.01605780003592372,0.034809399978257716,0.01587860006839037,0.5867755999788642,[0.11203703703703703],[-0.024074074074074074],[1],[0],[0],[0.5698401000117883],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test33,001,hb,2024-06-14_14h59.39.446,Balance_and_VR_A,2024.1.5,None,2024-06-14 14h59.55.215481 +0200,
,,,,,,,,,,,,0.5869307999964803,4.299997817724943e-05,0.602290700073354,1.0366384000517428,[0.11203703703703703],[-0.024074074074074074],[1],[0],[0],[0.4491342999972403],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test33,001,hb,2024-06-14_14h59.39.446,Balance_and_VR_A,2024.1.5,None,2024-06-14 14h59.55.215481 +0200,
,,,,,,,,,,,,,,,,,,,,,,1.0367562000174075,4.9900030717253685e-05,1.085950899985619,1.085950899985619,1.085950899985619,1.085950899985619,211.04804100003093,[0.11203703703703703],[-0.024074074074074074],[1],[0],[0],[0.0006208999548107386],['Arms_Block_A_01'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test33,001,hb,2024-06-14_14h59.39.446,Balance_and_VR_A,2024.1.5,None,2024-06-14 14h59.55.215481 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.0481714999769,0.01145120000001043,211.0644816000713,224.04551109997556,[0.45555555555555555],[-0.025925925925925925],[1],[0],[0],[12.99685989995487],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test33,001,hb,2024-06-14_14h59.39.446,Balance_and_VR_A,2024.1.5,None,2024-06-14 14h59.55.215481 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.04561799997464,4.47999918833375e-05,224.07339120004326,224.07339120004326,224.07339120004326,224.07339120004326,434.0560799000086,[0.45555555555555555],[-0.025925925925925925],[1],[0],[0],[0.0005414000479504466],['Arms_Block_A_02'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test33,001,hb,2024-06-14_14h59.39.446,Balance_and_VR_A,2024.1.5,None,2024-06-14 14h59.55.215481 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.05622859997675,0.010648899944499135,434.07251670002006,469.29496059997473,[0.5324074074074074],[-0.049074074074074076],[1],[0],[0],[35.23817899997812],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test33,001,hb,2024-06-14_14h59.39.446,Balance_and_VR_A,2024.1.5,None,2024-06-14 14h59.55.215481 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469.2950677999761,4.139996599406004e-05,469.3209912000457,469.3209912000457,469.3209912000457,469.3209912000457,679.30654400005,"[0.5324074074074074, 0.3648148148148148, 0.3648148148148148]","[-0.049074074074074076, -0.16574074074074074, -0.16574074074074074]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.0004870999837294221, 68.8433160999557, 206.3634770999197]","['Arms_Block_A_03', 'Arms_Block_A_03']",,,,,,,,,,,,,,,,,,,,,,,,,,,,test33,001,hb,2024-06-14_14h59.39.446,Balance_and_VR_A,2024.1.5,None,2024-06-14 14h59.55.215481 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679.3067203999963,0.011690199957229197,679.3229666000698,717.0945363000501,[0.3648148148148148],[-0.16574074074074074],[1],[0],[0],[37.78728310007136],,,,,,,,,,,,,,,,,,test33,001,hb,2024-06-14_14h59.39.446,Balance_and_VR_A,2024.1.5,None,2024-06-14 14h59.55.215481 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,717.0946631999686,4.780001472681761e-05,717.1189712000778,717.1189712000778,717.1189712000778,717.1189712000778,927.1062323000515,"[0.3648148148148148, 0.3111111111111111]","[-0.16574074074074074, 0.3074074074074074]","[1, 1]","[0, 0]","[0, 0]","[0.0005097000394016504, 149.15036249998957]","['Arms_Block_A_04', 'Other_Block_A_04']",,,,test33,001,hb,2024-06-14_14h59.39.446,Balance_and_VR_A,2024.1.5,None,2024-06-14 14h59.55.215481 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927.1064100000076,927.1227490999736,0.01179230003617704,,,,,,,,,
