thisRow.t,notes,Welcome_B.started,Welcome.started,mouse.started,Welcome_B.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Condition_B.started,mouse_3.started,ConditionB.started,Condition_B.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Block_B_01.started,Klicks_Block_B_01.started,Arms_Block_B_01.started,Legs_Block_B_01.started,Other_Block_B_01.started,Head_Block_B_01.started,Counter_Head_B_01.started,Counter_Other_B_01.started,Counter_Legs_B_01.started,Counter_Arms_B_01.started,Block_B_01.stopped,Klicks_Block_B_01.x,Klicks_Block_B_01.y,Klicks_Block_B_01.leftButton,Klicks_Block_B_01.midButton,Klicks_Block_B_01.rightButton,Klicks_Block_B_01.time,Klicks_Block_B_01.clicked_name,arms_count_B_01,legs_count_B_01,head_count_B_01,other_count_B_01,total_click_count_B_01,Filler_B_01.started,mouse_5.started,Text_FIller_B01.started,Filler_B_01.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,Block_B_02.started,Klicks_Block_B_02.started,Arms_Block_B_02.started,Legs_Block_B_02.started,Other_Block_B_02.started,Head_Block_B_02.started,Counter_Head_B_02.started,Counter_Other_B_02.started,Counter_Legs_B_02.started,Counter_Arms_B_02.started,Block_B_02.stopped,Klicks_Block_B_02.x,Klicks_Block_B_02.y,Klicks_Block_B_02.leftButton,Klicks_Block_B_02.midButton,Klicks_Block_B_02.rightButton,Klicks_Block_B_02.time,Klicks_Block_B_02.clicked_name,arms_count_B_02,legs_count_B_02,head_count_B_02,other_count_B_02,total_click_count_B_02,Filler_B_02.started,mouse_6.started,Text_Filler_B_02.started,Filler_B_02.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Block_B_03.started,Klicks_Block_B_03.started,Arms_Block_B_03.started,Legs_Block_B_03.started,Other_Block_B_03.started,Head_Block_B_03.started,Counter_Head_B_03.started,Counter_Other_B_03.started,Counter_Legs_B_03.started,Counter_Arms_B_03.started,Block_B_03.stopped,Klicks_Block_B_03.x,Klicks_Block_B_03.y,Klicks_Block_B_03.leftButton,Klicks_Block_B_03.midButton,Klicks_Block_B_03.rightButton,Klicks_Block_B_03.time,Klicks_Block_B_03.clicked_name,arms_count_B_03,legs_count_B_03,head_count_B_03,other_count_B_03,total_click_count_B_03,Filler_B_03.started,mouse_7.started,Text_Filler_B_03.started,Filler_B_03.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Block_B_04.started,Klicks_Block_B_04.started,Arms_Block_B_04.started,Legs_Block_B_04.started,Other_Block_B_04.started,Head_Block_B_04.started,Counter_Head_B_04.started,Counter_Other_B_04.started,Counter_Legs_B_04.started,Counter_Arms_B_04.started,Block_B_04.stopped,Klicks_Block_B_04.x,Klicks_Block_B_04.y,Klicks_Block_B_04.leftButton,Klicks_Block_B_04.midButton,Klicks_Block_B_04.rightButton,Klicks_Block_B_04.time,Klicks_Block_B_04.clicked_name,arms_count_B_04,legs_count_B_04,head_count_B_04,other_count_B_04,total_click_count_B_04,GoodBye_Final.started,GoodBye.started,mouse_4.started,GoodBye_Final.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,participant,session,Condition,date,expName,psychopyVersion,frameRate,expStart,
,,0.005395800108090043,0.01804019999690354,0.0052091998513787985,740.7846658001654,[-0.225],[0.1685185185185185],[1],[0],[0],[740.778493200196],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RE13ON18,001,LB,2026-07-10_11h29.36.981,Balance_and_VR_B,2024.1.5,None,2026-07-10 11h30.11.745265 +0200,
,,,,,,,,,,,,740.7848310000263,4.060007631778717e-05,740.8002251000144,781.5205123000778,[-0.41759259259259257],[0.3962962962962963],[1],[0],[0],[40.735221500042826],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RE13ON18,001,LB,2026-07-10_11h29.36.981,Balance_and_VR_B,2024.1.5,None,2026-07-10 11h30.11.745265 +0200,
,,,,,,,,,,,,,,,,,,,,,,781.5206126000267,0.00035419990308582783,781.5810966000427,781.5810966000427,781.5810966000427,781.5810966000427,781.5810966000427,781.5810966000427,781.5810966000427,781.5810966000427,991.5319096001331,"[-0.41759259259259257, 0.15833333333333333, 0.15833333333333333, -0.14722222222222223]","[0.3962962962962963, -0.07037037037037037, -0.07037037037037037, 0.21203703703703702]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.0005677998997271061, 57.21349180000834, 82.888339899946, 175.4233446000144]","['Head_Block_B_01', 'Arms_Block_B_01', 'Arms_Block_B_01', 'Head_Block_B_01']",2,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RE13ON18,001,LB,2026-07-10_11h29.36.981,Balance_and_VR_B,2024.1.5,None,2026-07-10 11h30.11.745265 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,991.5321221000049,0.01154579990543425,991.5483809001744,1020.8240351001732,[-0.14722222222222223],[0.21203703703703702],[1],[0],[0],[29.291194899939],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RE13ON18,001,LB,2026-07-10_11h29.36.981,Balance_and_VR_B,2024.1.5,None,2026-07-10 11h30.11.745265 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020.8242017000448,0.0002576999831944704,1020.845635100035,1020.845635100035,1020.845635100035,1020.845635100035,1020.845635100035,1020.845635100035,1020.845635100035,1020.845635100035,1230.8340396001004,"[-0.14722222222222223, -0.28055555555555556, 0.33240740740740743, 0.2064814814814815, 0.39814814814814814]","[0.21203703703703702, -0.3175925925925926, 0.35648148148148145, -0.17314814814814813, 0.2601851851851852]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0.0006939000450074673, 13.845074300188571, 95.0499526001513, 170.22589390003122, 200.29677939997055]","['Head_Block_B_02', 'Legs_Block_B_02', 'Other_Block_B_02', 'Arms_Block_B_02', 'Other_Block_B_02']",1,1,0,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RE13ON18,001,LB,2026-07-10_11h29.36.981,Balance_and_VR_B,2024.1.5,None,2026-07-10 11h30.11.745265 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1230.8342649000697,0.010103899985551834,1230.8505910001695,1265.9237655000761,[0.17962962962962964],[0.36666666666666664],[1],[0],[0],[35.08904920006171],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RE13ON18,001,LB,2026-07-10_11h29.36.981,Balance_and_VR_B,2024.1.5,None,2026-07-10 11h30.11.745265 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1265.9238687001634,0.00014739995822310448,1265.9430317000952,1265.9430317000952,1265.9430317000952,1265.9430317000952,1265.9430317000952,1265.9430317000952,1265.9430317000952,1265.9430317000952,1475.9343799999915,"[0.17962962962962964, -0.30925925925925923, 0.2388888888888889, 0.2388888888888889]","[0.36666666666666664, -0.06759259259259259, -0.1398148148148148, -0.1398148148148148]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.000497099943459034, 71.6088393998798, 188.50245949998498, 197.88304289989173]","['Other_Block_B_03', 'Legs_Block_B_03', 'Arms_Block_B_03', 'Arms_Block_B_03']",2,1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RE13ON18,001,LB,2026-07-10_11h29.36.981,Balance_and_VR_B,2024.1.5,None,2026-07-10 11h30.11.745265 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475.9345961001236,0.010763099882751703,1475.9510343000293,1510.9737154999748,[0.20462962962962963],[-0.044444444444444446],[1],[0],[0],[35.03860450000502],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RE13ON18,001,LB,2026-07-10_11h29.36.981,Balance_and_VR_B,2024.1.5,None,2026-07-10 11h30.11.745265 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1510.9738447000273,0.0001501999795436859,1510.9933376000263,1510.9933376000263,1510.9933376000263,1510.9933376000263,1510.9933376000263,1510.9933376000263,1510.9933376000263,1510.9933376000263,1720.9848925000988,"[0.20462962962962963, -0.2064814814814815, -0.2064814814814815]","[-0.044444444444444446, -0.1787037037037037, -0.1787037037037037]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.0005864000413566828, 80.20575580000877, 130.95487389992923]","['Arms_Block_B_04', 'Legs_Block_B_04', 'Legs_Block_B_04']",0,2,0,0,2,,,,,,,,,,,RE13ON18,001,LB,2026-07-10_11h29.36.981,Balance_and_VR_B,2024.1.5,None,2026-07-10 11h30.11.745265 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1720.9851393999998,1721.001219799975,0.011331900022923946,1726.7500092999544,[-0.002777777777777778],[0.0],[1],[0],[0],[5.764277999987826],RE13ON18,001,LB,2026-07-10_11h29.36.981,Balance_and_VR_B,2024.1.5,None,2026-07-10 11h30.11.745265 +0200,
