thisRow.t,notes,Welcome_A.started,Welcome.started,mouse.started,Welcome_A.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Condition_A.started,mouse_3.started,ConditionA.started,Condition_A.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Block_A_01.started,Klicks_Block_A_01.started,Arms_Block_A_01.started,Legs_Block_A_01.started,Other_Block_A_01.started,Head_Block_A_01.started,Block_A_01.stopped,Klicks_Block_A_01.x,Klicks_Block_A_01.y,Klicks_Block_A_01.leftButton,Klicks_Block_A_01.midButton,Klicks_Block_A_01.rightButton,Klicks_Block_A_01.time,Klicks_Block_A_01.clicked_name,Filler_A_01.started,mouse_5.started,Text_FIller_A01.started,Filler_A_01.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,Block_A_02.started,Klicks_Block_A_02.started,Arms_Block_A_02.started,Legs_Block_A_02.started,Other_Block_A_02.started,Head_Block_A_02.started,Block_A_02.stopped,Klicks_Block_A_02.x,Klicks_Block_A_02.y,Klicks_Block_A_02.leftButton,Klicks_Block_A_02.midButton,Klicks_Block_A_02.rightButton,Klicks_Block_A_02.time,Klicks_Block_A_02.clicked_name,Filler_A_02.started,mouse_6.started,Text_Filler_A_02.started,Filler_A_02.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Block_A_03.started,Klicks_Block_A_03.started,Arms_Block_A_03.started,Legs_Block_A_03.started,Other_Block_A_03.started,Head_Block_A_03.started,Block_A_03.stopped,Klicks_Block_A_03.x,Klicks_Block_A_03.y,Klicks_Block_A_03.leftButton,Klicks_Block_A_03.midButton,Klicks_Block_A_03.rightButton,Klicks_Block_A_03.time,Klicks_Block_A_03.clicked_name,Filler_A_03.started,mouse_7.started,Text_Filler_A_03.started,Filler_A_03.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Block_A_04.started,Klicks_Block_A_04.started,Arms_Block_A_04.started,Legs_Block_A_04.started,Other_Block_A_04.started,Head_Block_A_04.started,Block_A_04.stopped,Klicks_Block_A_04.x,Klicks_Block_A_04.y,Klicks_Block_A_04.leftButton,Klicks_Block_A_04.midButton,Klicks_Block_A_04.rightButton,Klicks_Block_A_04.time,Klicks_Block_A_04.clicked_name,Goodbye.started,GoodBye.started,mouse_4.started,Goodbye.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,participant,session,Condition,date,expName,psychopyVersion,frameRate,expStart,
,,0.008602100191637874,0.022199200000613928,0.00841359980404377,16.67298989999108,[-0.15555555555555556],[0.11944444444444445],[1],[0],[0],[16.66359949996695],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SA09OR12_A_LB_,001,,2024-06-27_09h19.08.300,Balance_and_VR_A,2024.1.5,None,2024-06-27 09h19.39.258588 +0200,
,,,,,,,,,,,,16.673166900174692,3.8800062611699104e-05,16.68925580009818,99.12367240013555,[-0.15555555555555556],[0.11944444444444445],[1],[0],[0],[82.4498419999145],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SA09OR12_A_LB_,001,,2024-06-27_09h19.08.300,Balance_and_VR_A,2024.1.5,None,2024-06-27 09h19.39.258588 +0200,
,,,,,,,,,,,,,,,,,,,,,,99.12381300004199,5.4900068789720535e-05,99.17358370008878,99.17358370008878,99.17358370008878,99.17358370008878,309.13466490013525,"[-0.15555555555555556, -0.35185185185185186, -0.23055555555555557, -0.16296296296296298, -0.225, 0.2462962962962963]","[0.11944444444444445, -0.25555555555555554, 0.22592592592592592, 0.25277777777777777, 0.2324074074074074, -0.2935185185185185]","[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0.000687899999320507, 21.59382910002023, 122.87547380011529, 142.867679100018, 195.766717400169, 196.76840070006438]","['Head_Block_A_01', 'Legs_Block_A_01', 'Head_Block_A_01', 'Head_Block_A_01', 'Head_Block_A_01', 'Arms_Block_A_01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SA09OR12_A_LB_,001,,2024-06-27_09h19.08.300,Balance_and_VR_A,2024.1.5,None,2024-06-27 09h19.39.258588 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.13490190007724,0.011127900099381804,309.1510259001516,344.02388030011207,[-0.4546296296296296],[0.05277777777777778],[1],[0],[0],[34.888376200105995],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SA09OR12_A_LB_,001,,2024-06-27_09h19.08.300,Balance_and_VR_A,2024.1.5,None,2024-06-27 09h19.39.258588 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.02399260015227,4.620011895895004e-05,344.04784410004504,344.04784410004504,344.04784410004504,344.04784410004504,554.035235900199,"[-0.4546296296296296, -0.24259259259259258, -0.737037037037037, 0.21666666666666667]","[0.05277777777777778, 0.22777777777777777, 0.08888888888888889, -0.22777777777777777]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.0005536000244319439, 38.186748899985105, 39.42045099986717, 86.33703669998795]","['Head_Block_A_02', 'Head_Block_A_02', 'Arms_Block_A_02']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SA09OR12_A_LB_,001,,2024-06-27_09h19.08.300,Balance_and_VR_A,2024.1.5,None,2024-06-27 09h19.39.258588 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554.035429400159,0.011483100010082126,554.0517332002055,588.8583694000263,[-0.5731481481481482],[-0.1259259259259259],[1],[0],[0],[34.82223519985564],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SA09OR12_A_LB_,001,,2024-06-27_09h19.08.300,Balance_and_VR_A,2024.1.5,None,2024-06-27 09h19.39.258588 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588.8584923001472,5.310005508363247e-05,588.8826111000963,588.8826111000963,588.8826111000963,588.8826111000963,798.8693423001096,"[-0.5731481481481482, -0.1675925925925926, -0.587037037037037, -0.587037037037037, -0.5333333333333333]","[-0.1259259259259259, -0.15185185185185185, -0.2361111111111111, -0.2361111111111111, -0.2388888888888889]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0.0005856000352650881, 65.8943080001045, 123.72397260018624, 124.22389090014622, 195.08340040012263]",['Legs_Block_A_03'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SA09OR12_A_LB_,001,,2024-06-27_09h19.08.300,Balance_and_VR_A,2024.1.5,None,2024-06-27 09h19.39.258588 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798.8695769000333,0.011128900106996298,798.8858906000387,833.8582181001548,[-0.5314814814814814],[-0.2388888888888889],[1],[0],[0],[34.98814449994825],,,,,,,,,,,,,,,,,,,,,,,,,SA09OR12_A_LB_,001,,2024-06-27_09h19.08.300,Balance_and_VR_A,2024.1.5,None,2024-06-27 09h19.39.258588 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,833.8583325999789,4.770001396536827e-05,833.8844537001569,833.8844537001569,833.8844537001569,833.8844537001569,1043.869786700001,"[-0.5314814814814814, -0.22777777777777777, -0.31574074074074077, 0.225]","[-0.2388888888888889, -0.2212962962962963, -0.18981481481481483, -0.1962962962962963]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.0005095000378787518, 55.765071500092745, 164.6116285000462, 189.81923670019023]","['Legs_Block_A_04', 'Legs_Block_A_04', 'Arms_Block_A_04']",,,,,,,,,,,SA09OR12_A_LB_,001,,2024-06-27_09h19.08.300,Balance_and_VR_A,2024.1.5,None,2024-06-27 09h19.39.258588 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1043.870007000165,1043.8863156000152,0.011713200015947223,1046.6862246000674,[-0.5092592592592593],[-0.023148148148148147],[1],[0],[0],[2.81567779998295],SA09OR12_A_LB_,001,,2024-06-27_09h19.08.300,Balance_and_VR_A,2024.1.5,None,2024-06-27 09h19.39.258588 +0200,
