thisRow.t,notes,Welcome_B.started,Welcome.started,mouse.started,Welcome_B.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Condition_B.started,mouse_3.started,ConditionB.started,Condition_B.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Block_B_01.started,Klicks_Block_B_01.started,Arms_Block_B_01.started,Legs_Block_B_01.started,Other_Block_B_01.started,Head_Block_B_01.started,Block_B_01.stopped,Klicks_Block_B_01.x,Klicks_Block_B_01.y,Klicks_Block_B_01.leftButton,Klicks_Block_B_01.midButton,Klicks_Block_B_01.rightButton,Klicks_Block_B_01.time,Klicks_Block_B_01.clicked_name,Filler_B_01.started,mouse_5.started,Text_FIller_B01.started,Filler_B_01.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,Block_B_02.started,Klicks_Block_B_02.started,Arms_Block_B_02.started,Legs_Block_B_02.started,Other_Block_B_02.started,Head_Block_B_02.started,Block_B_02.stopped,Klicks_Block_B_02.x,Klicks_Block_B_02.y,Klicks_Block_B_02.leftButton,Klicks_Block_B_02.midButton,Klicks_Block_B_02.rightButton,Klicks_Block_B_02.time,Klicks_Block_B_02.clicked_name,Filler_B_02.started,mouse_6.started,Text_Filler_B_02.started,Filler_B_02.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Block_B_03.started,Klicks_Block_B_03.started,Arms_Block_B_03.started,Legs_Block_B_03.started,Other_Block_B_03.started,Head_Block_B_03.started,Block_B_03.stopped,Klicks_Block_B_03.x,Klicks_Block_B_03.y,Klicks_Block_B_03.leftButton,Klicks_Block_B_03.midButton,Klicks_Block_B_03.rightButton,Klicks_Block_B_03.time,Klicks_Block_B_03.clicked_name,Filler_B_03.started,mouse_7.started,Text_Filler_B_03.started,Filler_B_03.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Block_B_04.started,Klicks_Block_B_04.started,Arms_Block_B_04.started,Legs_Block_B_04.started,Other_Block_B_04.started,Head_Block_B_04.started,Block_B_04.stopped,Klicks_Block_B_04.x,Klicks_Block_B_04.y,Klicks_Block_B_04.leftButton,Klicks_Block_B_04.midButton,Klicks_Block_B_04.rightButton,Klicks_Block_B_04.time,Klicks_Block_B_04.clicked_name,GoodBye_Final.started,GoodBye.started,mouse_4.started,GoodBye_Final.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,participant,session,Condition,date,expName,psychopyVersion,frameRate,expStart,
,,0.0051454000640660524,0.022192100062966347,0.004840499954298139,643.913005999988,[-0.0962962962962963],[-0.2037037037037037],[1],[0],[0],[643.9060320998542],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI21ÜR22_B_LB,B,LB,2024-07-11_11h10.53.272,Balance_and_VR_B,2024.1.5,None,2024-07-11 11h11.42.652363 +0200,
,,,,,,,,,,,,643.9135974999517,0.0001908999402076006,643.9308954998851,648.0235859998502,[-0.0962962962962963],[-0.2037037037037037],[1],[0],[0],[4.108602800173685],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI21ÜR22_B_LB,B,LB,2024-07-11_11h10.53.272,Balance_and_VR_B,2024.1.5,None,2024-07-11 11h11.42.652363 +0200,
,,,,,,,,,,,,,,,,,,,,,,648.023953899974,0.00020529981702566147,648.1288294000551,648.1288294000551,648.1288294000551,648.1288294000551,858.0326719998848,"[-0.0962962962962963, -0.2064814814814815, 0.23796296296296296, 0.22314814814814815, 0.33055555555555555, 0.33055555555555555, 0.33055555555555555, -0.42962962962962964, 0.32222222222222224, -0.2916666666666667, 0.19537037037037036, 0.19537037037037036, 0.19537037037037036, 0.1824074074074074, 0.20925925925925926, -0.2601851851851852, -0.2601851851851852, 0.362962962962963, 0.362962962962963]","[-0.2037037037037037, 0.18425925925925926, -0.2064814814814815, 0.30462962962962964, -0.28703703703703703, -0.28703703703703703, -0.28703703703703703, 0.33240740740740743, 0.22685185185185186, -0.23796296296296296, -0.2324074074074074, -0.2324074074074074, -0.2324074074074074, 0.1537037037037037, -0.16203703703703703, -0.18888888888888888, -0.18888888888888888, -0.2324074074074074, -0.2324074074074074]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0022029001265764236, 17.607782500097528, 22.53992459992878, 24.388620200101286, 47.06564379995689, 57.76075730007142, 68.09033549996093, 72.75682320003398, 73.95525930006988, 97.36693429993466, 99.18204370001331, 124.80526009993628, 126.88750900002196, 158.161370200105, 159.50961420009844, 180.3869805999566, 182.46875300002284, 187.11886049993336, 196.51397530012764]","['Legs_Block_B_01', 'Head_Block_B_01', 'Arms_Block_B_01', 'Other_Block_B_01', 'Arms_Block_B_01', 'Arms_Block_B_01', 'Arms_Block_B_01', 'Head_Block_B_01', 'Other_Block_B_01', 'Legs_Block_B_01', 'Arms_Block_B_01', 'Arms_Block_B_01', 'Arms_Block_B_01', 'Other_Block_B_01', 'Arms_Block_B_01', 'Legs_Block_B_01', 'Legs_Block_B_01', 'Arms_Block_B_01', 'Arms_Block_B_01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI21ÜR22_B_LB,B,LB,2024-07-11_11h10.53.272,Balance_and_VR_B,2024.1.5,None,2024-07-11 11h11.42.652363 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,858.033376700012,0.009491699980571866,858.0488531000447,889.1427076000255,[0.25277777777777777],[-0.21944444444444444],[1],[0],[0],[31.107731299940497],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI21ÜR22_B_LB,B,LB,2024-07-11_11h10.53.272,Balance_and_VR_B,2024.1.5,None,2024-07-11 11h11.42.652363 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,889.1431833999231,0.00018190010450780392,889.248977900017,889.248977900017,889.248977900017,889.248977900017,1099.1514448998496,"[0.25277777777777777, 0.23425925925925925, 0.23796296296296296, 0.2490740740740741, -0.36666666666666664, 0.337037037037037, -0.3388888888888889, 0.21296296296296297, 0.21296296296296297, 0.17962962962962964, 0.17962962962962964, -0.23703703703703705, 0.23055555555555557, 0.22037037037037038]","[-0.21944444444444444, 0.18333333333333332, -0.14537037037037037, -0.1675925925925926, -0.17592592592592593, -0.17962962962962964, 0.35462962962962963, 0.3138888888888889, 0.3138888888888889, -0.3037037037037037, -0.3037037037037037, 0.29907407407407405, -0.23333333333333334, 0.2537037037037037]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0023632000666111708, 8.959847599966452, 11.29239990003407, 24.105751800118014, 42.782462999923155, 43.932423300109804, 45.63097870000638, 47.715813799994066, 99.71298650000244, 107.4603995999787, 116.67568779992871, 118.62413859996013, 147.43016889994033, 191.72017080010846]","['Arms_Block_B_02', 'Other_Block_B_02', 'Arms_Block_B_02', 'Arms_Block_B_02', 'Legs_Block_B_02', 'Arms_Block_B_02', 'Head_Block_B_02', 'Other_Block_B_02', 'Other_Block_B_02', 'Arms_Block_B_02', 'Arms_Block_B_02', 'Head_Block_B_02', 'Arms_Block_B_02', 'Other_Block_B_02']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI21ÜR22_B_LB,B,LB,2024-07-11_11h10.53.272,Balance_and_VR_B,2024.1.5,None,2024-07-11 11h11.42.652363 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1099.1521453999449,0.009035900002345443,1099.1677518999204,1133.5663111999165,[-0.19537037037037036],[0.2324074074074074],[1],[0],[0],[34.412096000043675],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI21ÜR22_B_LB,B,LB,2024-07-11_11h10.53.272,Balance_and_VR_B,2024.1.5,None,2024-07-11 11h11.42.652363 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1133.5669825999066,0.00030250009149312973,1133.6948748000432,1133.6948748000432,1133.6948748000432,1133.6948748000432,1343.5699028000236,"[-0.19537037037037036, 0.23981481481481481, -0.2037037037037037, -0.2037037037037037, 0.24537037037037038, -0.18703703703703703, 0.08425925925925926, 0.3527777777777778, 0.3527777777777778, -0.26944444444444443, 0.22962962962962963, -0.16203703703703703, 0.36666666666666664, -0.3435185185185185, -0.17037037037037037, 0.11018518518518519, 0.41944444444444445, 0.275, 0.2916666666666667, 0.29259259259259257, -0.04537037037037037, 0.21666666666666667]","[0.2324074074074074, -0.09074074074074075, 0.30925925925925923, 0.30925925925925923, 0.28055555555555556, -0.1962962962962963, -0.2824074074074074, 0.15833333333333333, 0.15833333333333333, 0.20462962962962963, 0.2712962962962963, 0.2611111111111111, -0.22870370370370371, 0.2814814814814815, -0.1675925925925926, 0.27870370370370373, -0.11666666666666667, 0.21296296296296297, 0.20462962962962963, -0.2638888888888889, 0.20833333333333334, 0.20925925925925926]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0033730000723153353, 10.038361700018868, 14.785865999991074, 37.6441163001582, 39.44401470012963, 42.342268500011414, 49.14002469996922, 53.156501500168815, 65.25188000011258, 68.16716940002516, 80.47965930006467, 93.64262449997477, 107.77347000013106, 110.01938199996948, 117.58348240004852, 131.7631163999904, 145.45792960003018, 148.22531590005383, 161.30294490000233, 165.76798080001026, 167.20084680011496, 172.5496223999653]","['Head_Block_B_03', 'Arms_Block_B_03', 'Head_Block_B_03', 'Head_Block_B_03', 'Other_Block_B_03', 'Legs_Block_B_03', 'Arms_Block_B_03', 'Other_Block_B_03', 'Other_Block_B_03', 'Head_Block_B_03', 'Other_Block_B_03', 'Head_Block_B_03', 'Arms_Block_B_03', 'Head_Block_B_03', 'Legs_Block_B_03', 'Other_Block_B_03', 'Arms_Block_B_03', 'Other_Block_B_03', 'Other_Block_B_03', 'Arms_Block_B_03', 'Head_Block_B_03', 'Other_Block_B_03']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI21ÜR22_B_LB,B,LB,2024-07-11_11h10.53.272,Balance_and_VR_B,2024.1.5,None,2024-07-11 11h11.42.652363 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1343.5713022998534,0.004447400104254484,1343.5860804999247,1376.7813077999745,[-0.0787037037037037],[-0.21851851851851853],[1],[0],[0],[33.20822800020687],,,,,,,,,,,,,,,,,,,,,,,,,SI21ÜR22_B_LB,B,LB,2024-07-11_11h10.53.272,Balance_and_VR_B,2024.1.5,None,2024-07-11 11h11.42.652363 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1376.78176719998,0.0002482999116182327,1376.9104205998592,1376.9104205998592,1376.9104205998592,1376.9104205998592,1586.7871379998978,"[-0.0787037037037037, 0.34074074074074073, 0.25925925925925924, 0.25925925925925924, -0.1787037037037037, 0.25462962962962965, -0.18703703703703703, 0.30462962962962964, 0.2712962962962963, 0.2712962962962963, 0.23055555555555557, -0.27037037037037037, 0.2462962962962963, 0.26851851851851855, -0.23703703703703705, 0.21203703703703702, 0.2740740740740741, 0.17592592592592593, 0.3435185185185185, 0.3435185185185185, 0.22407407407407406]","[-0.21851851851851853, 0.262037037037037, -0.2064814814814815, -0.2064814814814815, -0.19444444444444445, -0.20833333333333334, 0.19074074074074074, -0.3175925925925926, 0.21388888888888888, 0.21388888888888888, 0.23981481481481481, 0.25277777777777777, -0.1925925925925926, 0.2111111111111111, -0.23055555555555557, -0.2574074074074074, -0.25, 0.14814814814814814, -0.2490740740740741, -0.2490740740740741, 0.1425925925925926]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.002305000089108944, 15.429396300110966, 17.887443700106815, 23.568868200061843, 39.280304100131616, 40.36294090002775, 46.49578470014967, 48.54367500008084, 56.87675520009361, 67.38746090000495, 88.33228350011632, 99.67869710014202, 106.14185080002062, 110.80778210004792, 116.6573002000805, 129.59986310009845, 155.8948961000424, 179.60018620011397, 181.28266620007344, 207.0738516000565, 209.04018740006723]","['Legs_Block_B_04', 'Other_Block_B_04', 'Arms_Block_B_04', 'Arms_Block_B_04', 'Legs_Block_B_04', 'Arms_Block_B_04', 'Head_Block_B_04', 'Arms_Block_B_04', 'Other_Block_B_04', 'Other_Block_B_04', 'Other_Block_B_04', 'Head_Block_B_04', 'Arms_Block_B_04', 'Other_Block_B_04', 'Legs_Block_B_04', 'Arms_Block_B_04', 'Arms_Block_B_04', 'Other_Block_B_04', 'Arms_Block_B_04', 'Arms_Block_B_04', 'Other_Block_B_04']",,,,,,,,,,,SI21ÜR22_B_LB,B,LB,2024-07-11_11h10.53.272,Balance_and_VR_B,2024.1.5,None,2024-07-11 11h11.42.652363 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1586.7878799999598,1586.8034765999764,0.006187599850818515,1592.8775688998867,[0.2898148148148148],[-0.18425925925925926],[1],[0],[0],[6.087885399814695],SI21ÜR22_B_LB,B,LB,2024-07-11_11h10.53.272,Balance_and_VR_B,2024.1.5,None,2024-07-11 11h11.42.652363 +0200,
