thisRow.t,notes,Welcome_A.started,Welcome.started,mouse.started,Welcome_A.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Condition_A.started,mouse_3.started,ConditionA.started,Condition_A.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Block_A_01.started,Klicks_Block_A_01.started,Arms_Block_A_01.started,Legs_Block_A_01.started,Other_Block_A_01.started,Head_Block_A_01.started,Block_A_01.stopped,Klicks_Block_A_01.x,Klicks_Block_A_01.y,Klicks_Block_A_01.leftButton,Klicks_Block_A_01.midButton,Klicks_Block_A_01.rightButton,Klicks_Block_A_01.time,Klicks_Block_A_01.clicked_name,Filler_A_01.started,mouse_5.started,Text_FIller_A01.started,Filler_A_01.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,Block_A_02.started,Klicks_Block_A_02.started,Arms_Block_A_02.started,Legs_Block_A_02.started,Other_Block_A_02.started,Head_Block_A_02.started,Block_A_02.stopped,Klicks_Block_A_02.x,Klicks_Block_A_02.y,Klicks_Block_A_02.leftButton,Klicks_Block_A_02.midButton,Klicks_Block_A_02.rightButton,Klicks_Block_A_02.time,Klicks_Block_A_02.clicked_name,Filler_A_02.started,mouse_6.started,Text_Filler_A_02.started,Filler_A_02.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Block_A_03.started,Klicks_Block_A_03.started,Arms_Block_A_03.started,Legs_Block_A_03.started,Other_Block_A_03.started,Head_Block_A_03.started,Block_A_03.stopped,Klicks_Block_A_03.x,Klicks_Block_A_03.y,Klicks_Block_A_03.leftButton,Klicks_Block_A_03.midButton,Klicks_Block_A_03.rightButton,Klicks_Block_A_03.time,Klicks_Block_A_03.clicked_name,Filler_A_03.started,mouse_7.started,Text_Filler_A_03.started,Filler_A_03.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Block_A_04.started,Klicks_Block_A_04.started,Arms_Block_A_04.started,Legs_Block_A_04.started,Other_Block_A_04.started,Head_Block_A_04.started,Block_A_04.stopped,Klicks_Block_A_04.x,Klicks_Block_A_04.y,Klicks_Block_A_04.leftButton,Klicks_Block_A_04.midButton,Klicks_Block_A_04.rightButton,Klicks_Block_A_04.time,Klicks_Block_A_04.clicked_name,Goodbye.started,GoodBye.started,mouse_4.started,participant,session,Condition,date,expName,psychopyVersion,frameRate,expStart,
,,0.007948500104248524,0.025568700162693858,0.007688199868425727,1004.4216754999943,[-0.03796296296296296],[-0.008333333333333333],[1],[0],[0],[1004.4131414000876],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA17ER04_A_LB,LB,A,2024-06-19_10h25.37.658,Balance_and_VR_A,2024.1.5,None,2024-06-19 10h26.11.971911 +0200,
,,,,,,,,,,,,1004.4218175001442,3.3700140193104744e-05,1004.4364414000884,1013.6855326001532,[-0.03796296296296296],[-0.008333333333333333],[1],[0],[0],[9.263253400102258],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA17ER04_A_LB,LB,A,2024-06-19_10h25.37.658,Balance_and_VR_A,2024.1.5,None,2024-06-19 10h26.11.971911 +0200,
,,,,,,,,,,,,,,,,,,,,,,1013.6856663001236,5.719996988773346e-05,1013.7367773000151,1013.7367773000151,1013.7367773000151,1013.7367773000151,1223.6958457999863,[-0.03796296296296296],[-0.008333333333333333],[1],[0],[0],[0.0005846999119967222],['Legs_Block_A_01'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA17ER04_A_LB,LB,A,2024-06-19_10h25.37.658,Balance_and_VR_A,2024.1.5,None,2024-06-19 10h26.11.971911 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1223.6959731001407,0.010341299930587411,1223.7122835000046,1258.9182418000419,[0.2064814814814815],[-0.2324074074074074],[1],[0],[0],[35.22181660006754],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA17ER04_A_LB,LB,A,2024-06-19_10h25.37.658,Balance_and_VR_A,2024.1.5,None,2024-06-19 10h26.11.971911 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1258.9183512001764,4.329998046159744e-05,1258.9473243001848,1258.9473243001848,1258.9473243001848,1258.9473243001848,1468.92953329999,"[0.2064814814814815, 0.2935185185185185, 0.2935185185185185]","[-0.2324074074074074, 0.1111111111111111, 0.1111111111111111]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.0005332001019269228, 87.53788159997202, 88.06998170004226]","['Arms_Block_A_02', 'Other_Block_A_02', 'Other_Block_A_02']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA17ER04_A_LB,LB,A,2024-06-19_10h25.37.658,Balance_and_VR_A,2024.1.5,None,2024-06-19 10h26.11.971911 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1468.9297007001005,0.011386999860405922,1468.9461235001218,1499.5036394000053,[0.3435185185185185],[-0.34444444444444444],[1],[0],[0],[30.57346189999953],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA17ER04_A_LB,LB,A,2024-06-19_10h25.37.658,Balance_and_VR_A,2024.1.5,None,2024-06-19 10h26.11.971911 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1499.5037448001094,4.6999892219901085e-05,1499.5275675000157,1499.5275675000157,1499.5275675000157,1499.5275675000157,1709.5149660999887,"[0.3435185185185185, 0.325, 0.2675925925925926]","[-0.34444444444444444, 0.17314814814814813, 0.1824074074074074]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.0005365000106394291, 178.82372610014863, 193.48417980014347]","['Arms_Block_A_03', 'Other_Block_A_03', 'Other_Block_A_03']",,,,,,,,,,,,,,,,,,,,,,,,,,,,TA17ER04_A_LB,LB,A,2024-06-19_10h25.37.658,Balance_and_VR_A,2024.1.5,None,2024-06-19 10h26.11.971911 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1709.5151653001085,0.011472899932414293,1709.531547700055,1748.4537288001738,[0.23981481481481481],[0.20555555555555555],[1],[0],[0],[38.93805260001682],,,,,,,,,,,,,,,,,,TA17ER04_A_LB,LB,A,2024-06-19_10h25.37.658,Balance_and_VR_A,2024.1.5,None,2024-06-19 10h26.11.971911 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1748.4538434001151,4.4800108298659325e-05,1748.4788490000647,1748.4788490000647,1748.4788490000647,1748.4788490000647,1958.464282500092,"[0.23981481481481481, 0.21574074074074073]","[0.20555555555555555, 0.13796296296296295]","[1, 1]","[0, 0]","[0, 0]","[0.0005405999254435301, 95.7661294999998]","['Other_Block_A_04', 'Other_Block_A_04']",,,,TA17ER04_A_LB,LB,A,2024-06-19_10h25.37.658,Balance_and_VR_A,2024.1.5,None,2024-06-19 10h26.11.971911 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958.4644408000167,1958.4806551001966,0.010632500052452087,,,,,,,,,
