thisRow.t,notes,Welcome_A.started,Welcome.started,mouse.started,Welcome_A.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Condition_A.started,mouse_3.started,ConditionA.started,Condition_A.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Block_A_01.started,Klicks_Block_A_01.started,Arms_Block_A_01.started,Legs_Block_A_01.started,Other_Block_A_01.started,Head_Block_A_01.started,Counter_Legs_A_01.started,Counter_Arms_A_01.started,Counter_Other_A_01.started,Counter_Head_A_01.started,Block_A_01.stopped,Klicks_Block_A_01.x,Klicks_Block_A_01.y,Klicks_Block_A_01.leftButton,Klicks_Block_A_01.midButton,Klicks_Block_A_01.rightButton,Klicks_Block_A_01.time,Klicks_Block_A_01.clicked_name,arms_count_A_01,legs_count_A_01,head_count_A_01,other_count_A_01,total_click_count_A_01,Filler_A_01.started,mouse_5.started,Text_FIller_A01.started,Filler_A_01.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,Block_A_02.started,Klicks_Block_A_02.started,Arms_Block_A_02.started,Legs_Block_A_02.started,Other_Block_A_02.started,Head_Block_A_02.started,Counter_Head_A_02.started,Counter_Other_A_02.started,Counter_Legs_A_02.started,Counter_Arms_A_02.started,Block_A_02.stopped,Klicks_Block_A_02.x,Klicks_Block_A_02.y,Klicks_Block_A_02.leftButton,Klicks_Block_A_02.midButton,Klicks_Block_A_02.rightButton,Klicks_Block_A_02.time,Klicks_Block_A_02.clicked_name,arms_count_A_02,legs_count_A_02,head_count_A_02,other_count_A_02,total_click_count_A_02,Filler_A_02.started,mouse_6.started,Text_Filler_A_02.started,Filler_A_02.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Block_A_03.started,Klicks_Block_A_03.started,Arms_Block_A_03.started,Legs_Block_A_03.started,Other_Block_A_03.started,Head_Block_A_03.started,Counter_Head_A_03.started,Counter_Other_A_03.started,Counter_Legs_A_03.started,Counter_Arms_A_03.started,Block_A_03.stopped,Klicks_Block_A_03.x,Klicks_Block_A_03.y,Klicks_Block_A_03.leftButton,Klicks_Block_A_03.midButton,Klicks_Block_A_03.rightButton,Klicks_Block_A_03.time,Klicks_Block_A_03.clicked_name,arms_count_A_03,legs_count_A_03,head_count_A_03,other_count_A_03,total_click_count_A_03,Filler_A_03.started,mouse_7.started,Text_Filler_A_03.started,Filler_A_03.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Block_A_04.started,Klicks_Block_A_04.started,Arms_Block_A_04.started,Legs_Block_A_04.started,Other_Block_A_04.started,Head_Block_A_04.started,Counter_Head_A_04.started,Counter_Other_A_04.started,Counter_Legs_A_04.started,Counter_Arms_A_04.started,Block_A_04.stopped,Klicks_Block_A_04.x,Klicks_Block_A_04.y,Klicks_Block_A_04.leftButton,Klicks_Block_A_04.midButton,Klicks_Block_A_04.rightButton,Klicks_Block_A_04.time,Klicks_Block_A_04.clicked_name,arms_count_A_04,legs_count_A_04,head_count_A_04,other_count_A_04,total_click_count_A_04,Goodbye.started,GoodBye.started,mouse_4.started,Goodbye.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,participant,session,Condition,date,expName,psychopyVersion,frameRate,expStart,
,,0.007869699969887733,0.027420299942605197,0.0075477000791579485,202.83188459998928,[-0.1398148148148148],[0.12777777777777777],[1],[0],[0],[202.8225497000385],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AN23BE15_A_HB,001,HB,2026-05-27_13h11.46.538,Balance_and_VR_A,2024.1.5,None,2026-05-27 13h33.24.142177 +0200,
,,,,,,,,,,,,202.83227529993746,0.0001097000204026699,202.84603889996652,1196.0274987999583,[-0.1398148148148148],[0.12777777777777777],[1],[0],[0],[993.1912588000996],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AN23BE15_A_HB,001,HB,2026-05-27_13h11.46.538,Balance_and_VR_A,2024.1.5,None,2026-05-27 13h33.24.142177 +0200,
,,,,,,,,,,,,,,,,,,,,,,1196.0287574999966,0.0013355000410228968,1196.1349375999998,1196.1349375999998,1196.1349375999998,1196.1349375999998,1196.1349375999998,1196.1349375999998,1196.1349375999998,1196.1349375999998,1406.0449763999786,"[-0.1398148148148148, 0.27314814814814814]","[0.12777777777777777, 0.3333333333333333]","[1, 1]","[0, 0]","[0, 0]","[0.0044995000353083014, 94.81926410004962]","['Head_Block_A_01', 'Other_Block_A_01']",0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AN23BE15_A_HB,001,HB,2026-05-27_13h11.46.538,Balance_and_VR_A,2024.1.5,None,2026-05-27 13h33.24.142177 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1406.0455653999234,0.016980999964289367,1406.0598882000195,1442.2331822999986,[0.27314814814814814],[0.3333333333333333],[1],[0],[0],[36.186029299977235],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AN23BE15_A_HB,001,HB,2026-05-27_13h11.46.538,Balance_and_VR_A,2024.1.5,None,2026-05-27 13h33.24.142177 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1442.2336523999693,0.000548899988643825,1442.281138899969,1442.281138899969,1442.281138899969,1442.281138899969,1442.281138899969,1442.281138899969,1442.281138899969,1442.281138899969,1652.242850099923,"[0.27314814814814814, 0.45925925925925926, 0.3731481481481482, 0.32685185185185184, 0.12129629629629629, -0.28425925925925927]","[0.3333333333333333, 0.09722222222222222, 0.2101851851851852, -0.2111111111111111, -0.2074074074074074, -0.18518518518518517]","[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0.0021952000679448247, 56.15880360000301, 108.78165060002357, 155.86514390003867, 192.72232220007572, 193.60160729999188]","['Other_Block_A_02', 'Other_Block_A_02', 'Other_Block_A_02', 'Arms_Block_A_02', 'Arms_Block_A_02', 'Legs_Block_A_02']",2,1,0,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AN23BE15_A_HB,001,HB,2026-05-27_13h11.46.538,Balance_and_VR_A,2024.1.5,None,2026-05-27 13h33.24.142177 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1652.243438799982,0.00990459998138249,1652.2564080000157,1686.1302506999345,[0.004629629629629629],[-0.024074074074074074],[1],[0],[0],[33.88565359998029],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AN23BE15_A_HB,001,HB,2026-05-27_13h11.46.538,Balance_and_VR_A,2024.1.5,None,2026-05-27 13h33.24.142177 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1686.1305395999225,0.00037109991535544395,1686.167590899975,1686.167590899975,1686.167590899975,1686.167590899975,1686.167590899975,1686.167590899975,1686.167590899975,1686.167590899975,1896.1320549999364,"[0.004629629629629629, 0.14722222222222223, 0.1537037037037037, -0.22685185185185186]","[-0.024074074074074074, -0.1259259259259259, 0.17407407407407408, 0.1824074074074074]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.0017797000473365188, 63.6111659000162, 86.00253309996333, 94.99741650000215]","['Arms_Block_A_03', 'Arms_Block_A_03', 'Other_Block_A_03', 'Head_Block_A_03']",1,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AN23BE15_A_HB,001,HB,2026-05-27_13h11.46.538,Balance_and_VR_A,2024.1.5,None,2026-05-27 13h33.24.142177 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1896.1325555000221,0.002157699898816645,1896.15267640003,1932.061086999951,[0.024074074074074074],[-0.017592592592592594],[1],[0],[0],[35.92741759994533],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AN23BE15_A_HB,001,HB,2026-05-27_13h11.46.538,Balance_and_VR_A,2024.1.5,None,2026-05-27 13h33.24.142177 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1932.0613971999846,0.0004954000469297171,1932.0946103000315,1932.0946103000315,1932.0946103000315,1932.0946103000315,1932.0946103000315,1932.0946103000315,1932.0946103000315,1932.0946103000315,2142.074042399996,"[0.024074074074074074, 0.13796296296296295, 0.35, 0.23796296296296296, -0.2212962962962963, 0.1287037037037037, -0.2518518518518518]","[-0.017592592592592594, -0.14722222222222223, -0.2824074074074074, 0.11851851851851852, 0.14537037037037037, 0.12962962962962962, 0.19074074074074074]","[1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0.0013092000735923648, 21.397541800048202, 47.55137870006729, 58.45287850010209, 97.6039353000233, 168.90880420000758, 175.8569272001041]","['Arms_Block_A_04', 'Arms_Block_A_04', 'Arms_Block_A_04', 'Other_Block_A_04', 'Head_Block_A_04', 'Other_Block_A_04', 'Head_Block_A_04']",2,0,2,2,6,,,,,,,,,,,AN23BE15_A_HB,001,HB,2026-05-27_13h11.46.538,Balance_and_VR_A,2024.1.5,None,2026-05-27 13h33.24.142177 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2142.074569999939,2142.087498500012,0.013248100061900914,2301.150790899992,[0.04814814814814815],[-0.016666666666666666],[1],[0],[0],[159.07345860009082],AN23BE15_A_HB,001,HB,2026-05-27_13h11.46.538,Balance_and_VR_A,2024.1.5,None,2026-05-27 13h33.24.142177 +0200,
