thisRow.t,notes,Welcome_B.started,Welcome.started,mouse.started,Welcome_B.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Condition_B.started,mouse_3.started,ConditionB.started,Condition_B.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Block_B_01.started,Klicks_Block_B_01.started,Arms_Block_B_01.started,Legs_Block_B_01.started,Other_Block_B_01.started,Head_Block_B_01.started,Block_B_01.stopped,Klicks_Block_B_01.x,Klicks_Block_B_01.y,Klicks_Block_B_01.leftButton,Klicks_Block_B_01.midButton,Klicks_Block_B_01.rightButton,Klicks_Block_B_01.time,Klicks_Block_B_01.clicked_name,Filler_B_01.started,mouse_5.started,Text_FIller_B01.started,Filler_B_01.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,Block_B_02.started,Klicks_Block_B_02.started,Arms_Block_B_02.started,Legs_Block_B_02.started,Other_Block_B_02.started,Head_Block_B_02.started,Block_B_02.stopped,Klicks_Block_B_02.x,Klicks_Block_B_02.y,Klicks_Block_B_02.leftButton,Klicks_Block_B_02.midButton,Klicks_Block_B_02.rightButton,Klicks_Block_B_02.time,Klicks_Block_B_02.clicked_name,Filler_B_02.started,mouse_6.started,Text_Filler_B_02.started,Filler_B_02.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Block_B_03.started,Klicks_Block_B_03.started,Arms_Block_B_03.started,Legs_Block_B_03.started,Other_Block_B_03.started,Head_Block_B_03.started,Block_B_03.stopped,Klicks_Block_B_03.x,Klicks_Block_B_03.y,Klicks_Block_B_03.leftButton,Klicks_Block_B_03.midButton,Klicks_Block_B_03.rightButton,Klicks_Block_B_03.time,Klicks_Block_B_03.clicked_name,Filler_B_03.started,mouse_7.started,Text_Filler_B_03.started,Filler_B_03.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Block_B_04.started,Klicks_Block_B_04.started,Arms_Block_B_04.started,Legs_Block_B_04.started,Other_Block_B_04.started,Head_Block_B_04.started,Block_B_04.stopped,Klicks_Block_B_04.x,Klicks_Block_B_04.y,Klicks_Block_B_04.leftButton,Klicks_Block_B_04.midButton,Klicks_Block_B_04.rightButton,Klicks_Block_B_04.time,Klicks_Block_B_04.clicked_name,GoodBye_Final.started,GoodBye.started,mouse_4.started,GoodBye_Final.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,participant,session,Condition,date,expName,psychopyVersion,frameRate,expStart,
,,0.005355799803510308,0.01422929996624589,0.005176099948585033,133.32025789981708,[0.5342592592592592],[0.3074074074074074],[1],[0],[0],[133.31421959982254],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE06LL24_B_LB_,001,B,2024-06-19_12h03.23.673,Balance_and_VR_B,2024.1.5,None,2024-06-19 12h05.36.599765 +0200,
,,,,,,,,,,,,133.3204373999033,3.8899946957826614e-05,133.3349814999383,343.9144334997982,[-0.275],[0.18611111111111112],[1],[0],[0],[210.59338540001772],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE06LL24_B_LB_,001,B,2024-06-19_12h03.23.673,Balance_and_VR_B,2024.1.5,None,2024-06-19 12h05.36.599765 +0200,
,,,,,,,,,,,,,,,,,,,,,,343.9145702000242,6.160000339150429e-05,343.9622266998049,343.9622266998049,343.9622266998049,343.9622266998049,553.9255780999083,"[-0.275, 0.17407407407407408]","[0.18611111111111112, -0.1425925925925926]","[1, 1]","[0, 0]","[0, 0]","[0.0006804000586271286, 55.913989699911326]","['Head_Block_B_01', 'Arms_Block_B_01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE06LL24_B_LB_,001,B,2024-06-19_12h03.23.673,Balance_and_VR_B,2024.1.5,None,2024-06-19 12h05.36.599765 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553.9257236998528,0.011193099897354841,553.9420925998129,589.0145125999115,[-0.05925925925925926],[0.14814814814814814],[1],[0],[0],[35.08826530002989],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE06LL24_B_LB_,001,B,2024-06-19_12h03.23.673,Balance_and_VR_B,2024.1.5,None,2024-06-19 12h05.36.599765 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589.0146273998544,4.83999028801918e-05,589.0360241997987,589.0360241997987,589.0360241997987,589.0360241997987,799.0260880999267,"[-0.05925925925925926, -0.31666666666666665]","[0.14814814814814814, 0.32685185185185184]","[1, 1]","[0, 0]","[0, 0]","[0.000552099896594882, 157.91388070001267]","['Head_Block_B_02', 'Head_Block_B_02']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE06LL24_B_LB_,001,B,2024-06-19_12h03.23.673,Balance_and_VR_B,2024.1.5,None,2024-06-19 12h05.36.599765 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799.0262601999566,0.011672199936583638,799.042523099808,833.9647764998954,[-0.5555555555555556],[0.010185185185185186],[1],[0],[0],[34.93798170005903],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE06LL24_B_LB_,001,B,2024-06-19_12h03.23.673,Balance_and_VR_B,2024.1.5,None,2024-06-19 12h05.36.599765 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,833.9648984000087,5.139992572367191e-05,833.9867184998002,833.9867184998002,833.9867184998002,833.9867184998002,1043.9763690999243,[-0.5555555555555556],[0.010185185185185186],[1],[0],[0],[0.0005679999012500048],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE06LL24_B_LB_,001,B,2024-06-19_12h03.23.673,Balance_and_VR_B,2024.1.5,None,2024-06-19 12h05.36.599765 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1043.9765235998202,0.01166309998370707,1043.992931699846,1079.2820264999755,[-0.32592592592592595],[0.11851851851851852],[1],[0],[0],[35.304989100201055],,,,,,,,,,,,,,,,,,,,,,,,,BE06LL24_B_LB_,001,B,2024-06-19_12h03.23.673,Balance_and_VR_B,2024.1.5,None,2024-06-19 12h05.36.599765 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1079.282152300002,5.759997293353081e-05,1079.3035418998916,1079.3035418998916,1079.3035418998916,1079.3035418998916,1289.2934303998481,[-0.32592592592592595],[0.11851851851851852],[1],[0],[0],[0.0005544000305235386],['Head_Block_B_04'],,,,,,,,,,,BE06LL24_B_LB_,001,B,2024-06-19_12h03.23.673,Balance_and_VR_B,2024.1.5,None,2024-06-19 12h05.36.599765 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1289.2935676998459,1289.3098482999485,0.01145290001295507,1291.0606390999164,[0.5212962962962963],[0.14537037037037037],[1],[0],[0],[1.7665027999319136],BE06LL24_B_LB_,001,B,2024-06-19_12h03.23.673,Balance_and_VR_B,2024.1.5,None,2024-06-19 12h05.36.599765 +0200,
