thisRow.t,notes,Welcome_A.started,Welcome.started,mouse.started,Welcome_A.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Condition_A.started,mouse_3.started,ConditionA.started,Condition_A.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Block_A_01.started,Klicks_Block_A_01.started,Arms_Block_A_01.started,Legs_Block_A_01.started,Other_Block_A_01.started,Head_Block_A_01.started,Block_A_01.stopped,Klicks_Block_A_01.x,Klicks_Block_A_01.y,Klicks_Block_A_01.leftButton,Klicks_Block_A_01.midButton,Klicks_Block_A_01.rightButton,Klicks_Block_A_01.time,Klicks_Block_A_01.clicked_name,Filler_A_01.started,mouse_5.started,Text_FIller_A01.started,Filler_A_01.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,Block_A_02.started,Klicks_Block_A_02.started,Arms_Block_A_02.started,Legs_Block_A_02.started,Other_Block_A_02.started,Head_Block_A_02.started,Block_A_02.stopped,Klicks_Block_A_02.x,Klicks_Block_A_02.y,Klicks_Block_A_02.leftButton,Klicks_Block_A_02.midButton,Klicks_Block_A_02.rightButton,Klicks_Block_A_02.time,Klicks_Block_A_02.clicked_name,Filler_A_02.started,mouse_6.started,Text_Filler_A_02.started,Filler_A_02.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Block_A_03.started,Klicks_Block_A_03.started,Arms_Block_A_03.started,Legs_Block_A_03.started,Other_Block_A_03.started,Head_Block_A_03.started,Block_A_03.stopped,Klicks_Block_A_03.x,Klicks_Block_A_03.y,Klicks_Block_A_03.leftButton,Klicks_Block_A_03.midButton,Klicks_Block_A_03.rightButton,Klicks_Block_A_03.time,Klicks_Block_A_03.clicked_name,Filler_A_03.started,mouse_7.started,Text_Filler_A_03.started,Filler_A_03.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Block_A_04.started,Klicks_Block_A_04.started,Arms_Block_A_04.started,Legs_Block_A_04.started,Other_Block_A_04.started,Head_Block_A_04.started,Block_A_04.stopped,Klicks_Block_A_04.x,Klicks_Block_A_04.y,Klicks_Block_A_04.leftButton,Klicks_Block_A_04.midButton,Klicks_Block_A_04.rightButton,Klicks_Block_A_04.time,Klicks_Block_A_04.clicked_name,Goodbye.started,GoodBye.started,mouse_4.started,participant,session,Condition,date,expName,psychopyVersion,frameRate,expStart,
,,0.014742299999966235,0.028453799999965668,0.014516400000047724,4.1770665000000236,[-0.12685185185185185],[0.12222222222222222],[1],[0],[0],[4.161700300000007],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BG22OE24_A_LB,001,LB,2024-07-02_13h23.40.152,Balance_and_VR_A,2024.1.5,None,2024-07-02 13h35.33.056433 +0200,
,,,,,,,,,,,,4.177200599999992,3.889999993589299e-05,4.1928420000000415,1396.672489,[-0.12685185185185185],[0.12222222222222222],[1],[0],[0],[1392.4947515000003],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BG22OE24_A_LB,001,LB,2024-07-02_13h23.40.152,Balance_and_VR_A,2024.1.5,None,2024-07-02 13h35.33.056433 +0200,
,,,,,,,,,,,,,,,,,,,,,,1396.6726195,8.9399999978923e-05,1396.7237286,1396.7237286,1396.7237286,1396.7237286,1606.6834431000002,"[-0.12685185185185185, 0.2777777777777778, 0.30277777777777776, 0.30277777777777776, -0.33240740740740743]","[0.12222222222222222, 0.262037037037037, 0.17314814814814813, 0.17314814814814813, 0.29259259259259257]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0.0006898000001456239, 54.96398219999992, 123.84085270000014, 151.78105189999997, 199.71508250000034]","['Head_Block_A_01', 'Other_Block_A_01', 'Other_Block_A_01', 'Other_Block_A_01', 'Head_Block_A_01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BG22OE24_A_LB,001,LB,2024-07-02_13h23.40.152,Balance_and_VR_A,2024.1.5,None,2024-07-02 13h35.33.056433 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1606.6836561,0.011076299999785988,1606.6999373000003,1642.0387532,[0.8870370370370371],[0.2601851851851852],[1],[0],[0],[35.354569900000115],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BG22OE24_A_LB,001,LB,2024-07-02_13h23.40.152,Balance_and_VR_A,2024.1.5,None,2024-07-02 13h35.33.056433 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1642.0388589,4.4800000068789814e-05,1642.0620583,1642.0620583,1642.0620583,1642.0620583,1852.0502916,"[0.8870370370370371, 0.027777777777777776]","[0.2601851851851852, 0.08611111111111111]","[1, 1]","[0, 0]","[0, 0]","[0.0005041999997956736, 44.15179489999991]",['Other_Block_A_02'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BG22OE24_A_LB,001,LB,2024-07-02_13h23.40.152,Balance_and_VR_A,2024.1.5,None,2024-07-02 13h35.33.056433 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1852.0504646,0.011642699999811157,1852.0668985000002,1887.0389552000001,[0.812962962962963],[0.041666666666666664],[1],[0],[0],[34.98801390000017],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BG22OE24_A_LB,001,LB,2024-07-02_13h23.40.152,Balance_and_VR_A,2024.1.5,None,2024-07-02 13h35.33.056433 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1887.0390782,4.600000011123484e-05,1887.0631778000002,1887.0631778000002,1887.0631778000002,1887.0631778000002,2097.0507792000003,"[0.812962962962963, 0.30185185185185187, -0.1925925925925926]","[0.041666666666666664, 0.2490740740740741, 0.4064814814814815]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.0005162999996173312, 102.18299049999996, 201.55002449999984]","['Other_Block_A_03', 'Head_Block_A_03']",,,,,,,,,,,,,,,,,,,,,,,,,,,,BG22OE24_A_LB,001,LB,2024-07-02_13h23.40.152,Balance_and_VR_A,2024.1.5,None,2024-07-02 13h35.33.056433 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2097.0509688,0.011929200000395213,2097.0672907000003,2131.9395334,[0.8870370370370371],[0.09259259259259259],[1],[0],[0],[34.888075599999866],,,,,,,,,,,,,,,,,,BG22OE24_A_LB,001,LB,2024-07-02_13h23.40.152,Balance_and_VR_A,2024.1.5,None,2024-07-02 13h35.33.056433 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2131.9396512000003,6.08000000283937e-05,2131.9666002,2131.9666002,2131.9666002,2131.9666002,2341.9511366,"[0.8870370370370371, 0.2324074074074074]","[0.09259259259259259, 0.3592592592592593]","[1, 1]","[0, 0]","[0, 0]","[0.0004860000003645837, 95.96892530000014]",['Other_Block_A_04'],,,,BG22OE24_A_LB,001,LB,2024-07-02_13h23.40.152,Balance_and_VR_A,2024.1.5,None,2024-07-02 13h35.33.056433 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2341.9513038,2341.9673859,0.011697999999796593,,,,,,,,,
