thisRow.t,notes,Welcome_A.started,Welcome.started,mouse.started,Welcome_A.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Condition_A.started,mouse_3.started,ConditionA.started,Condition_A.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Block_A_01.started,Klicks_Block_A_01.started,Arms_Block_A_01.started,Legs_Block_A_01.started,Other_Block_A_01.started,Head_Block_A_01.started,Counter_Legs_A_01.started,Counter_Arms_A_01.started,Counter_Other_A_01.started,Counter_Head_A_01.started,Block_A_01.stopped,Klicks_Block_A_01.x,Klicks_Block_A_01.y,Klicks_Block_A_01.leftButton,Klicks_Block_A_01.midButton,Klicks_Block_A_01.rightButton,Klicks_Block_A_01.time,Klicks_Block_A_01.clicked_name,arms_count_A_01,legs_count_A_01,head_count_A_01,other_count_A_01,total_click_count_A_01,Filler_A_01.started,mouse_5.started,Text_FIller_A01.started,Filler_A_01.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,Block_A_02.started,Klicks_Block_A_02.started,Arms_Block_A_02.started,Legs_Block_A_02.started,Other_Block_A_02.started,Head_Block_A_02.started,Counter_Head_A_02.started,Counter_Other_A_02.started,Counter_Legs_A_02.started,Counter_Arms_A_02.started,Block_A_02.stopped,Klicks_Block_A_02.x,Klicks_Block_A_02.y,Klicks_Block_A_02.leftButton,Klicks_Block_A_02.midButton,Klicks_Block_A_02.rightButton,Klicks_Block_A_02.time,Klicks_Block_A_02.clicked_name,arms_count_A_02,legs_count_A_02,head_count_A_02,other_count_A_02,total_click_count_A_02,Filler_A_02.started,mouse_6.started,Text_Filler_A_02.started,Filler_A_02.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Block_A_03.started,Klicks_Block_A_03.started,Arms_Block_A_03.started,Legs_Block_A_03.started,Other_Block_A_03.started,Head_Block_A_03.started,Counter_Head_A_03.started,Counter_Other_A_03.started,Counter_Legs_A_03.started,Counter_Arms_A_03.started,Block_A_03.stopped,Klicks_Block_A_03.x,Klicks_Block_A_03.y,Klicks_Block_A_03.leftButton,Klicks_Block_A_03.midButton,Klicks_Block_A_03.rightButton,Klicks_Block_A_03.time,Klicks_Block_A_03.clicked_name,arms_count_A_03,legs_count_A_03,head_count_A_03,other_count_A_03,total_click_count_A_03,Filler_A_03.started,mouse_7.started,Text_Filler_A_03.started,Filler_A_03.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Block_A_04.started,Klicks_Block_A_04.started,Arms_Block_A_04.started,Legs_Block_A_04.started,Other_Block_A_04.started,Head_Block_A_04.started,Counter_Head_A_04.started,Counter_Other_A_04.started,Counter_Legs_A_04.started,Counter_Arms_A_04.started,Block_A_04.stopped,Klicks_Block_A_04.x,Klicks_Block_A_04.y,Klicks_Block_A_04.leftButton,Klicks_Block_A_04.midButton,Klicks_Block_A_04.rightButton,Klicks_Block_A_04.time,Klicks_Block_A_04.clicked_name,arms_count_A_04,legs_count_A_04,head_count_A_04,other_count_A_04,total_click_count_A_04,Goodbye.started,GoodBye.started,mouse_4.started,Goodbye.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,participant,session,Condition,date,expName,psychopyVersion,frameRate,expStart,
,,0.008027599891647696,0.02456299983896315,0.007827699882909656,156.82380429981276,[-0.12962962962962962],[0.12407407407407407],[1],[0],[0],[156.8149005000014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BI20OE24,001,LB,2026-06-12_12h45.33.257,Balance_and_VR_A,2024.1.5,None,2026-06-12 12h48.34.836059 +0200,
,,,,,,,,,,,,156.8239596998319,3.8599828258156776e-05,156.83818720001727,604.5876084000338,[-0.2175925925925926],[0.21481481481481482],[1],[0],[0],[447.7630694999825],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BI20OE24,001,LB,2026-06-12_12h45.33.257,Balance_and_VR_A,2024.1.5,None,2026-06-12 12h48.34.836059 +0200,
,,,,,,,,,,,,,,,,,,,,,,604.5877423000056,0.00014580017887055874,604.6415436998941,604.6415436998941,604.6415436998941,604.6415436998941,604.6415436998941,604.6415436998941,604.6415436998941,604.6415436998941,814.5988047998399,"[-0.2175925925925926, -0.2916666666666667, -0.2916666666666667, 0.3537037037037037, -0.30462962962962964, -0.24814814814814815, -0.24814814814814815, -0.24814814814814815, 0.4185185185185185, 0.35648148148148145, 0.3990740740740741, 0.32685185185185184, 0.3398148148148148, 0.2861111111111111]","[0.21481481481481482, -0.19444444444444445, -0.19444444444444445, 0.17592592592592593, 0.15925925925925927, -0.2212962962962963, -0.2212962962962963, -0.2212962962962963, -0.2898148148148148, 0.08888888888888889, -0.21944444444444444, -0.2361111111111111, 0.33055555555555555, 0.2361111111111111]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0006132000125944614, 8.56475010002032, 9.296782999997959, 13.328625499969348, 15.894413799978793, 19.69386830017902, 21.143514099996537, 23.04285000008531, 27.87465939996764, 51.29904579999857, 64.39538260013796, 84.03873410006054, 97.91618759999983, 135.4051667000167]","['Head_Block_A_01', 'Legs_Block_A_01', 'Legs_Block_A_01', 'Other_Block_A_01', 'Head_Block_A_01', 'Legs_Block_A_01', 'Legs_Block_A_01', 'Legs_Block_A_01', 'Arms_Block_A_01', 'Other_Block_A_01', 'Arms_Block_A_01', 'Arms_Block_A_01', 'Other_Block_A_01', 'Other_Block_A_01']",3,5,1,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BI20OE24,001,LB,2026-06-12_12h45.33.257,Balance_and_VR_A,2024.1.5,None,2026-06-12 12h48.34.836059 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814.5992266000248,0.011520200176164508,814.6153082998935,884.2924448000267,[0.2861111111111111],[0.2361111111111111],[1],[0],[0],[69.6927238998469],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BI20OE24,001,LB,2026-06-12_12h45.33.257,Balance_and_VR_A,2024.1.5,None,2026-06-12 12h48.34.836059 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884.292556699831,0.00013560010120272636,884.3190249998588,884.3190249998588,884.3190249998588,884.3190249998588,884.3190249998588,884.3190249998588,884.3190249998588,884.3190249998588,1094.3042333999183,"[0.2861111111111111, 0.35185185185185186, 0.13703703703703704, -0.42314814814814816, 0.2898148148148148, 0.23148148148148148, 0.23148148148148148, 0.29259259259259257, -0.3962962962962963]","[0.2361111111111111, -0.11851851851851852, 0.39444444444444443, 0.2574074074074074, -0.17962962962962964, -0.21296296296296297, -0.21296296296296297, 0.2361111111111111, -0.3398148148148148]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0005228000227361917, 47.91776950005442, 53.31522059999406, 57.29739090008661, 84.00550920004025, 93.88475789991207, 97.31805490003899, 107.59664670005441, 208.44776739994995]","['Other_Block_A_02', 'Arms_Block_A_02', 'Other_Block_A_02', 'Head_Block_A_02', 'Arms_Block_A_02', 'Arms_Block_A_02', 'Arms_Block_A_02', 'Other_Block_A_02', 'Legs_Block_A_02']",4,1,1,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BI20OE24,001,LB,2026-06-12_12h45.33.257,Balance_and_VR_A,2024.1.5,None,2026-06-12 12h48.34.836059 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1094.3045552999247,0.012036100029945374,1094.3206638998818,1129.5097180998418,[-0.21851851851851853],[-0.1537037037037037],[1],[0],[0],[35.204692099941894],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BI20OE24,001,LB,2026-06-12_12h45.33.257,Balance_and_VR_A,2024.1.5,None,2026-06-12 12h48.34.836059 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1129.5098500999156,0.00016569998115301132,1129.541690299986,1129.541690299986,1129.541690299986,1129.541690299986,1129.541690299986,1129.541690299986,1129.541690299986,1129.541690299986,1339.5210199998692,"[-0.21851851851851853, -0.19074074074074074, 0.2111111111111111, 0.23796296296296296, -0.35, 0.26851851851851855, -0.35, 0.3351851851851852, 0.38055555555555554, 0.2814814814814815]","[-0.1537037037037037, 0.23055555555555557, 0.2064814814814815, -0.24444444444444444, 0.30092592592592593, -0.075, 0.3194444444444444, 0.23148148148148148, 0.3314814814814815, -0.2916666666666667]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0005797999911010265, 28.37435820000246, 67.99337500007823, 75.05748800002038, 98.48278640001081, 105.5637696001213, 107.02984829992056, 108.92968850000761, 117.14308409998193, 157.46313569997437]","['Legs_Block_A_03', 'Head_Block_A_03', 'Other_Block_A_03', 'Arms_Block_A_03', 'Head_Block_A_03', 'Arms_Block_A_03', 'Head_Block_A_03', 'Other_Block_A_03', 'Other_Block_A_03', 'Arms_Block_A_03']",3,0,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BI20OE24,001,LB,2026-06-12_12h45.33.257,Balance_and_VR_A,2024.1.5,None,2026-06-12 12h48.34.836059 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1339.5213518999517,0.011541099986061454,1339.5374948999379,1374.3770940999966,[-0.012962962962962963],[0.20092592592592592],[1],[0],[0],[34.85525570018217],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BI20OE24,001,LB,2026-06-12_12h45.33.257,Balance_and_VR_A,2024.1.5,None,2026-06-12 12h48.34.836059 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1374.377209099941,0.0001425999216735363,1374.412902599899,1374.412902599899,1374.412902599899,1374.412902599899,1374.412902599899,1374.412902599899,1374.412902599899,1374.412902599899,1584.388029600028,"[-0.012962962962962963, 0.23333333333333334, 0.23148148148148148, 0.23148148148148148, 0.23148148148148148, -0.28425925925925927, 0.30092592592592593, 0.2916666666666667, 0.2916666666666667, 0.2916666666666667, 0.2916666666666667, -0.30277777777777776, -0.3333333333333333, 0.23796296296296296, 0.14074074074074075, -0.3398148148148148, 0.39166666666666666, 0.39166666666666666, 0.32685185185185184, 0.33240740740740743, 0.262037037037037]","[0.20092592592592592, -0.16574074074074074, -0.17777777777777778, -0.17777777777777778, -0.17777777777777778, -0.2111111111111111, 0.16574074074074074, -0.11574074074074074, -0.11574074074074074, -0.11574074074074074, -0.11574074074074074, 0.38425925925925924, -0.14444444444444443, -0.2796296296296296, 0.262037037037037, 0.37407407407407406, -0.2101851851851852, -0.2101851851851852, 0.25277777777777777, 0.3592592592592593, -0.08148148148148149]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00049769994802773, 38.470329199917614, 73.15820070006885, 78.37289620004594, 83.80511149996892, 94.28572949999943, 97.81711810012348, 102.86473349994048, 106.96306560002267, 112.57888030004688, 115.82661790004931, 119.64233980001882, 130.88819850003347, 137.88586200005375, 144.35024149995297, 145.01791570009664, 172.0414024000056, 172.50758720003068, 184.20447569992393, 202.18105560005642, 204.13068330008537]","['Head_Block_A_04', 'Arms_Block_A_04', 'Arms_Block_A_04', 'Arms_Block_A_04', 'Arms_Block_A_04', 'Legs_Block_A_04', 'Other_Block_A_04', 'Arms_Block_A_04', 'Arms_Block_A_04', 'Arms_Block_A_04', 'Arms_Block_A_04', 'Head_Block_A_04', 'Legs_Block_A_04', 'Arms_Block_A_04', 'Other_Block_A_04', 'Head_Block_A_04', 'Arms_Block_A_04', 'Arms_Block_A_04', 'Other_Block_A_04', 'Other_Block_A_04', 'Arms_Block_A_04']",12,2,2,4,20,,,,,,,,,,,BI20OE24,001,LB,2026-06-12_12h45.33.257,Balance_and_VR_A,2024.1.5,None,2026-06-12 12h48.34.836059 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1584.3884896999225,1584.4046138999984,0.01131629990413785,1590.688141199993,[0.262037037037037],[-0.08148148148148149],[1],[0],[0],[6.2989288999233395],BI20OE24,001,LB,2026-06-12_12h45.33.257,Balance_and_VR_A,2024.1.5,None,2026-06-12 12h48.34.836059 +0200,
