thisRow.t,notes,Welcome_A.started,Welcome.started,mouse.started,Welcome_A.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Condition_A.started,mouse_3.started,ConditionA.started,Condition_A.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Block_A_01.started,Klicks_Block_A_01.started,Arms_Block_A_01.started,Legs_Block_A_01.started,Other_Block_A_01.started,Head_Block_A_01.started,Block_A_01.stopped,Klicks_Block_A_01.x,Klicks_Block_A_01.y,Klicks_Block_A_01.leftButton,Klicks_Block_A_01.midButton,Klicks_Block_A_01.rightButton,Klicks_Block_A_01.time,Klicks_Block_A_01.clicked_name,Filler_A_01.started,mouse_5.started,Text_FIller_A01.started,Filler_A_01.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,Block_A_02.started,Klicks_Block_A_02.started,Arms_Block_A_02.started,Legs_Block_A_02.started,Other_Block_A_02.started,Head_Block_A_02.started,Block_A_02.stopped,Klicks_Block_A_02.x,Klicks_Block_A_02.y,Klicks_Block_A_02.leftButton,Klicks_Block_A_02.midButton,Klicks_Block_A_02.rightButton,Klicks_Block_A_02.time,Klicks_Block_A_02.clicked_name,Filler_A_02.started,mouse_6.started,Text_Filler_A_02.started,Filler_A_02.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Block_A_03.started,Klicks_Block_A_03.started,Arms_Block_A_03.started,Legs_Block_A_03.started,Other_Block_A_03.started,Head_Block_A_03.started,Block_A_03.stopped,Klicks_Block_A_03.x,Klicks_Block_A_03.y,Klicks_Block_A_03.leftButton,Klicks_Block_A_03.midButton,Klicks_Block_A_03.rightButton,Klicks_Block_A_03.time,Klicks_Block_A_03.clicked_name,Filler_A_03.started,mouse_7.started,Text_Filler_A_03.started,Filler_A_03.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Block_A_04.started,Klicks_Block_A_04.started,Arms_Block_A_04.started,Legs_Block_A_04.started,Other_Block_A_04.started,Head_Block_A_04.started,Block_A_04.stopped,Klicks_Block_A_04.x,Klicks_Block_A_04.y,Klicks_Block_A_04.leftButton,Klicks_Block_A_04.midButton,Klicks_Block_A_04.rightButton,Klicks_Block_A_04.time,Klicks_Block_A_04.clicked_name,Goodbye.started,GoodBye.started,mouse_4.started,participant,session,Condition,date,expName,psychopyVersion,frameRate,expStart,
,,0.00933549995534122,0.027817499823868275,0.009120499948039651,929.6714855998289,[-0.1527777777777778],[0.11666666666666667],[1],[0],[0],[929.6615400998853],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL23ON05_LB,001,LB,2024-06-21_12h35.27.303,Balance_and_VR_A,2024.1.5,None,2024-06-21 12h39.28.422238 +0200,
,,,,,,,,,,,,929.6717358999886,5.8999983593821526e-05,929.6866251998581,957.3231126000173,[-0.1527777777777778],[0.11666666666666667],[1],[0],[0],[27.650758899981156],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL23ON05_LB,001,LB,2024-06-21_12h35.27.303,Balance_and_VR_A,2024.1.5,None,2024-06-21 12h39.28.422238 +0200,
,,,,,,,,,,,,,,,,,,,,,,957.3232298998628,5.2999937906861305e-05,957.3706395998597,957.3706395998597,957.3706395998597,957.3706395998597,1167.3338029999286,"[-0.1527777777777778, 0.32037037037037036, 0.32037037037037036, 0.35648148148148145, 0.35648148148148145, 0.35648148148148145]","[0.11666666666666667, -0.2657407407407407, -0.2657407407407407, 0.3055555555555556, 0.3055555555555556, 0.3055555555555556]","[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0.0005973998922854662, 76.5739878998138, 98.43238419992849, 108.1457906998694, 117.57601899979636, 129.65498359990306]","['Head_Block_A_01', 'Arms_Block_A_01', 'Arms_Block_A_01', 'Other_Block_A_01', 'Other_Block_A_01', 'Other_Block_A_01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL23ON05_LB,001,LB,2024-06-21_12h35.27.303,Balance_and_VR_A,2024.1.5,None,2024-06-21 12h39.28.422238 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1167.3340383998584,0.010850900085642934,1167.3503016999457,1202.1567332998384,[-0.8888888888888888],[0.1398148148148148],[1],[0],[0],[34.82224639994092],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL23ON05_LB,001,LB,2024-06-21_12h35.27.303,Balance_and_VR_A,2024.1.5,None,2024-06-21 12h39.28.422238 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1202.1568578998558,4.12999652326107e-05,1202.1794726999942,1202.1794726999942,1202.1794726999942,1202.1794726999942,1412.167797199916,"[-0.8888888888888888, 0.3055555555555556, 0.3287037037037037]","[0.1398148148148148, 0.17407407407407408, 0.25555555555555554]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.0004946000408381224, 49.11607769993134, 201.78115030005574]","['Other_Block_A_02', 'Other_Block_A_02']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL23ON05_LB,001,LB,2024-06-21_12h35.27.303,Balance_and_VR_A,2024.1.5,None,2024-06-21 12h39.28.422238 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1412.1679813999217,0.011165200034156442,1412.1842532998417,1447.223358699819,[0.3287037037037037],[0.25555555555555554],[1],[0],[0],[35.05484970007092],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL23ON05_LB,001,LB,2024-06-21_12h35.27.303,Balance_and_VR_A,2024.1.5,None,2024-06-21 12h39.28.422238 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1447.223468199838,4.1400082409381866e-05,1447.2464421999175,1447.2464421999175,1447.2464421999175,1447.2464421999175,1657.2350043000188,"[0.3287037037037037, 0.3287037037037037, 0.3287037037037037, 0.3287037037037037, 0.3287037037037037]","[0.25555555555555554, 0.25555555555555554, 0.25555555555555554, 0.25555555555555554, 0.25555555555555554]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0.0004932999145239592, 10.062923300080001, 61.829048899933696, 71.45885229995474, 190.118944699876]","['Other_Block_A_03', 'Other_Block_A_03', 'Other_Block_A_03', 'Other_Block_A_03', 'Other_Block_A_03']",,,,,,,,,,,,,,,,,,,,,,,,,,,,CL23ON05_LB,001,LB,2024-06-21_12h35.27.303,Balance_and_VR_A,2024.1.5,None,2024-06-21 12h39.28.422238 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1657.2352418999653,0.011810899944975972,1657.251360299997,1692.5404488998465,[0.3287037037037037],[0.25555555555555554],[1],[0],[0],[35.30470079998486],,,,,,,,,,,,,,,,,,CL23ON05_LB,001,LB,2024-06-21_12h35.27.303,Balance_and_VR_A,2024.1.5,None,2024-06-21 12h39.28.422238 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1692.5405676998198,4.770001396536827e-05,1692.565856799949,1692.565856799949,1692.565856799949,1692.565856799949,1902.5521467998624,"[0.3287037037037037, 0.3490740740740741, 0.3490740740740741, -0.29259259259259257]","[0.25555555555555554, 0.18796296296296297, 0.18796296296296297, 0.2324074074074074]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.0005494998767971992, 70.07627059984952, 107.23055109987035, 162.01177919982]","['Other_Block_A_04', 'Other_Block_A_04', 'Other_Block_A_04', 'Head_Block_A_04']",,,,CL23ON05_LB,001,LB,2024-06-21_12h35.27.303,Balance_and_VR_A,2024.1.5,None,2024-06-21 12h39.28.422238 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1902.552344699856,1902.568472399842,0.011860799975693226,,,,,,,,,
