thisRow.t,notes,Welcome_A.started,Welcome.started,mouse.started,Welcome_A.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Condition_A.started,mouse_3.started,ConditionA.started,Condition_A.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Block_A_01.started,Klicks_Block_A_01.started,Arms_Block_A_01.started,Legs_Block_A_01.started,Other_Block_A_01.started,Head_Block_A_01.started,Block_A_01.stopped,Klicks_Block_A_01.x,Klicks_Block_A_01.y,Klicks_Block_A_01.leftButton,Klicks_Block_A_01.midButton,Klicks_Block_A_01.rightButton,Klicks_Block_A_01.time,Klicks_Block_A_01.clicked_name,Filler_A_01.started,mouse_5.started,Text_FIller_A01.started,Filler_A_01.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,Block_A_02.started,Klicks_Block_A_02.started,Arms_Block_A_02.started,Legs_Block_A_02.started,Other_Block_A_02.started,Head_Block_A_02.started,Block_A_02.stopped,Klicks_Block_A_02.x,Klicks_Block_A_02.y,Klicks_Block_A_02.leftButton,Klicks_Block_A_02.midButton,Klicks_Block_A_02.rightButton,Klicks_Block_A_02.time,Klicks_Block_A_02.clicked_name,Filler_A_02.started,mouse_6.started,Text_Filler_A_02.started,Filler_A_02.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Block_A_03.started,Klicks_Block_A_03.started,Arms_Block_A_03.started,Legs_Block_A_03.started,Other_Block_A_03.started,Head_Block_A_03.started,Block_A_03.stopped,Klicks_Block_A_03.x,Klicks_Block_A_03.y,Klicks_Block_A_03.leftButton,Klicks_Block_A_03.midButton,Klicks_Block_A_03.rightButton,Klicks_Block_A_03.time,Klicks_Block_A_03.clicked_name,Filler_A_03.started,mouse_7.started,Text_Filler_A_03.started,Filler_A_03.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Block_A_04.started,Klicks_Block_A_04.started,Arms_Block_A_04.started,Legs_Block_A_04.started,Other_Block_A_04.started,Head_Block_A_04.started,Block_A_04.stopped,Klicks_Block_A_04.x,Klicks_Block_A_04.y,Klicks_Block_A_04.leftButton,Klicks_Block_A_04.midButton,Klicks_Block_A_04.rightButton,Klicks_Block_A_04.time,Klicks_Block_A_04.clicked_name,Goodbye.started,GoodBye.started,mouse_4.started,Goodbye.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,participant,session,Condition,date,expName,psychopyVersion,frameRate,expStart,
,,0.007494800025597215,0.03082480002194643,0.01028829999268055,242.39259000006132,[-0.13425925925925927],[0.11944444444444445],[1],[0],[0],[242.38067779992707],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JO26EI26__A_HB,HB,A,2024-06-19_08h40.43.189,Balance_and_VR_A,2024.1.5,None,2024-06-19 09h03.03.466535 +0200,
,,,,,,,,,,,,242.39364320016466,0.0001838000025600195,242.40764770004898,905.7484967000782,[0.32222222222222224],[-0.005555555555555556],[1],[0],[0],[663.3536614999175],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JO26EI26__A_HB,HB,A,2024-06-19_08h40.43.189,Balance_and_VR_A,2024.1.5,None,2024-06-19 09h03.03.466535 +0200,
,,,,,,,,,,,,,,,,,,,,,,905.7488688000012,0.00014379993081092834,905.8494459001813,905.8494459001813,905.8494459001813,905.8494459001813,1115.7558134000283,[0.32222222222222224],[-0.005555555555555556],[1],[0],[0],[0.0018819000106304884],['Arms_Block_A_01'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JO26EI26__A_HB,HB,A,2024-06-19_08h40.43.189,Balance_and_VR_A,2024.1.5,None,2024-06-19 09h03.03.466535 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1115.7559603999835,0.007136400090530515,1115.7723499999847,1150.661490000086,[0.22407407407407406],[0.04814814814814815],[1],[0],[0],[34.90501239988953],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JO26EI26__A_HB,HB,A,2024-06-19_08h40.43.189,Balance_and_VR_A,2024.1.5,None,2024-06-19 09h03.03.466535 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150.6615925000515,6.320001557469368e-05,1150.6882212001365,1150.6882212001365,1150.6882212001365,1150.6882212001365,1360.6730378000066,[0.22407407407407406],[0.04814814814814815],[1],[0],[0],[0.0005323998630046844],['Other_Block_A_02'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JO26EI26__A_HB,HB,A,2024-06-19_08h40.43.189,Balance_and_VR_A,2024.1.5,None,2024-06-19 09h03.03.466535 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1360.6731799000409,0.011625000042840838,1360.689605000196,1395.762107900111,[0.22407407407407406],[0.04814814814814815],[1],[0],[0],[35.08825539983809],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JO26EI26__A_HB,HB,A,2024-06-19_08h40.43.189,Balance_and_VR_A,2024.1.5,None,2024-06-19 09h03.03.466535 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395.7622469000053,5.339994095265865e-05,1395.7870541000739,1395.7870541000739,1395.7870541000739,1395.7870541000739,1605.7736296001822,[0.22407407407407406],[0.04814814814814815],[1],[0],[0],[0.0006569998804479837],['Other_Block_A_03'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JO26EI26__A_HB,HB,A,2024-06-19_08h40.43.189,Balance_and_VR_A,2024.1.5,None,2024-06-19 09h03.03.466535 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1605.7737679001875,0.011560600018128753,1605.7899979001377,1641.1794410999864,[0.22407407407407406],[0.04814814814814815],[1],[0],[0],[35.40520569984801],,,,,,,,,,,,,,,,,,,,,,,,,JO26EI26__A_HB,HB,A,2024-06-19_08h40.43.189,Balance_and_VR_A,2024.1.5,None,2024-06-19 09h03.03.466535 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1641.179552800022,4.37998678535223e-05,1641.2064374000765,1641.2064374000765,1641.2064374000765,1641.2064374000765,1851.1906707000453,[0.22407407407407406],[0.04814814814814815],[1],[0],[0],[0.000505700008943677],['Other_Block_A_04'],,,,,,,,,,,JO26EI26__A_HB,HB,A,2024-06-19_08h40.43.189,Balance_and_VR_A,2024.1.5,None,2024-06-19 09h03.03.466535 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1851.1908281000797,1851.2071424000897,0.011311299866065383,1928.032687800005,[0.22407407407407406],[0.04814814814814815],[1],[0],[0],[76.84130229987204],JO26EI26__A_HB,HB,A,2024-06-19_08h40.43.189,Balance_and_VR_A,2024.1.5,None,2024-06-19 09h03.03.466535 +0200,
