thisRow.t,notes,Welcome_A.started,Welcome.started,mouse.started,Welcome_A.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Condition_A.started,mouse_3.started,ConditionA.started,Condition_A.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Block_A_01.started,Klicks_Block_A_01.started,Arms_Block_A_01.started,Legs_Block_A_01.started,Other_Block_A_01.started,Head_Block_A_01.started,Block_A_01.stopped,Klicks_Block_A_01.x,Klicks_Block_A_01.y,Klicks_Block_A_01.leftButton,Klicks_Block_A_01.midButton,Klicks_Block_A_01.rightButton,Klicks_Block_A_01.time,Klicks_Block_A_01.clicked_name,Filler_A_01.started,mouse_5.started,Text_FIller_A01.started,Filler_A_01.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,Block_A_02.started,Klicks_Block_A_02.started,Arms_Block_A_02.started,Legs_Block_A_02.started,Other_Block_A_02.started,Head_Block_A_02.started,Block_A_02.stopped,Klicks_Block_A_02.x,Klicks_Block_A_02.y,Klicks_Block_A_02.leftButton,Klicks_Block_A_02.midButton,Klicks_Block_A_02.rightButton,Klicks_Block_A_02.time,Klicks_Block_A_02.clicked_name,Filler_A_02.started,mouse_6.started,Text_Filler_A_02.started,Filler_A_02.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Block_A_03.started,Klicks_Block_A_03.started,Arms_Block_A_03.started,Legs_Block_A_03.started,Other_Block_A_03.started,Head_Block_A_03.started,Block_A_03.stopped,Klicks_Block_A_03.x,Klicks_Block_A_03.y,Klicks_Block_A_03.leftButton,Klicks_Block_A_03.midButton,Klicks_Block_A_03.rightButton,Klicks_Block_A_03.time,Klicks_Block_A_03.clicked_name,Filler_A_03.started,mouse_7.started,Text_Filler_A_03.started,Filler_A_03.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Block_A_04.started,Klicks_Block_A_04.started,Arms_Block_A_04.started,Legs_Block_A_04.started,Other_Block_A_04.started,Head_Block_A_04.started,Block_A_04.stopped,Klicks_Block_A_04.x,Klicks_Block_A_04.y,Klicks_Block_A_04.leftButton,Klicks_Block_A_04.midButton,Klicks_Block_A_04.rightButton,Klicks_Block_A_04.time,Klicks_Block_A_04.clicked_name,Goodbye.started,GoodBye.started,mouse_4.started,Goodbye.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,participant,session,Condition,date,expName,psychopyVersion,frameRate,expStart,
,,0.007467699935659766,0.03215670003555715,0.008980700047686696,715.3614652000833,[0.4527777777777778],[0.175],[1],[0],[0],[715.3510779000353],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LE11ON12_A_HB_,001,1,2024-06-24_09h14.47.028,Balance_and_VR_A,2024.1.5,None,2024-06-24 09h15.55.895846 +0200,
,,,,,,,,,,,,715.3651326999534,0.00011810008436441422,715.3790565000381,745.0533125998918,[-0.4925925925925926],[0.06851851851851852],[1],[0],[0],[29.686849099816754],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LE11ON12_A_HB_,001,1,2024-06-24_09h14.47.028,Balance_and_VR_A,2024.1.5,None,2024-06-24 09h15.55.895846 +0200,
,,,,,,,,,,,,,,,,,,,,,,745.0536648998968,0.00020670006051659584,745.1710324999876,745.1710324999876,745.1710324999876,745.1710324999876,955.06146909995,"[-0.4925925925925926, 0.2824074074074074, 0.1962962962962963, 0.3472222222222222]","[0.06851851851851852, -0.25092592592592594, 0.15092592592592594, -0.17685185185185184]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.0022100999485701323, 165.99117220006883, 195.68044809997082, 198.86253979988396]","['Head_Block_A_01', 'Arms_Block_A_01', 'Other_Block_A_01', 'Arms_Block_A_01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LE11ON12_A_HB_,001,1,2024-06-24_09h14.47.028,Balance_and_VR_A,2024.1.5,None,2024-06-24 09h15.55.895846 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,955.0617764000781,0.008179600117728114,955.0778415000532,990.0173665001057,[0.2740740740740741],[-0.18796296296296297],[1],[0],[0],[34.954863799968734],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LE11ON12_A_HB_,001,1,2024-06-24_09h14.47.028,Balance_and_VR_A,2024.1.5,None,2024-06-24 09h15.55.895846 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,990.0175606999546,6.980006583034992e-05,990.0479729999788,990.0479729999788,990.0479729999788,990.0479729999788,1200.0351877999492,"[0.2740740740740741, 0.3175925925925926, 0.18611111111111112, 0.16111111111111112, 0.3398148148148148]","[-0.18796296296296297, 0.10648148148148148, -0.10185185185185185, 0.15462962962962962, 0.17685185185185184]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0.0008023001719266176, 41.98554950021207, 72.94175150012597, 93.46935440017842, 127.43622050015256]","['Arms_Block_A_02', 'Other_Block_A_02', 'Arms_Block_A_02', 'Other_Block_A_02', 'Other_Block_A_02']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LE11ON12_A_HB_,001,1,2024-06-24_09h14.47.028,Balance_and_VR_A,2024.1.5,None,2024-06-24 09h15.55.895846 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200.0360310999677,0.018608700018376112,1200.0517045999877,1235.2549960000906,[-0.18981481481481483],[-0.41944444444444445],[1],[0],[0],[35.21726460009813],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LE11ON12_A_HB_,001,1,2024-06-24_09h14.47.028,Balance_and_VR_A,2024.1.5,None,2024-06-24 09h15.55.895846 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1235.2555277000647,0.00022380007430911064,1235.3320927999448,1235.3320927999448,1235.3320927999448,1235.3320927999448,1445.26203610003,"[-0.18981481481481483, 0.22962962962962963]","[-0.41944444444444445, -0.21481481481481482]","[1, 1]","[0, 0]","[0, 0]","[0.002451100153848529, 32.18433169997297]","['Legs_Block_A_03', 'Arms_Block_A_03']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LE11ON12_A_HB_,001,1,2024-06-24_09h14.47.028,Balance_and_VR_A,2024.1.5,None,2024-06-24 09h15.55.895846 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1445.2622847999446,0.006835300009697676,1445.2785954000428,1480.6377908000723,[-0.17407407407407408],[-0.18425925925925926],[1],[0],[0],[35.37393060000613],,,,,,,,,,,,,,,,,,,,,,,,,LE11ON12_A_HB_,001,1,2024-06-24_09h14.47.028,Balance_and_VR_A,2024.1.5,None,2024-06-24 09h15.55.895846 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1480.6382303000428,0.00017110002227127552,1480.6924850998912,1480.6924850998912,1480.6924850998912,1480.6924850998912,1690.6456768999342,"[-0.17407407407407408, 0.2101851851851852, 0.21296296296296297]","[-0.18425925925925926, 0.1398148148148148, -0.2037037037037037]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.0027417000383138657, 26.053963999962434, 78.72077540005557]","['Legs_Block_A_04', 'Other_Block_A_04', 'Arms_Block_A_04']",,,,,,,,,,,LE11ON12_A_HB_,001,1,2024-06-24_09h14.47.028,Balance_and_VR_A,2024.1.5,None,2024-06-24 09h15.55.895846 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1690.6459679999389,1690.6622007999104,0.007813599891960621,1693.5134183999617,[-0.053703703703703705],[-0.20833333333333334],[1],[0],[0],[2.8664228999987245],LE11ON12_A_HB_,001,1,2024-06-24_09h14.47.028,Balance_and_VR_A,2024.1.5,None,2024-06-24 09h15.55.895846 +0200,
