thisRow.t,notes,Welcome_A.started,Welcome.started,mouse.started,Welcome_A.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Condition_A.started,mouse_3.started,ConditionA.started,Condition_A.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Block_A_01.started,Klicks_Block_A_01.started,Arms_Block_A_01.started,Legs_Block_A_01.started,Other_Block_A_01.started,Head_Block_A_01.started,Block_A_01.stopped,Klicks_Block_A_01.x,Klicks_Block_A_01.y,Klicks_Block_A_01.leftButton,Klicks_Block_A_01.midButton,Klicks_Block_A_01.rightButton,Klicks_Block_A_01.time,Klicks_Block_A_01.clicked_name,Filler_A_01.started,mouse_5.started,Text_FIller_A01.started,Filler_A_01.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,Block_A_02.started,Klicks_Block_A_02.started,Arms_Block_A_02.started,Legs_Block_A_02.started,Other_Block_A_02.started,Head_Block_A_02.started,Block_A_02.stopped,Klicks_Block_A_02.x,Klicks_Block_A_02.y,Klicks_Block_A_02.leftButton,Klicks_Block_A_02.midButton,Klicks_Block_A_02.rightButton,Klicks_Block_A_02.time,Klicks_Block_A_02.clicked_name,Filler_A_02.started,mouse_6.started,Text_Filler_A_02.started,Filler_A_02.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Block_A_03.started,Klicks_Block_A_03.started,Arms_Block_A_03.started,Legs_Block_A_03.started,Other_Block_A_03.started,Head_Block_A_03.started,Block_A_03.stopped,Klicks_Block_A_03.x,Klicks_Block_A_03.y,Klicks_Block_A_03.leftButton,Klicks_Block_A_03.midButton,Klicks_Block_A_03.rightButton,Klicks_Block_A_03.time,Klicks_Block_A_03.clicked_name,Filler_A_03.started,mouse_7.started,Text_Filler_A_03.started,Filler_A_03.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Block_A_04.started,Klicks_Block_A_04.started,Arms_Block_A_04.started,Legs_Block_A_04.started,Other_Block_A_04.started,Head_Block_A_04.started,Block_A_04.stopped,Klicks_Block_A_04.x,Klicks_Block_A_04.y,Klicks_Block_A_04.leftButton,Klicks_Block_A_04.midButton,Klicks_Block_A_04.rightButton,Klicks_Block_A_04.time,Klicks_Block_A_04.clicked_name,Goodbye.started,GoodBye.started,mouse_4.started,Goodbye.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,participant,session,Condition,date,expName,psychopyVersion,frameRate,expStart,
,,0.0086772998329252,0.020060099894180894,0.008471299894154072,38.9928607000038,[-0.17777777777777778],[0.006481481481481481],[1],[0],[0],[38.98361160000786],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NF16CH30_A_LB,001,,2024-06-21_09h54.36.070,Balance_and_VR_A,2024.1.5,None,2024-06-21 10h08.19.713377 +0200,
,,,,,,,,,,,,38.996084599988535,5.429983139038086e-05,39.009174099890515,797.3305055999663,[-0.15925925925925927],[-0.13703703703703704],[1],[0],[0],[758.3338649000507],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NF16CH30_A_LB,001,,2024-06-21_09h54.36.070,Balance_and_VR_A,2024.1.5,None,2024-06-21 10h08.19.713377 +0200,
,,,,,,,,,,,,,,,,,,,,,,797.33066769992,5.959998816251755e-05,797.3842879999429,797.3842879999429,797.3842879999429,797.3842879999429,1007.3414576998912,"[-0.15925925925925927, -0.23055555555555557, -0.29444444444444445, -0.29444444444444445, -0.29444444444444445, -0.29444444444444445]","[-0.13703703703703704, -0.29074074074074074, -0.21851851851851853, -0.21851851851851853, -0.21851851851851853, -0.21851851851851853]","[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0.0006956001743674278, 63.67880220012739, 104.81374980020337, 106.3298388000112, 127.05620220000856, 157.79611810017377]","['Legs_Block_A_01', 'Legs_Block_A_01', 'Legs_Block_A_01', 'Legs_Block_A_01', 'Legs_Block_A_01', 'Legs_Block_A_01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NF16CH30_A_LB,001,,2024-06-21_09h54.36.070,Balance_and_VR_A,2024.1.5,None,2024-06-21 10h08.19.713377 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1007.3416933999397,0.011063700076192617,1007.3581393000204,1042.7136293000076,[-0.29444444444444445],[-0.21851851851851853],[1],[0],[0],[35.37140589999035],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NF16CH30_A_LB,001,,2024-06-21_09h54.36.070,Balance_and_VR_A,2024.1.5,None,2024-06-21 10h08.19.713377 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1042.7137364000082,4.4999876990914345e-05,1042.7398957000114,1042.7398957000114,1042.7398957000114,1042.7398957000114,1252.7253576999065,"[-0.29444444444444445, -0.29444444444444445, -0.325, -0.32037037037037036, -0.32037037037037036, 0.24722222222222223]","[-0.21851851851851853, -0.21851851851851853, -0.3055555555555556, -0.2796296296296296, -0.2796296296296296, 0.1935185185185185]","[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0.0006048998329788446, 57.5140487998724, 84.48859660001472, 114.76158339995891, 160.4458006999921, 185.85385959991254]","['Legs_Block_A_02', 'Legs_Block_A_02', 'Legs_Block_A_02', 'Legs_Block_A_02', 'Legs_Block_A_02', 'Other_Block_A_02']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NF16CH30_A_LB,001,,2024-06-21_09h54.36.070,Balance_and_VR_A,2024.1.5,None,2024-06-21 10h08.19.713377 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1252.7255885999184,0.011895699892193079,1252.7418376998976,1287.0313199998345,[-0.2388888888888889],[-0.06759259259259259],[1],[0],[0],[34.30518970009871],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NF16CH30_A_LB,001,,2024-06-21_09h54.36.070,Balance_and_VR_A,2024.1.5,None,2024-06-21 10h08.19.713377 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1287.0314360000193,4.7999899834394455e-05,1287.0577420999762,1287.0577420999762,1287.0577420999762,1287.0577420999762,1497.0427221998107,"[-0.2388888888888889, -0.2916666666666667, -0.3574074074074074]","[-0.06759259259259259, -0.2361111111111111, -0.17222222222222222]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.0004841999616473913, 34.105063599999994, 96.81821479997598]","['Legs_Block_A_03', 'Legs_Block_A_03', 'Legs_Block_A_03']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NF16CH30_A_LB,001,,2024-06-21_09h54.36.070,Balance_and_VR_A,2024.1.5,None,2024-06-21 10h08.19.713377 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1497.0429083998315,0.011518300045281649,1497.059372899821,1532.0317608998157,[-0.3574074074074074],[-0.17222222222222222],[1],[0],[0],[34.988368400139734],,,,,,,,,,,,,,,,,,,,,,,,,NF16CH30_A_LB,001,,2024-06-21_09h54.36.070,Balance_and_VR_A,2024.1.5,None,2024-06-21 10h08.19.713377 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1532.0318722999655,4.729977808892727e-05,1532.0551835999358,1532.0551835999358,1532.0551835999358,1532.0551835999358,1742.043306299951,"[-0.3574074074074074, 0.3453703703703704, -0.2564814814814815]","[-0.17222222222222222, 0.25833333333333336, -0.2037037037037037]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.0004859000910073519, 106.4470152000431, 141.0522352999542]","['Legs_Block_A_04', 'Other_Block_A_04', 'Legs_Block_A_04']",,,,,,,,,,,NF16CH30_A_LB,001,,2024-06-21_09h54.36.070,Balance_and_VR_A,2024.1.5,None,2024-06-21 10h08.19.713377 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1742.0434969998896,1742.0598603999242,0.011665700003504753,1757.6221385998651,[-0.2564814814814815],[-0.2037037037037037],[1],[0],[0],[15.57803549990058],NF16CH30_A_LB,001,,2024-06-21_09h54.36.070,Balance_and_VR_A,2024.1.5,None,2024-06-21 10h08.19.713377 +0200,
