thisRow.t,notes,Welcome_A.started,Welcome.started,mouse.started,Welcome_A.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Condition_A.started,mouse_3.started,ConditionA.started,Condition_A.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Block_A_01.started,Klicks_Block_A_01.started,Arms_Block_A_01.started,Legs_Block_A_01.started,Other_Block_A_01.started,Head_Block_A_01.started,Counter_Legs_A_01.started,Counter_Arms_A_01.started,Counter_Other_A_01.started,Counter_Head_A_01.started,Block_A_01.stopped,Klicks_Block_A_01.x,Klicks_Block_A_01.y,Klicks_Block_A_01.leftButton,Klicks_Block_A_01.midButton,Klicks_Block_A_01.rightButton,Klicks_Block_A_01.time,Klicks_Block_A_01.clicked_name,arms_count_A_01,legs_count_A_01,head_count_A_01,other_count_A_01,total_click_count_A_01,Filler_A_01.started,mouse_5.started,Text_FIller_A01.started,Filler_A_01.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,Block_A_02.started,Klicks_Block_A_02.started,Arms_Block_A_02.started,Legs_Block_A_02.started,Other_Block_A_02.started,Head_Block_A_02.started,Counter_Head_A_02.started,Counter_Other_A_02.started,Counter_Legs_A_02.started,Counter_Arms_A_02.started,Block_A_02.stopped,Klicks_Block_A_02.x,Klicks_Block_A_02.y,Klicks_Block_A_02.leftButton,Klicks_Block_A_02.midButton,Klicks_Block_A_02.rightButton,Klicks_Block_A_02.time,Klicks_Block_A_02.clicked_name,arms_count_A_02,legs_count_A_02,head_count_A_02,other_count_A_02,total_click_count_A_02,Filler_A_02.started,mouse_6.started,Text_Filler_A_02.started,Filler_A_02.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Block_A_03.started,Klicks_Block_A_03.started,Arms_Block_A_03.started,Legs_Block_A_03.started,Other_Block_A_03.started,Head_Block_A_03.started,Counter_Head_A_03.started,Counter_Other_A_03.started,Counter_Legs_A_03.started,Counter_Arms_A_03.started,Block_A_03.stopped,Klicks_Block_A_03.x,Klicks_Block_A_03.y,Klicks_Block_A_03.leftButton,Klicks_Block_A_03.midButton,Klicks_Block_A_03.rightButton,Klicks_Block_A_03.time,Klicks_Block_A_03.clicked_name,arms_count_A_03,legs_count_A_03,head_count_A_03,other_count_A_03,total_click_count_A_03,Filler_A_03.started,mouse_7.started,Text_Filler_A_03.started,Filler_A_03.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Block_A_04.started,Klicks_Block_A_04.started,Arms_Block_A_04.started,Legs_Block_A_04.started,Other_Block_A_04.started,Head_Block_A_04.started,Counter_Head_A_04.started,Counter_Other_A_04.started,Counter_Legs_A_04.started,Counter_Arms_A_04.started,Block_A_04.stopped,Klicks_Block_A_04.x,Klicks_Block_A_04.y,Klicks_Block_A_04.leftButton,Klicks_Block_A_04.midButton,Klicks_Block_A_04.rightButton,Klicks_Block_A_04.time,Klicks_Block_A_04.clicked_name,arms_count_A_04,legs_count_A_04,head_count_A_04,other_count_A_04,total_click_count_A_04,Goodbye.started,GoodBye.started,mouse_4.started,Goodbye.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,participant,session,Condition,date,expName,psychopyVersion,frameRate,expStart,
,,0.007274499628692865,0.018941199872642756,0.006975200027227402,574.6623272998258,[-0.11203703703703703],[0.12962962962962962],[1],[0],[0],[574.6536615998484],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PE16IN18,001,LB,2026-06-18_08h22.06.986,Balance_and_VR_A,2024.1.5,None,2026-06-18 08h23.23.778423 +0200,
,,,,,,,,,,,,574.6629224997014,0.00014849985018372536,574.6788441999815,576.3584129000083,[-0.11203703703703703],[0.12962962962962962],[1],[0],[0],[1.6946069998666644],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PE16IN18,001,LB,2026-06-18_08h22.06.986,Balance_and_VR_A,2024.1.5,None,2026-06-18 08h23.23.778423 +0200,
,,,,,,,,,,,,,,,,,,,,,,576.3585792998783,0.0002532997168600559,576.4658740996383,576.4658740996383,576.4658740996383,576.4658740996383,576.4658740996383,576.4658740996383,576.4658740996383,576.4658740996383,786.3640075000003,"[-0.11203703703703703, 0.21481481481481482]","[0.12962962962962962, -0.03425925925925926]","[1, 1]","[0, 0]","[0, 0]","[0.0010870001278817654, 116.02939590020105]","['Head_Block_A_01', 'Arms_Block_A_01']",1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PE16IN18,001,LB,2026-06-18_08h22.06.986,Balance_and_VR_A,2024.1.5,None,2026-06-18 08h23.23.778423 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786.3643738999963,0.005869199987500906,786.3849553996697,819.7277368996292,[0.21481481481481482],[-0.03425925925925926],[1],[0],[0],[33.36234299978241],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PE16IN18,001,LB,2026-06-18_08h22.06.986,Balance_and_VR_A,2024.1.5,None,2026-06-18 08h23.23.778423 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,819.7280012997799,0.0003772997297346592,819.7657324997708,819.7657324997708,819.7657324997708,819.7657324997708,819.7657324997708,819.7657324997708,819.7657324997708,819.7657324997708,1029.7392140999436,[0.21481481481481482],[-0.03425925925925926],[1],[0],[0],[0.0013465997762978077],['Arms_Block_A_02'],0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PE16IN18,001,LB,2026-06-18_08h22.06.986,Balance_and_VR_A,2024.1.5,None,2026-06-18 08h23.23.778423 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1029.7394560999237,0.011525599751621485,1029.7533760997467,1065.2148653999902,[0.21481481481481482],[-0.03425925925925926],[1],[0],[0],[35.473871199879795],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PE16IN18,001,LB,2026-06-18_08h22.06.986,Balance_and_VR_A,2024.1.5,None,2026-06-18 08h23.23.778423 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1065.2154271998443,0.0004891003482043743,1065.2568132998422,1065.2568132998422,1065.2568132998422,1065.2568132998422,1065.2568132998422,1065.2568132998422,1065.2568132998422,1065.2568132998422,1275.2192379999906,"[0.21481481481481482, -0.1638888888888889, -0.1638888888888889]","[-0.03425925925925926, 0.23333333333333334, 0.23333333333333334]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.0021927999332547188, 84.78129319986328, 200.42286319984123]","['Arms_Block_A_03', 'Head_Block_A_03', 'Head_Block_A_03']",0,0,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PE16IN18,001,LB,2026-06-18_08h22.06.986,Balance_and_VR_A,2024.1.5,None,2026-06-18 08h23.23.778423 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275.219525499735,0.00416640006005764,1275.2369601996616,1309.9440413997509,[-0.1638888888888889],[0.23333333333333334],[1],[0],[0],[34.72351130004972],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PE16IN18,001,LB,2026-06-18_08h22.06.986,Balance_and_VR_A,2024.1.5,None,2026-06-18 08h23.23.778423 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1309.944330399856,0.00036399997770786285,1309.9814647999592,1309.9814647999592,1309.9814647999592,1309.9814647999592,1309.9814647999592,1309.9814647999592,1309.9814647999592,1309.9814647999592,1519.955339399632,"[-0.1638888888888889, -0.1638888888888889, -0.1638888888888889, 0.2175925925925926]","[0.23333333333333334, 0.23333333333333334, 0.23333333333333334, -0.20925925925925926]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.0013268999755382538, 107.27985609974712, 125.09738059993833, 188.35437220009044]","['Head_Block_A_04', 'Head_Block_A_04', 'Head_Block_A_04', 'Arms_Block_A_04']",1,0,2,0,3,,,,,,,,,,,PE16IN18,001,LB,2026-06-18_08h22.06.986,Balance_and_VR_A,2024.1.5,None,2026-06-18 08h23.23.778423 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1519.9556306996383,1519.970644599758,0.011353500187397003,1587.9847273998894,[0.2175925925925926],[-0.20925925925925926],[1],[0],[0],[68.0276243002154],PE16IN18,001,LB,2026-06-18_08h22.06.986,Balance_and_VR_A,2024.1.5,None,2026-06-18 08h23.23.778423 +0200,
