thisRow.t,notes,Welcome_B.started,Welcome.started,mouse.started,Welcome_B.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Condition_B.started,mouse_3.started,ConditionB.started,Condition_B.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Block_B_01.started,Klicks_Block_B_01.started,Arms_Block_B_01.started,Legs_Block_B_01.started,Other_Block_B_01.started,Head_Block_B_01.started,Block_B_01.stopped,Klicks_Block_B_01.x,Klicks_Block_B_01.y,Klicks_Block_B_01.leftButton,Klicks_Block_B_01.midButton,Klicks_Block_B_01.rightButton,Klicks_Block_B_01.time,Klicks_Block_B_01.clicked_name,Filler_B_01.started,mouse_5.started,Text_FIller_B01.started,Filler_B_01.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,Block_B_02.started,Klicks_Block_B_02.started,Arms_Block_B_02.started,Legs_Block_B_02.started,Other_Block_B_02.started,Head_Block_B_02.started,Block_B_02.stopped,Klicks_Block_B_02.x,Klicks_Block_B_02.y,Klicks_Block_B_02.leftButton,Klicks_Block_B_02.midButton,Klicks_Block_B_02.rightButton,Klicks_Block_B_02.time,Klicks_Block_B_02.clicked_name,Filler_B_02.started,mouse_6.started,Text_Filler_B_02.started,Filler_B_02.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Block_B_03.started,Klicks_Block_B_03.started,Arms_Block_B_03.started,Legs_Block_B_03.started,Other_Block_B_03.started,Head_Block_B_03.started,Block_B_03.stopped,Klicks_Block_B_03.x,Klicks_Block_B_03.y,Klicks_Block_B_03.leftButton,Klicks_Block_B_03.midButton,Klicks_Block_B_03.rightButton,Klicks_Block_B_03.time,Klicks_Block_B_03.clicked_name,Filler_B_03.started,mouse_7.started,Text_Filler_B_03.started,Filler_B_03.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Block_B_04.started,Klicks_Block_B_04.started,Arms_Block_B_04.started,Legs_Block_B_04.started,Other_Block_B_04.started,Head_Block_B_04.started,Block_B_04.stopped,Klicks_Block_B_04.x,Klicks_Block_B_04.y,Klicks_Block_B_04.leftButton,Klicks_Block_B_04.midButton,Klicks_Block_B_04.rightButton,Klicks_Block_B_04.time,Klicks_Block_B_04.clicked_name,GoodBye_Final.started,GoodBye.started,mouse_4.started,participant,session,Condition,date,expName,psychopyVersion,frameRate,expStart,
,,0.00539320008829236,0.01755400002002716,0.00521799991838634,365.2787748000119,[0.08796296296296297],[0.02962962962962963],[1],[0],[0],[365.2726940999273],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA17ER04_B_HB,HB,B,2024-06-19_11h01.01.904,Balance_and_VR_B,2024.1.5,None,2024-06-19 11h03.24.557110 +0200,
,,,,,,,,,,,,365.27893120003864,3.560003824532032e-05,365.2938779001124,378.15816830005497,[0.025],[0.03518518518518519],[1],[0],[0],[12.87872639996931],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA17ER04_B_HB,HB,B,2024-06-19_11h01.01.904,Balance_and_VR_B,2024.1.5,None,2024-06-19 11h03.24.557110 +0200,
,,,,,,,,,,,,,,,,,,,,,,378.1583046000451,6.079999729990959e-05,378.2086348000448,378.2086348000448,378.2086348000448,378.2086348000448,588.1686664000154,"[0.025, 0.33796296296296297, 0.2638888888888889, 0.2175925925925926]","[0.03518518518518519, -0.14814814814814814, 0.24722222222222223, -0.18518518518518517]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.0006510999519377947, 45.46651659999043, 120.92506669997238, 128.37176809995435]","['Other_Block_B_01', 'Arms_Block_B_01', 'Other_Block_B_01', 'Arms_Block_B_01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA17ER04_B_HB,HB,B,2024-06-19_11h01.01.904,Balance_and_VR_B,2024.1.5,None,2024-06-19 11h03.24.557110 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588.1688687000424,0.010599900037050247,588.1850505000912,623.5913561000489,[-0.11018518518518519],[-0.06851851851851852],[1],[0],[0],[35.42200140003115],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA17ER04_B_HB,HB,B,2024-06-19_11h01.01.904,Balance_and_VR_B,2024.1.5,None,2024-06-19 11h03.24.557110 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623.5914673001971,5.389982834458351e-05,623.6169995001983,623.6169995001983,623.6169995001983,623.6169995001983,833.6024401001632,"[-0.11018518518518519, 0.23981481481481481, -0.25277777777777777, 0.3787037037037037]","[-0.06851851851851852, 0.2638888888888889, 0.2111111111111111, 0.27037037037037037]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.0005051998887211084, 36.33819709997624, 69.7758508999832, 110.42870679986663]","['Legs_Block_B_02', 'Other_Block_B_02', 'Head_Block_B_02', 'Other_Block_B_02']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA17ER04_B_HB,HB,B,2024-06-19_11h01.01.904,Balance_and_VR_B,2024.1.5,None,2024-06-19 11h03.24.557110 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,833.6026443999726,0.011214899830520153,833.6188366001006,868.2586203000974,[0.3277777777777778],[-0.1398148148148148],[1],[0],[0],[34.65546309994534],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA17ER04_B_HB,HB,B,2024-06-19_11h01.01.904,Balance_and_VR_B,2024.1.5,None,2024-06-19 11h03.24.557110 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868.2587580999825,4.259985871613026e-05,868.2856289001647,868.2856289001647,868.2856289001647,868.2856289001647,1078.269689100096,"[0.3277777777777778, 0.1648148148148148, 0.1935185185185185, 0.1935185185185185]","[-0.1398148148148148, 0.2, 0.075, 0.075]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.0004908998962491751, 83.65552200004458, 166.6602815000806, 187.61964610009454]","['Arms_Block_B_03', 'Other_Block_B_03', 'Other_Block_B_03', 'Other_Block_B_03']",,,,,,,,,,,,,,,,,,,,,,,,,,,,TA17ER04_B_HB,HB,B,2024-06-19_11h01.01.904,Balance_and_VR_B,2024.1.5,None,2024-06-19 11h03.24.557110 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1078.2698886001017,0.011164800031110644,1078.2860206000041,1113.7256374000572,[0.14907407407407408],[-0.007407407407407408],[1],[0],[0],[35.455170300090685],,,,,,,,,,,,,,,,,,TA17ER04_B_HB,HB,B,2024-06-19_11h01.01.904,Balance_and_VR_B,2024.1.5,None,2024-06-19 11h03.24.557110 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1113.7257920000702,5.7300087064504623e-05,1113.7505322000943,1113.7505322000943,1113.7505322000943,1113.7505322000943,1323.736933800159,"[0.14907407407407408, 0.2824074074074074]","[-0.007407407407407408, 0.1259259259259259]","[1, 1]","[0, 0]","[0, 0]","[0.000615699915215373, 178.68892609979957]","['Arms_Block_B_04', 'Other_Block_B_04']",,,,TA17ER04_B_HB,HB,B,2024-06-19_11h01.01.904,Balance_and_VR_B,2024.1.5,None,2024-06-19 11h03.24.557110 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1323.7371056000702,1323.7534221999813,0.011351299937814474,,,,,,,,,
