thisRow.t,notes,Welcome_B.started,Welcome.started,mouse.started,Welcome_B.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Condition_B.started,mouse_3.started,ConditionB.started,Condition_B.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Block_B_01.started,Klicks_Block_B_01.started,Arms_Block_B_01.started,Legs_Block_B_01.started,Other_Block_B_01.started,Head_Block_B_01.started,Block_B_01.stopped,Klicks_Block_B_01.x,Klicks_Block_B_01.y,Klicks_Block_B_01.leftButton,Klicks_Block_B_01.midButton,Klicks_Block_B_01.rightButton,Klicks_Block_B_01.time,Klicks_Block_B_01.clicked_name,Filler_B_01.started,mouse_5.started,Text_FIller_B01.started,Filler_B_01.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,Block_B_02.started,Klicks_Block_B_02.started,Arms_Block_B_02.started,Legs_Block_B_02.started,Other_Block_B_02.started,Head_Block_B_02.started,Block_B_02.stopped,Klicks_Block_B_02.x,Klicks_Block_B_02.y,Klicks_Block_B_02.leftButton,Klicks_Block_B_02.midButton,Klicks_Block_B_02.rightButton,Klicks_Block_B_02.time,Klicks_Block_B_02.clicked_name,Filler_B_02.started,mouse_6.started,Text_Filler_B_02.started,Filler_B_02.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Block_B_03.started,Klicks_Block_B_03.started,Arms_Block_B_03.started,Legs_Block_B_03.started,Other_Block_B_03.started,Head_Block_B_03.started,Block_B_03.stopped,Klicks_Block_B_03.x,Klicks_Block_B_03.y,Klicks_Block_B_03.leftButton,Klicks_Block_B_03.midButton,Klicks_Block_B_03.rightButton,Klicks_Block_B_03.time,Klicks_Block_B_03.clicked_name,Filler_B_03.started,mouse_7.started,Text_Filler_B_03.started,Filler_B_03.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Block_B_04.started,Klicks_Block_B_04.started,Arms_Block_B_04.started,Legs_Block_B_04.started,Other_Block_B_04.started,Head_Block_B_04.started,Block_B_04.stopped,Klicks_Block_B_04.x,Klicks_Block_B_04.y,Klicks_Block_B_04.leftButton,Klicks_Block_B_04.midButton,Klicks_Block_B_04.rightButton,Klicks_Block_B_04.time,Klicks_Block_B_04.clicked_name,GoodBye_Final.started,GoodBye.started,mouse_4.started,GoodBye_Final.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,participant,session,Condition,date,expName,psychopyVersion,frameRate,expStart,
,,0.012135699999817007,0.02222940000001472,0.011981999999989057,1.755281300000206,[-0.125],[0.125],[1],[0],[0],[1.7424885999998878],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BG22OE24_B_HB,001,HB,2024-07-02_14h16.42.717,Balance_and_VR_B,2024.1.5,None,2024-07-02 14h17.32.305383 +0200,
,,,,,,,,,,,,1.7554285000001073,3.0000000151630957e-05,1.7712068000000727,527.6941876999999,[-0.225],[0.07314814814814814],[1],[0],[0],[525.9381831000001],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BG22OE24_B_HB,001,HB,2024-07-02_14h16.42.717,Balance_and_VR_B,2024.1.5,None,2024-07-02 14h17.32.305383 +0200,
,,,,,,,,,,,,,,,,,,,,,,527.6943062,5.599999985861359e-05,527.7413113000002,527.7413113000002,527.7413113000002,527.7413113000002,737.7053398999997,"[-0.225, 0.1537037037037037, -0.17314814814814813, 0.3212962962962963]","[0.07314814814814814, 0.27037037037037037, -0.18425925925925926, 0.16018518518518518]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.0006079999998291896, 57.348992199999884, 177.25632240000004, 205.33006850000038]","['Head_Block_B_01', 'Other_Block_B_01', 'Legs_Block_B_01', 'Other_Block_B_01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BG22OE24_B_HB,001,HB,2024-07-02_14h16.42.717,Balance_and_VR_B,2024.1.5,None,2024-07-02 14h17.32.305383 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737.7055344999999,0.011262399999395711,737.7220639999996,773.0110803999996,[0.6990740740740741],[0.1935185185185185],[1],[0],[0],[35.305010899999616],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BG22OE24_B_HB,001,HB,2024-07-02_14h16.42.717,Balance_and_VR_B,2024.1.5,None,2024-07-02 14h17.32.305383 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,773.0112012999998,5.249999958323315e-05,773.0335326000004,773.0335326000004,773.0335326000004,773.0335326000004,983.0222751000001,"[0.6990740740740741, 0.3675925925925926, 0.3333333333333333, 0.3333333333333333]","[0.1935185185185185, 0.2833333333333333, 0.262037037037037, 0.262037037037037]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.000520900000083202, 10.763607099999717, 78.20653260000017, 79.40611090000039]","['Other_Block_B_02', 'Other_Block_B_02', 'Other_Block_B_02']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BG22OE24_B_HB,001,HB,2024-07-02_14h16.42.717,Balance_and_VR_B,2024.1.5,None,2024-07-02 14h17.32.305383 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983.0224635000004,0.011300000000119326,983.0389396999999,1018.5278409000002,[0.3333333333333333],[0.262037037037037],[1],[0],[0],[35.50482180000017],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BG22OE24_B_HB,001,HB,2024-07-02_14h16.42.717,Balance_and_VR_B,2024.1.5,None,2024-07-02 14h17.32.305383 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018.5279756999998,5.3899999329587445e-05,1018.5524402000001,1018.5524402000001,1018.5524402000001,1018.5524402000001,1228.5391920000002,[0.3333333333333333],[0.262037037037037],[1],[0],[0],[0.0005658000000039465],['Other_Block_B_03'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BG22OE24_B_HB,001,HB,2024-07-02_14h16.42.717,Balance_and_VR_B,2024.1.5,None,2024-07-02 14h17.32.305383 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1228.5393346,0.011397199999919394,1228.5555580999999,1813.9585385999999,[0.887962962962963],[-0.18981481481481483],[1],[0],[0],[585.4185982999998],,,,,,,,,,,,,,,,,,,,,,,,,BG22OE24_B_HB,001,HB,2024-07-02_14h16.42.717,Balance_and_VR_B,2024.1.5,None,2024-07-02 14h17.32.305383 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1813.9587036000003,7.240000013553072e-05,1814.0037604,1814.0037604,1814.0037604,1814.0037604,2023.9698214,[0.887962962962963],[-0.18981481481481483],[1],[0],[0],[0.0007020000002739835],[],,,,,,,,,,,BG22OE24_B_HB,001,HB,2024-07-02_14h16.42.717,Balance_and_VR_B,2024.1.5,None,2024-07-02 14h17.32.305383 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.9699630000005,2023.9863188999998,0.011297999999442254,3511.4181059000002,[0.887962962962963],[-0.08888888888888889],[1],[0],[0],[1487.4476131000001],BG22OE24_B_HB,001,HB,2024-07-02_14h16.42.717,Balance_and_VR_B,2024.1.5,None,2024-07-02 14h17.32.305383 +0200,
