thisRow.t,notes,Welcome_B.started,Welcome.started,mouse.started,Welcome_B.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Condition_B.started,mouse_3.started,ConditionB.started,Condition_B.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Block_B_01.started,Klicks_Block_B_01.started,Arms_Block_B_01.started,Legs_Block_B_01.started,Other_Block_B_01.started,Head_Block_B_01.started,Counter_Head_B_01.started,Counter_Other_B_01.started,Counter_Legs_B_01.started,Counter_Arms_B_01.started,Block_B_01.stopped,Klicks_Block_B_01.x,Klicks_Block_B_01.y,Klicks_Block_B_01.leftButton,Klicks_Block_B_01.midButton,Klicks_Block_B_01.rightButton,Klicks_Block_B_01.time,Klicks_Block_B_01.clicked_name,arms_count_B_01,legs_count_B_01,head_count_B_01,other_count_B_01,total_click_count_B_01,Filler_B_01.started,mouse_5.started,Text_FIller_B01.started,Filler_B_01.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,Block_B_02.started,Klicks_Block_B_02.started,Arms_Block_B_02.started,Legs_Block_B_02.started,Other_Block_B_02.started,Head_Block_B_02.started,Counter_Head_B_02.started,Counter_Other_B_02.started,Counter_Legs_B_02.started,Counter_Arms_B_02.started,Block_B_02.stopped,Klicks_Block_B_02.x,Klicks_Block_B_02.y,Klicks_Block_B_02.leftButton,Klicks_Block_B_02.midButton,Klicks_Block_B_02.rightButton,Klicks_Block_B_02.time,Klicks_Block_B_02.clicked_name,arms_count_B_02,legs_count_B_02,head_count_B_02,other_count_B_02,total_click_count_B_02,Filler_B_02.started,mouse_6.started,Text_Filler_B_02.started,Filler_B_02.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Block_B_03.started,Klicks_Block_B_03.started,Arms_Block_B_03.started,Legs_Block_B_03.started,Other_Block_B_03.started,Head_Block_B_03.started,Counter_Head_B_03.started,Counter_Other_B_03.started,Counter_Legs_B_03.started,Counter_Arms_B_03.started,Block_B_03.stopped,Klicks_Block_B_03.x,Klicks_Block_B_03.y,Klicks_Block_B_03.leftButton,Klicks_Block_B_03.midButton,Klicks_Block_B_03.rightButton,Klicks_Block_B_03.time,Klicks_Block_B_03.clicked_name,arms_count_B_03,legs_count_B_03,head_count_B_03,other_count_B_03,total_click_count_B_03,Filler_B_03.started,mouse_7.started,Text_Filler_B_03.started,Filler_B_03.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Block_B_04.started,Klicks_Block_B_04.started,Arms_Block_B_04.started,Legs_Block_B_04.started,Other_Block_B_04.started,Head_Block_B_04.started,Counter_Head_B_04.started,Counter_Other_B_04.started,Counter_Legs_B_04.started,Counter_Arms_B_04.started,Block_B_04.stopped,Klicks_Block_B_04.x,Klicks_Block_B_04.y,Klicks_Block_B_04.leftButton,Klicks_Block_B_04.midButton,Klicks_Block_B_04.rightButton,Klicks_Block_B_04.time,Klicks_Block_B_04.clicked_name,arms_count_B_04,legs_count_B_04,head_count_B_04,other_count_B_04,total_click_count_B_04,GoodBye_Final.started,GoodBye.started,mouse_4.started,GoodBye_Final.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,participant,session,Condition,date,expName,psychopyVersion,frameRate,expStart,
,,0.005390299949795008,0.021513599902391434,0.005201300140470266,665.9808815999422,[-0.40555555555555556],[0.08148148148148149],[1],[0],[0],[665.974840000039],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BI20OE24,001,HB,2026-06-12_13h16.42.576,Balance_and_VR_B,2024.1.5,None,2026-06-12 13h17.28.632344 +0200,
,,,,,,,,,,,,665.981041100109,5.2800169214606285e-05,665.9956732999999,669.3124647000805,[-0.40555555555555556],[0.08148148148148149],[1],[0],[0],[3.3308295998722315],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BI20OE24,001,HB,2026-06-12_13h16.42.576,Balance_and_VR_B,2024.1.5,None,2026-06-12 13h17.28.632344 +0200,
,,,,,,,,,,,,,,,,,,,,,,669.3125926000066,0.00038839993067085743,669.3528698000591,669.3528698000591,669.3528698000591,669.3528698000591,669.3528698000591,669.3528698000591,669.3528698000591,669.3528698000591,879.3238367999438,"[-0.40555555555555556, -0.3490740740740741, 0.24444444444444444, -0.26666666666666666, 0.4064814814814815, 0.287962962962963, 0.27685185185185185, 0.27685185185185185, 0.27314814814814814, 0.2361111111111111]","[0.08148148148148149, 0.2953703703703704, -0.12129629629629629, 0.21666666666666667, 0.24814814814814815, -0.15833333333333333, -0.287962962962963, -0.287962962962963, -0.2935185185185185, 0.23148148148148148]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0007974999025464058, 11.812069099862128, 17.62655199994333, 60.512380899861455, 75.5573300998658, 92.88494209991768, 120.49209089996293, 124.49201689986512, 166.57727829995565, 181.30473039997742]","['Head_Block_B_01', 'Head_Block_B_01', 'Arms_Block_B_01', 'Head_Block_B_01', 'Other_Block_B_01', 'Arms_Block_B_01', 'Arms_Block_B_01', 'Arms_Block_B_01', 'Arms_Block_B_01', 'Other_Block_B_01']",5,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BI20OE24,001,HB,2026-06-12_13h16.42.576,Balance_and_VR_B,2024.1.5,None,2026-06-12 13h17.28.632344 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879.3241445999593,0.011587899876758456,879.3401852999814,914.1812877000775,[0.2361111111111111],[0.23148148148148148],[1],[0],[0],[34.856569200055674],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BI20OE24,001,HB,2026-06-12_13h16.42.576,Balance_and_VR_B,2024.1.5,None,2026-06-12 13h17.28.632344 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,914.1814168000128,0.00015620002523064613,914.2067462999839,914.2067462999839,914.2067462999839,914.2067462999839,914.2067462999839,914.2067462999839,914.2067462999839,914.2067462999839,1124.1906344001181,"[0.2361111111111111, 0.26944444444444443, 0.30092592592592593, 0.29074074074074074, 0.29074074074074074, 0.2712962962962963, 0.2712962962962963, -0.2111111111111111]","[0.23148148148148148, -0.03981481481481482, 0.24351851851851852, -0.22592592592592592, -0.22592592592592592, -0.23703703703703705, -0.23703703703703705, -0.26666666666666666]","[1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0.0005657000001519918, 35.23561319988221, 39.30232109990902, 76.02285619988106, 87.5520572999958, 128.68751999991946, 133.8688031998463, 188.90035629994236]","['Other_Block_B_02', 'Arms_Block_B_02', 'Other_Block_B_02', 'Arms_Block_B_02', 'Arms_Block_B_02', 'Arms_Block_B_02', 'Arms_Block_B_02', 'Legs_Block_B_02']",5,1,0,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BI20OE24,001,HB,2026-06-12_13h16.42.576,Balance_and_VR_B,2024.1.5,None,2026-06-12 13h17.28.632344 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1124.1909050999675,0.009524200111627579,1124.2072801999748,1159.2796044000424,[0.041666666666666664],[0.028703703703703703],[1],[0],[0],[35.088241200195625],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BI20OE24,001,HB,2026-06-12_13h16.42.576,Balance_and_VR_B,2024.1.5,None,2026-06-12 13h17.28.632344 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1159.2797185000964,0.00017159990966320038,1159.30093519995,1159.30093519995,1159.30093519995,1159.30093519995,1159.30093519995,1159.30093519995,1159.30093519995,1159.30093519995,1369.2911879001185,"[0.041666666666666664, 0.30277777777777776, -0.3138888888888889, -0.275, 0.22685185185185186, -0.2537037037037037, 0.19537037037037036, 0.19537037037037036, 0.2851851851851852, -0.29074074074074074, 0.3712962962962963, 0.24074074074074073, 0.25555555555555554, 0.3648148148148148, -0.3527777777777778, -0.14537037037037037]","[0.028703703703703703, -0.3787037037037037, -0.29074074074074074, 0.17592592592592593, -0.15462962962962962, 0.32037037037037036, 0.38055555555555554, 0.38055555555555554, -0.26666666666666666, -0.12314814814814815, -0.1935185185185185, 0.0962962962962963, -0.15648148148148147, 0.32407407407407407, 0.2796296296296296, -0.2074074074074074]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0005137999542057514, 22.191948299994692, 29.423296299995854, 31.039674799889326, 54.54855119995773, 79.88916309992783, 93.13482859986834, 94.66762640001252, 120.97534059989266, 122.77467409987003, 142.90133669995703, 152.94915080000646, 158.5622805999592, 189.5521388000343, 190.36880739987828, 198.49896729993634]","['Other_Block_B_03', 'Arms_Block_B_03', 'Legs_Block_B_03', 'Head_Block_B_03', 'Arms_Block_B_03', 'Head_Block_B_03', 'Other_Block_B_03', 'Other_Block_B_03', 'Arms_Block_B_03', 'Legs_Block_B_03', 'Arms_Block_B_03', 'Other_Block_B_03', 'Arms_Block_B_03', 'Other_Block_B_03', 'Head_Block_B_03', 'Legs_Block_B_03']",5,3,3,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BI20OE24,001,HB,2026-06-12_13h16.42.576,Balance_and_VR_B,2024.1.5,None,2026-06-12 13h17.28.632344 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1369.2916107000783,0.011927899904549122,1369.3075584000908,1404.1809892000165,[-0.14537037037037037],[-0.2074074074074074],[1],[0],[0],[34.88865070021711],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BI20OE24,001,HB,2026-06-12_13h16.42.576,Balance_and_VR_B,2024.1.5,None,2026-06-12 13h17.28.632344 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1404.181203499902,0.000283700181171298,1404.205067700008,1404.205067700008,1404.205067700008,1404.205067700008,1404.205067700008,1404.205067700008,1404.205067700008,1404.205067700008,1614.1915531998966,"[-0.14537037037037037, -0.2777777777777778, 0.2796296296296296, 0.262037037037037, 0.22592592592592592, 0.22592592592592592, -0.27685185185185185, -0.27685185185185185, 0.25092592592592594, -0.3055555555555556, 0.29907407407407405, 0.29907407407407405, 0.0962962962962963, 0.13518518518518519, -0.22962962962962963, 0.2490740740740741]","[-0.2074074074074074, 0.18333333333333332, -0.16574074074074074, 0.2953703703703704, -0.2037037037037037, -0.2037037037037037, -0.23055555555555557, 0.225, 0.30833333333333335, -0.22777777777777777, -0.2916666666666667, -0.2916666666666667, -0.11851851851851852, 0.08055555555555556, -0.16203703703703703, 0.17777777777777778]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0009675000328570604, 5.8141015998553485, 15.626568000065163, 17.492273000068963, 31.62105549988337, 46.116100899875164, 68.62491629994474, 77.64666099986061, 110.19535019993782, 118.3916603999678, 123.40717120002955, 125.82261179992929, 162.17692280001938, 171.77346729999408, 196.23186599998735, 205.84527310007252]","['Legs_Block_B_04', 'Head_Block_B_04', 'Arms_Block_B_04', 'Other_Block_B_04', 'Arms_Block_B_04', 'Arms_Block_B_04', 'Legs_Block_B_04', 'Head_Block_B_04', 'Other_Block_B_04', 'Legs_Block_B_04', 'Arms_Block_B_04', 'Arms_Block_B_04', 'Arms_Block_B_04', 'Other_Block_B_04', 'Legs_Block_B_04', 'Other_Block_B_04']",6,3,2,4,15,,,,,,,,,,,BI20OE24,001,HB,2026-06-12_13h16.42.576,Balance_and_VR_B,2024.1.5,None,2026-06-12 13h17.28.632344 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1614.191977800103,1614.207859300077,0.010818700073286891,1620.1402000999078,[0.2490740740740741],[0.17777777777777778],[1],[0],[0],[5.947682899888605],BI20OE24,001,HB,2026-06-12_13h16.42.576,Balance_and_VR_B,2024.1.5,None,2026-06-12 13h17.28.632344 +0200,
