thisRow.t,notes,Welcome_B.started,Welcome.started,mouse.started,Welcome_B.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Condition_B.started,mouse_3.started,ConditionB.started,Condition_B.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Block_B_01.started,Klicks_Block_B_01.started,Arms_Block_B_01.started,Legs_Block_B_01.started,Other_Block_B_01.started,Head_Block_B_01.started,Counter_Head_B_01.started,Counter_Other_B_01.started,Counter_Legs_B_01.started,Counter_Arms_B_01.started,Block_B_01.stopped,Klicks_Block_B_01.x,Klicks_Block_B_01.y,Klicks_Block_B_01.leftButton,Klicks_Block_B_01.midButton,Klicks_Block_B_01.rightButton,Klicks_Block_B_01.time,Klicks_Block_B_01.clicked_name,arms_count_B_01,legs_count_B_01,head_count_B_01,other_count_B_01,total_click_count_B_01,Filler_B_01.started,mouse_5.started,Text_FIller_B01.started,Filler_B_01.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,Block_B_02.started,Klicks_Block_B_02.started,Arms_Block_B_02.started,Legs_Block_B_02.started,Other_Block_B_02.started,Head_Block_B_02.started,Counter_Head_B_02.started,Counter_Other_B_02.started,Counter_Legs_B_02.started,Counter_Arms_B_02.started,Block_B_02.stopped,Klicks_Block_B_02.x,Klicks_Block_B_02.y,Klicks_Block_B_02.leftButton,Klicks_Block_B_02.midButton,Klicks_Block_B_02.rightButton,Klicks_Block_B_02.time,Klicks_Block_B_02.clicked_name,arms_count_B_02,legs_count_B_02,head_count_B_02,other_count_B_02,total_click_count_B_02,Filler_B_02.started,mouse_6.started,Text_Filler_B_02.started,Filler_B_02.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Block_B_03.started,Klicks_Block_B_03.started,Arms_Block_B_03.started,Legs_Block_B_03.started,Other_Block_B_03.started,Head_Block_B_03.started,Counter_Head_B_03.started,Counter_Other_B_03.started,Counter_Legs_B_03.started,Counter_Arms_B_03.started,Block_B_03.stopped,Klicks_Block_B_03.x,Klicks_Block_B_03.y,Klicks_Block_B_03.leftButton,Klicks_Block_B_03.midButton,Klicks_Block_B_03.rightButton,Klicks_Block_B_03.time,Klicks_Block_B_03.clicked_name,arms_count_B_03,legs_count_B_03,head_count_B_03,other_count_B_03,total_click_count_B_03,Filler_B_03.started,mouse_7.started,Text_Filler_B_03.started,Filler_B_03.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Block_B_04.started,Klicks_Block_B_04.started,Arms_Block_B_04.started,Legs_Block_B_04.started,Other_Block_B_04.started,Head_Block_B_04.started,Counter_Head_B_04.started,Counter_Other_B_04.started,Counter_Legs_B_04.started,Counter_Arms_B_04.started,Block_B_04.stopped,Klicks_Block_B_04.x,Klicks_Block_B_04.y,Klicks_Block_B_04.leftButton,Klicks_Block_B_04.midButton,Klicks_Block_B_04.rightButton,Klicks_Block_B_04.time,Klicks_Block_B_04.clicked_name,arms_count_B_04,legs_count_B_04,head_count_B_04,other_count_B_04,total_click_count_B_04,GoodBye_Final.started,GoodBye.started,mouse_4.started,GoodBye_Final.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,participant,session,Condition,date,expName,psychopyVersion,frameRate,expStart,
,,0.005673800013028085,0.025412699964363128,0.005320900003425777,5.28687800001353,[-0.5592592592592592],[0.25],[1],[0],[0],[5.278776100021787],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH10AL22,001,HB,2026-06-29_15h13.10.623,Balance_and_VR_B,2024.1.5,None,2026-06-29 15h13.40.534651 +0200,
,,,,,,,,,,,,5.287629399972502,0.00021169998217374086,5.304414900019765,533.2538887999835,[-0.5592592592592592],[0.25],[1],[0],[0],[527.9637560999836],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH10AL22,001,HB,2026-06-29_15h13.10.623,Balance_and_VR_B,2024.1.5,None,2026-06-29 15h13.40.534651 +0200,
,,,,,,,,,,,,,,,,,,,,,,533.2544050000142,0.001445600006263703,533.3366310999845,533.3366310999845,533.3366310999845,533.3366310999845,533.3366310999845,533.3366310999845,533.3366310999845,533.3366310999845,743.2574077000027,"[-0.5592592592592592, -0.5592592592592592, 0.0787037037037037, 0.19814814814814816, -0.13796296296296295, 0.11574074074074074, 0.11574074074074074]","[0.25, 0.25, -0.24722222222222223, -0.24722222222222223, 0.13148148148148148, -0.17962962962962964, -0.17962962962962964]","[1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0.0038417999749071896, 28.084885499964003, 28.713618199981283, 29.55126440001186, 95.1355611999752, 173.22534689999884, 200.1728543000063]","['Arms_Block_B_01', 'Arms_Block_B_01', 'Head_Block_B_01', 'Arms_Block_B_01', 'Arms_Block_B_01']",4,0,1,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH10AL22,001,HB,2026-06-29_15h13.10.623,Balance_and_VR_B,2024.1.5,None,2026-06-29 15h13.40.534651 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743.2580566999968,0.003771600022446364,743.2740001999773,778.416642599972,[0.11574074074074074],[-0.17962962962962964],[1],[0],[0],[35.15700060001109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH10AL22,001,HB,2026-06-29_15h13.10.623,Balance_and_VR_B,2024.1.5,None,2026-06-29 15h13.40.534651 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778.4170787999756,0.00056460004998371,778.4935355000198,778.4935355000198,778.4935355000198,778.4935355000198,778.4935355000198,778.4935355000198,778.4935355000198,778.4935355000198,988.4358919999795,"[0.11574074074074074, -0.21296296296296297, 0.1574074074074074, -0.20462962962962963, 0.2712962962962963, 0.23796296296296296, -0.21388888888888888, 0.14351851851851852, -0.20092592592592592]","[-0.17962962962962964, 0.20277777777777778, -0.21944444444444444, -0.20277777777777778, 0.06574074074074074, -0.31203703703703706, 0.14814814814814814, 0.15092592592592594, -0.3851851851851852]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.002183099975809455, 22.841825099952985, 79.29939489997923, 80.5631066999631, 83.42013719998067, 105.913418799988, 110.45992939994903, 136.93377189995954, 177.9498251999612]","['Arms_Block_B_02', 'Head_Block_B_02', 'Arms_Block_B_02', 'Legs_Block_B_02', 'Other_Block_B_02', 'Arms_Block_B_02', 'Head_Block_B_02', 'Other_Block_B_02', 'Legs_Block_B_02']",2,2,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH10AL22,001,HB,2026-06-29_15h13.10.623,Balance_and_VR_B,2024.1.5,None,2026-06-29 15h13.40.534651 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988.4366917000152,0.01971310004591942,988.4556089999969,1023.3268864999991,[-0.040740740740740744],[-0.43425925925925923],[1],[0],[0],[34.887134800024796],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH10AL22,001,HB,2026-06-29_15h13.10.623,Balance_and_VR_B,2024.1.5,None,2026-06-29 15h13.40.534651 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1023.3277303999639,0.0013832999975420535,1023.405143800017,1023.405143800017,1023.405143800017,1023.405143800017,1023.405143800017,1023.405143800017,1023.405143800017,1023.405143800017,1233.3410029999795,"[-0.040740740740740744, 0.37407407407407406, 0.22592592592592592, -0.1259259259259259, 0.24166666666666667, 0.24166666666666667, -0.11481481481481481, 0.28703703703703703, 0.28703703703703703, 0.3574074074074074, 0.1527777777777778]","[-0.43425925925925923, -0.2518518518518518, 0.24814814814814815, 0.2916666666666667, -0.21944444444444444, -0.21944444444444444, -0.23055555555555557, -0.2675925925925926, -0.2675925925925926, 0.1111111111111111, -0.3962962962962963]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00425820000236854, 11.086775699979626, 26.007573699986096, 27.0103461999679, 28.19198730000062, 70.62949779996416, 77.19993699999759, 82.69184869999299, 125.51188959996216, 127.22760759998346, 178.17536069999915]","['Legs_Block_B_03', 'Arms_Block_B_03', 'Other_Block_B_03', 'Head_Block_B_03', 'Arms_Block_B_03', 'Arms_Block_B_03', 'Legs_Block_B_03', 'Arms_Block_B_03', 'Arms_Block_B_03', 'Other_Block_B_03', 'Arms_Block_B_03']",6,1,1,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH10AL22,001,HB,2026-06-29_15h13.10.623,Balance_and_VR_B,2024.1.5,None,2026-06-29 15h13.40.534651 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1233.3417929999996,0.014189500012435019,1233.357108199969,1268.3058089999831,[0.39166666666666666],[-0.03518518518518519],[1],[0],[0],[34.96171320002759],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH10AL22,001,HB,2026-06-29_15h13.10.623,Balance_and_VR_B,2024.1.5,None,2026-06-29 15h13.40.534651 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1268.3065709999646,0.0008673000265844166,1268.38683079998,1268.38683079998,1268.38683079998,1268.38683079998,1268.38683079998,1268.38683079998,1268.38683079998,1268.38683079998,1478.309460999968,"[0.39166666666666666, -0.2101851851851852, 0.3537037037037037, -0.19074074074074074, -0.29814814814814816, -0.29814814814814816, 0.4287037037037037, -0.3212962962962963, 0.22407407407407406, 0.2657407407407407, 0.2657407407407407, 0.2657407407407407, -0.19537037037037036, -0.29444444444444445, -0.29444444444444445, -0.20462962962962963]","[-0.03518518518518519, 0.1824074074074074, -0.19074074074074074, 0.14351851851851852, -0.262037037037037, -0.262037037037037, 0.1712962962962963, -0.29259259259259257, -0.20185185185185187, -0.23333333333333334, -0.23333333333333334, -0.23333333333333334, -0.31296296296296294, 0.10555555555555556, 0.10555555555555556, -0.26851851851851855]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0034726999583654106, 6.623735399974976, 27.200343499949668, 28.496340599958785, 53.30247639998561, 53.705803099961486, 65.81839349999791, 98.15190189995337, 117.73096129996702, 126.7606770999846, 148.3786867999588, 175.13060059997952, 198.14215969998622, 201.5088561999728, 203.72312589996727, 206.90474589995574]","['Arms_Block_B_04', 'Head_Block_B_04', 'Arms_Block_B_04', 'Head_Block_B_04', 'Legs_Block_B_04', 'Legs_Block_B_04', 'Other_Block_B_04', 'Legs_Block_B_04', 'Arms_Block_B_04', 'Arms_Block_B_04', 'Arms_Block_B_04', 'Arms_Block_B_04', 'Legs_Block_B_04', 'Head_Block_B_04', 'Head_Block_B_04', 'Legs_Block_B_04']",5,5,4,1,15,,,,,,,,,,,CH10AL22,001,HB,2026-06-29_15h13.10.623,Balance_and_VR_B,2024.1.5,None,2026-06-29 15h13.40.534651 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1478.3100720999646,1478.32367100002,0.003593500005081296,1483.397697700013,[-0.20462962962962963],[-0.26851851851851855],[1],[0],[0],[5.085824999958277],CH10AL22,001,HB,2026-06-29_15h13.10.623,Balance_and_VR_B,2024.1.5,None,2026-06-29 15h13.40.534651 +0200,
