thisRow.t,notes,Welcome_A.started,Welcome.started,mouse.started,Welcome_A.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Condition_A.started,mouse_3.started,ConditionA.started,Condition_A.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Block_A_01.started,Klicks_Block_A_01.started,Arms_Block_A_01.started,Legs_Block_A_01.started,Other_Block_A_01.started,Head_Block_A_01.started,Counter_Legs_A_01.started,Counter_Arms_A_01.started,Counter_Other_A_01.started,Counter_Head_A_01.started,Block_A_01.stopped,Klicks_Block_A_01.x,Klicks_Block_A_01.y,Klicks_Block_A_01.leftButton,Klicks_Block_A_01.midButton,Klicks_Block_A_01.rightButton,Klicks_Block_A_01.time,Klicks_Block_A_01.clicked_name,arms_count_A_01,legs_count_A_01,head_count_A_01,other_count_A_01,total_click_count_A_01,Filler_A_01.started,mouse_5.started,Text_FIller_A01.started,Filler_A_01.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,Block_A_02.started,Klicks_Block_A_02.started,Arms_Block_A_02.started,Legs_Block_A_02.started,Other_Block_A_02.started,Head_Block_A_02.started,Counter_Head_A_02.started,Counter_Other_A_02.started,Counter_Legs_A_02.started,Counter_Arms_A_02.started,Block_A_02.stopped,Klicks_Block_A_02.x,Klicks_Block_A_02.y,Klicks_Block_A_02.leftButton,Klicks_Block_A_02.midButton,Klicks_Block_A_02.rightButton,Klicks_Block_A_02.time,Klicks_Block_A_02.clicked_name,arms_count_A_02,legs_count_A_02,head_count_A_02,other_count_A_02,total_click_count_A_02,Filler_A_02.started,mouse_6.started,Text_Filler_A_02.started,Filler_A_02.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Block_A_03.started,Klicks_Block_A_03.started,Arms_Block_A_03.started,Legs_Block_A_03.started,Other_Block_A_03.started,Head_Block_A_03.started,Counter_Head_A_03.started,Counter_Other_A_03.started,Counter_Legs_A_03.started,Counter_Arms_A_03.started,Block_A_03.stopped,Klicks_Block_A_03.x,Klicks_Block_A_03.y,Klicks_Block_A_03.leftButton,Klicks_Block_A_03.midButton,Klicks_Block_A_03.rightButton,Klicks_Block_A_03.time,Klicks_Block_A_03.clicked_name,arms_count_A_03,legs_count_A_03,head_count_A_03,other_count_A_03,total_click_count_A_03,Filler_A_03.started,mouse_7.started,Text_Filler_A_03.started,Filler_A_03.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Block_A_04.started,Klicks_Block_A_04.started,Arms_Block_A_04.started,Legs_Block_A_04.started,Other_Block_A_04.started,Head_Block_A_04.started,Counter_Head_A_04.started,Counter_Other_A_04.started,Counter_Legs_A_04.started,Counter_Arms_A_04.started,Block_A_04.stopped,Klicks_Block_A_04.x,Klicks_Block_A_04.y,Klicks_Block_A_04.leftButton,Klicks_Block_A_04.midButton,Klicks_Block_A_04.rightButton,Klicks_Block_A_04.time,Klicks_Block_A_04.clicked_name,arms_count_A_04,legs_count_A_04,head_count_A_04,other_count_A_04,total_click_count_A_04,Goodbye.started,GoodBye.started,mouse_4.started,Goodbye.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,participant,session,Condition,date,expName,psychopyVersion,frameRate,expStart,
,,0.007449300028383732,0.01979519985616207,0.007216599769890308,8.314476599916816,[-0.125],[0.125],[1],[0],[0],[8.306370600126684],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DO13UE03,001,LB,2026-06-23_16h59.03.791,Balance_and_VR_A,2024.1.5,None,2026-06-23 17h15.23.292932 +0200,
,,,,,,,,,,,,8.314634200185537,3.29003669321537e-05,8.33014430012554,300.8994607999921,[-0.125],[0.125],[1],[0],[0],[292.5843352996744],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DO13UE03,001,LB,2026-06-23_16h59.03.791,Balance_and_VR_A,2024.1.5,None,2026-06-23 17h15.23.292932 +0200,
,,,,,,,,,,,,,,,,,,,,,,300.89958399999887,0.00016660010442137718,300.9444399001077,300.9444399001077,300.9444399001077,300.9444399001077,300.9444399001077,300.9444399001077,300.9444399001077,300.9444399001077,510.9102929001674,"[-0.125, 0.3388888888888889, -0.3148148148148148, 0.37222222222222223, 0.3074074074074074, 0.3074074074074074, -0.25462962962962965, -0.10833333333333334, 0.3712962962962963, -0.30462962962962964, 0.2814814814814815, 0.2814814814814815, 0.2814814814814815, 0.19537037037037036, 0.23796296296296296, 0.23796296296296296, 0.23796296296296296, -0.2824074074074074, 0.2111111111111111, 0.2111111111111111, 0.2111111111111111, 0.2111111111111111, 0.22685185185185186, 0.16944444444444445, 0.27685185185185185, 0.18611111111111112, -0.2712962962962963, -0.2712962962962963, 0.30092592592592593, -0.31296296296296294, -0.31296296296296294, -0.31296296296296294, 0.2490740740740741, 0.2490740740740741, 0.2490740740740741, 0.2490740740740741]","[0.125, -0.2361111111111111, -0.23148148148148148, -0.2638888888888889, -0.2638888888888889, -0.2638888888888889, 0.1574074074074074, -0.1787037037037037, -0.21666666666666667, -0.2638888888888889, -0.23796296296296296, -0.23796296296296296, -0.23796296296296296, -0.2638888888888889, -0.21944444444444444, -0.21944444444444444, -0.21944444444444444, -0.16574074074074074, -0.15925925925925927, -0.15925925925925927, -0.15925925925925927, -0.15925925925925927, 0.2916666666666667, -0.15925925925925927, 0.2898148148148148, -0.2037037037037037, -0.2037037037037037, -0.2037037037037037, -0.18611111111111112, -0.21388888888888888, -0.21388888888888888, -0.21388888888888888, -0.23055555555555557, -0.23055555555555557, -0.23055555555555557, -0.23055555555555557]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0006029000505805016, 4.7649371000006795, 8.130790200084448, 10.66273230034858, 16.34326030034572, 18.609567000065, 24.140408200211823, 25.34088149992749, 34.37101010000333, 40.11866779997945, 44.383854100015014, 47.765849800314754, 54.6813853001222, 66.42603720026091, 72.54182690009475, 73.6245773001574, 79.48852270003408, 82.76108690025285, 93.03563590021804, 95.40080060018227, 97.93306440021843, 102.73345730034634, 108.36278149997815, 114.92657099990174, 136.86958619998768, 139.51819809991866, 147.8824402000755, 149.75532229989767, 154.06329740025103, 173.03998610004783, 176.5388770001009, 182.55391960032284, 190.3508402002044, 192.53415050031617, 196.7654908001423, 203.6130035002716]","['Head_Block_A_01', 'Arms_Block_A_01', 'Legs_Block_A_01', 'Arms_Block_A_01', 'Arms_Block_A_01', 'Arms_Block_A_01', 'Head_Block_A_01', 'Legs_Block_A_01', 'Arms_Block_A_01', 'Legs_Block_A_01', 'Arms_Block_A_01', 'Arms_Block_A_01', 'Arms_Block_A_01', 'Arms_Block_A_01', 'Arms_Block_A_01', 'Arms_Block_A_01', 'Arms_Block_A_01', 'Legs_Block_A_01', 'Arms_Block_A_01', 'Arms_Block_A_01', 'Arms_Block_A_01', 'Arms_Block_A_01', 'Other_Block_A_01', 'Arms_Block_A_01', 'Other_Block_A_01', 'Arms_Block_A_01', 'Legs_Block_A_01', 'Legs_Block_A_01', 'Arms_Block_A_01', 'Legs_Block_A_01', 'Legs_Block_A_01', 'Legs_Block_A_01', 'Arms_Block_A_01', 'Arms_Block_A_01', 'Arms_Block_A_01', 'Arms_Block_A_01']",23,9,1,2,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DO13UE03,001,LB,2026-06-23_16h59.03.791,Balance_and_VR_A,2024.1.5,None,2026-06-23 17h15.23.292932 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510.9110821997747,0.011534699704498053,510.9264138001017,545.7528864000924,[0.125],[-0.1574074074074074],[1],[0],[0],[34.840756700374186],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DO13UE03,001,LB,2026-06-23_16h59.03.791,Balance_and_VR_A,2024.1.5,None,2026-06-23 17h15.23.292932 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545.7531702998094,0.0003992002457380295,545.7877990999259,545.7877990999259,545.7877990999259,545.7877990999259,545.7877990999259,545.7877990999259,545.7877990999259,545.7877990999259,755.7604106999934,"[0.125, 0.3537037037037037, 0.3537037037037037, 0.3537037037037037, 0.3537037037037037, 0.3537037037037037, -0.26296296296296295, 0.22685185185185186, 0.3314814814814815, 0.3314814814814815, -0.3851851851851852, 0.31296296296296294, -0.18981481481481483, 0.17962962962962964, 0.17962962962962964, 0.34444444444444444, -0.3333333333333333, 0.3194444444444444, 0.25925925925925924, 0.25925925925925924, -0.21388888888888888, 0.1962962962962963, -0.30462962962962964]","[-0.1574074074074074, -0.26944444444444443, -0.26944444444444443, -0.26944444444444443, -0.26944444444444443, -0.26944444444444443, 0.3212962962962963, -0.2361111111111111, -0.2740740740740741, -0.2740740740740741, -0.21574074074074073, -0.22685185185185186, 0.3111111111111111, -0.35, -0.35, 0.2361111111111111, -0.19444444444444445, -0.2574074074074074, -0.20925925925925926, -0.20925925925925926, -0.19907407407407407, -0.23796296296296296, -0.35]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.001433699857443571, 2.4951765001751482, 6.094017900060862, 11.175463499967009, 19.88933870010078, 25.586425099987537, 87.79854089999571, 99.81228070007637, 116.65709420014173, 118.73884609993547, 124.22103470005095, 125.62060299981385, 128.51930889999494, 143.28051420021802, 146.11226340010762, 148.9785020998679, 153.8441317002289, 156.77619670005515, 193.0465636998415, 196.57892080023885, 199.64430889999494, 205.6593364002183, 207.0416012001224]","['Arms_Block_A_02', 'Arms_Block_A_02', 'Arms_Block_A_02', 'Arms_Block_A_02', 'Arms_Block_A_02', 'Arms_Block_A_02', 'Head_Block_A_02', 'Arms_Block_A_02', 'Arms_Block_A_02', 'Arms_Block_A_02', 'Legs_Block_A_02', 'Arms_Block_A_02', 'Head_Block_A_02', 'Arms_Block_A_02', 'Arms_Block_A_02', 'Other_Block_A_02', 'Legs_Block_A_02', 'Arms_Block_A_02', 'Arms_Block_A_02', 'Arms_Block_A_02', 'Legs_Block_A_02', 'Arms_Block_A_02', 'Legs_Block_A_02']",15,4,2,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DO13UE03,001,LB,2026-06-23_16h59.03.791,Balance_and_VR_A,2024.1.5,None,2026-06-23 17h15.23.292932 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755.7608957001939,0.007769400253891945,755.776793200057,837.0838882997632,[-0.30462962962962964],[-0.35],[1],[0],[0],[81.32246419973671],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DO13UE03,001,LB,2026-06-23_16h59.03.791,Balance_and_VR_A,2024.1.5,None,2026-06-23 17h15.23.292932 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837.0839998000301,0.00014819996431469917,837.1064178999513,837.1064178999513,837.1064178999513,837.1064178999513,837.1064178999513,837.1064178999513,837.1064178999513,837.1064178999513,1047.0952750002034,"[-0.30462962962962964, 0.33055555555555555, 0.33055555555555555, 0.33055555555555555, 0.09259259259259259, 0.09259259259259259, 0.24351851851851852, 0.3398148148148148, -0.20277777777777778, -0.20277777777777778, 0.3907407407407407, 0.2638888888888889, 0.2638888888888889, 0.2638888888888889, 0.2638888888888889, -0.28703703703703703, 0.37037037037037035, 0.2962962962962963, 0.1648148148148148, 0.2361111111111111, 0.2361111111111111, 0.29814814814814816, 0.29814814814814816, 0.25925925925925924, -0.3731481481481482, 0.17592592592592593, -0.21666666666666667, 0.3675925925925926, 0.3675925925925926, -0.31851851851851853, 0.35833333333333334, -0.28703703703703703, 0.35, -0.2796296296296296, 0.36018518518518516, 0.36018518518518516, 0.36018518518518516, 0.36018518518518516, 0.36018518518518516, 0.36018518518518516, -0.23796296296296296, 0.23981481481481481, 0.23981481481481481]","[-0.35, -0.30092592592592593, -0.30092592592592593, -0.30092592592592593, 0.27685185185185185, 0.27685185185185185, -0.2175925925925926, 0.32685185185185184, -0.13240740740740742, -0.13240740740740742, 0.24722222222222223, -0.14907407407407408, -0.14907407407407408, -0.14907407407407408, -0.14907407407407408, -0.14907407407407408, 0.29814814814814816, -0.041666666666666664, -0.1925925925925926, -0.17777777777777778, -0.17777777777777778, -0.22777777777777777, -0.22777777777777777, 0.24814814814814815, 0.29444444444444445, -0.16018518518518518, -0.17592592592592593, -0.15, -0.15, -0.1925925925925926, -0.1712962962962963, -0.2759259259259259, -0.1962962962962963, 0.2898148148148148, -0.20833333333333334, -0.20833333333333334, -0.20833333333333334, -0.20833333333333334, -0.20833333333333334, -0.20833333333333334, -0.1824074074074074, -0.2759259259259259, -0.2759259259259259]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0005045998841524124, 5.764323499985039, 8.030105200130492, 9.91282430011779, 11.396420900244266, 11.7129579000175, 17.561072300188243, 18.559880999848247, 22.992255399934947, 26.741115000098944, 28.690018999855965, 39.51944829989225, 42.568407400045544, 48.63298600027338, 57.41421200009063, 62.77827690029517, 63.894397399853915, 65.57735250005499, 78.44018319994211, 94.05079520028085, 99.2323056999594, 114.29387430008501, 114.61147399991751, 118.05928590008989, 118.89331329986453, 121.89206060022116, 126.73972130008042, 144.0673258001916, 146.19967850018293, 149.86536920024082, 158.11354399984702, 167.9256903999485, 169.59177900012583, 175.84027739986777, 176.97257880028337, 180.37224509986117, 189.30314429989085, 191.03489870019257, 192.51734460005537, 193.80053659994155, 195.3673825999722, 197.8488028002903, 202.01518690027297]","['Legs_Block_A_03', 'Arms_Block_A_03', 'Arms_Block_A_03', 'Arms_Block_A_03', 'Other_Block_A_03', 'Other_Block_A_03', 'Arms_Block_A_03', 'Other_Block_A_03', 'Legs_Block_A_03', 'Legs_Block_A_03', 'Other_Block_A_03', 'Arms_Block_A_03', 'Arms_Block_A_03', 'Arms_Block_A_03', 'Arms_Block_A_03', 'Legs_Block_A_03', 'Other_Block_A_03', 'Arms_Block_A_03', 'Arms_Block_A_03', 'Arms_Block_A_03', 'Arms_Block_A_03', 'Arms_Block_A_03', 'Arms_Block_A_03', 'Other_Block_A_03', 'Head_Block_A_03', 'Arms_Block_A_03', 'Legs_Block_A_03', 'Arms_Block_A_03', 'Arms_Block_A_03', 'Legs_Block_A_03', 'Arms_Block_A_03', 'Legs_Block_A_03', 'Arms_Block_A_03', 'Head_Block_A_03', 'Arms_Block_A_03', 'Arms_Block_A_03', 'Arms_Block_A_03', 'Arms_Block_A_03', 'Arms_Block_A_03', 'Arms_Block_A_03', 'Legs_Block_A_03', 'Arms_Block_A_03', 'Arms_Block_A_03']",27,7,2,6,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DO13UE03,001,LB,2026-06-23_16h59.03.791,Balance_and_VR_A,2024.1.5,None,2026-06-23 17h15.23.292932 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1047.096037399955,0.012072099838405848,1047.1116030002013,1082.0846798000857,[0.07777777777777778],[-0.05185185185185185],[1],[0],[0],[34.98805750021711],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DO13UE03,001,LB,2026-06-23_16h59.03.791,Balance_and_VR_A,2024.1.5,None,2026-06-23 17h15.23.292932 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1082.0847939997911,0.00014200014993548393,1082.1059465999715,1082.1059465999715,1082.1059465999715,1082.1059465999715,1082.1059465999715,1082.1059465999715,1082.1059465999715,1082.1059465999715,1292.0958206998184,"[0.07777777777777778, -0.21481481481481482, 0.2638888888888889, 0.2638888888888889, -0.24722222222222223, 0.2601851851851852, -0.21851851851851853, -0.21851851851851853, 0.2518518518518518, -0.35462962962962963, 0.25462962962962965, 0.25462962962962965, 0.25462962962962965, 0.25462962962962965, 0.14444444444444443, -0.3685185185185185, 0.3351851851851852, 0.3351851851851852, 0.3907407407407407, 0.3907407407407407, -0.10648148148148148, 0.3712962962962963, -0.325, -0.325, 0.225, -0.32592592592592595, 0.31666666666666665, -0.18333333333333332, -0.18333333333333332, 0.2935185185185185, 0.2935185185185185, -0.16296296296296298, -0.26666666666666666, 0.4027777777777778, 0.4027777777777778, -0.1925925925925926, 0.28425925925925927, 0.39537037037037037, 0.2222222222222222, 0.2222222222222222, -0.22777777777777777, 0.27037037037037037, 0.2574074074074074, 0.2814814814814815, 0.2814814814814815, -0.19907407407407407, 0.3314814814814815, 0.3824074074074074, 0.25092592592592594, 0.25092592592592594, 0.25092592592592594, 0.3351851851851852]","[-0.05185185185185185, -0.1712962962962963, -0.1824074074074074, -0.1824074074074074, 0.41759259259259257, -0.22592592592592592, -0.2212962962962963, -0.2212962962962963, -0.3490740740740741, -0.12407407407407407, -0.17314814814814813, -0.17314814814814813, -0.17314814814814813, -0.17314814814814813, 0.3055555555555556, -0.20092592592592592, -0.287962962962963, -0.287962962962963, -0.35462962962962963, -0.35462962962962963, -0.2722222222222222, -0.2574074074074074, 0.3101851851851852, 0.3101851851851852, -0.1111111111111111, -0.2712962962962963, -0.30185185185185187, -0.23981481481481481, -0.23981481481481481, -0.18611111111111112, -0.18611111111111112, -0.1574074074074074, 0.21388888888888888, -0.29907407407407405, -0.29907407407407405, -0.16018518518518518, -0.2657407407407407, 0.31574074074074077, -0.10740740740740741, -0.10740740740740741, -0.2518518518518518, -0.11481481481481481, 0.32222222222222224, -0.2037037037037037, -0.2037037037037037, -0.20555555555555555, -0.21851851851851853, 0.3638888888888889, -0.14166666666666666, -0.14166666666666666, -0.14166666666666666, 0.18055555555555555]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0005264999344944954, 3.5146850999444723, 4.7981153996661305, 5.864266499876976, 11.12833429966122, 12.744678899645805, 16.261027399916202, 17.976127799600363, 23.175305399578065, 24.358439499977976, 26.089687699917704, 30.438328799791634, 32.40447099972516, 33.63789609959349, 49.798781799618155, 51.58148659998551, 54.147084599826485, 55.3144516996108, 60.962012299802154, 77.87280029989779, 79.68943579960614, 85.6369343996048, 91.23506969958544, 92.53416159981862, 93.95120439957827, 96.21616569999605, 106.28073180001229, 112.11092769959942, 117.34281079983339, 119.65823329985142, 123.42381519963965, 128.33908909978345, 137.0197779997252, 138.0356957996264, 140.8178278999403, 150.94809839967638, 155.46291329991072, 162.6947750998661, 163.97670409968123, 166.34249139996246, 168.97589809959754, 176.75614799978212, 187.95188529975712, 189.30248710000888, 189.73448589956388, 196.63288289960474, 198.1816427996382, 199.76490429975092, 201.84704469982535, 202.84787369985133, 204.34649079991505, 209.9774798997678]","['Arms_Block_A_04', 'Legs_Block_A_04', 'Arms_Block_A_04', 'Arms_Block_A_04', 'Head_Block_A_04', 'Arms_Block_A_04', 'Legs_Block_A_04', 'Legs_Block_A_04', 'Arms_Block_A_04', 'Legs_Block_A_04', 'Arms_Block_A_04', 'Arms_Block_A_04', 'Arms_Block_A_04', 'Arms_Block_A_04', 'Other_Block_A_04', 'Legs_Block_A_04', 'Arms_Block_A_04', 'Arms_Block_A_04', 'Arms_Block_A_04', 'Arms_Block_A_04', 'Legs_Block_A_04', 'Arms_Block_A_04', 'Head_Block_A_04', 'Head_Block_A_04', 'Arms_Block_A_04', 'Legs_Block_A_04', 'Arms_Block_A_04', 'Legs_Block_A_04', 'Legs_Block_A_04', 'Arms_Block_A_04', 'Arms_Block_A_04', 'Legs_Block_A_04', 'Head_Block_A_04', 'Arms_Block_A_04', 'Arms_Block_A_04', 'Legs_Block_A_04', 'Arms_Block_A_04', 'Other_Block_A_04', 'Arms_Block_A_04', 'Arms_Block_A_04', 'Legs_Block_A_04', 'Arms_Block_A_04', 'Other_Block_A_04', 'Arms_Block_A_04', 'Arms_Block_A_04', 'Legs_Block_A_04', 'Arms_Block_A_04', 'Other_Block_A_04', 'Arms_Block_A_04', 'Arms_Block_A_04', 'Arms_Block_A_04', 'Other_Block_A_04']",29,13,4,5,51,,,,,,,,,,,DO13UE03,001,LB,2026-06-23_16h59.03.791,Balance_and_VR_A,2024.1.5,None,2026-06-23 17h15.23.292932 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1292.096730899997,1292.1117702000774,0.011971000116318464,1296.7784400000237,[0.3351851851851852],[0.18055555555555555],[1],[0],[0],[4.680943099781871],DO13UE03,001,LB,2026-06-23_16h59.03.791,Balance_and_VR_A,2024.1.5,None,2026-06-23 17h15.23.292932 +0200,
