thisRow.t,notes,Welcome_B.started,Welcome.started,mouse.started,Welcome_B.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Condition_B.started,mouse_3.started,ConditionB.started,Condition_B.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Block_B_01.started,Klicks_Block_B_01.started,Arms_Block_B_01.started,Legs_Block_B_01.started,Other_Block_B_01.started,Head_Block_B_01.started,Block_B_01.stopped,Klicks_Block_B_01.x,Klicks_Block_B_01.y,Klicks_Block_B_01.leftButton,Klicks_Block_B_01.midButton,Klicks_Block_B_01.rightButton,Klicks_Block_B_01.time,Klicks_Block_B_01.clicked_name,Filler_B_01.started,mouse_5.started,Text_FIller_B01.started,Filler_B_01.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,Block_B_02.started,Klicks_Block_B_02.started,Arms_Block_B_02.started,Legs_Block_B_02.started,Other_Block_B_02.started,Head_Block_B_02.started,Block_B_02.stopped,Klicks_Block_B_02.x,Klicks_Block_B_02.y,Klicks_Block_B_02.leftButton,Klicks_Block_B_02.midButton,Klicks_Block_B_02.rightButton,Klicks_Block_B_02.time,Klicks_Block_B_02.clicked_name,Filler_B_02.started,mouse_6.started,Text_Filler_B_02.started,Filler_B_02.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Block_B_03.started,Klicks_Block_B_03.started,Arms_Block_B_03.started,Legs_Block_B_03.started,Other_Block_B_03.started,Head_Block_B_03.started,Block_B_03.stopped,Klicks_Block_B_03.x,Klicks_Block_B_03.y,Klicks_Block_B_03.leftButton,Klicks_Block_B_03.midButton,Klicks_Block_B_03.rightButton,Klicks_Block_B_03.time,Klicks_Block_B_03.clicked_name,Filler_B_03.started,mouse_7.started,Text_Filler_B_03.started,Filler_B_03.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Block_B_04.started,Klicks_Block_B_04.started,Arms_Block_B_04.started,Legs_Block_B_04.started,Other_Block_B_04.started,Head_Block_B_04.started,Block_B_04.stopped,Klicks_Block_B_04.x,Klicks_Block_B_04.y,Klicks_Block_B_04.leftButton,Klicks_Block_B_04.midButton,Klicks_Block_B_04.rightButton,Klicks_Block_B_04.time,Klicks_Block_B_04.clicked_name,GoodBye_Final.started,GoodBye.started,mouse_4.started,GoodBye_Final.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,participant,session,Condition,date,expName,psychopyVersion,frameRate,expStart,
,,0.005355400033295155,0.014208500040695071,0.005029000109061599,264.19502520002425,[-0.1712962962962963],[0.4638888888888889],[1],[0],[0],[264.18805460003205],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IN06UE25_B_LB_,001,1,2024-06-24_11h04.24.925,Balance_and_VR_B,2024.1.5,None,2024-06-24 11h07.53.976212 +0200,
,,,,,,,,,,,,264.1955601000227,0.0001346999779343605,264.20921789994463,293.8334131001029,[-0.16203703703703703],[0.19722222222222222],[1],[0],[0],[29.636409200029448],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IN06UE25_B_LB_,001,1,2024-06-24_11h04.24.925,Balance_and_VR_B,2024.1.5,None,2024-06-24 11h07.53.976212 +0200,
,,,,,,,,,,,,,,,,,,,,,,293.8337914000731,0.00017150002531707287,293.9245271999389,293.9245271999389,293.9245271999389,293.9245271999389,503.8430520000402,[-0.16203703703703703],[0.19722222222222222],[1],[0],[0],[0.0021104998886585236],['Head_Block_B_01'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IN06UE25_B_LB_,001,1,2024-06-24_11h04.24.925,Balance_and_VR_B,2024.1.5,None,2024-06-24 11h07.53.976212 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503.84344689990394,0.00975940003991127,503.85932409996167,538.466540100053,[-0.575925925925926],[0.10462962962962963],[1],[0],[0],[34.621860600076616],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IN06UE25_B_LB_,001,1,2024-06-24_11h04.24.925,Balance_and_VR_B,2024.1.5,None,2024-06-24 11h07.53.976212 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538.4668652000837,0.00013060006313025951,538.5166633999906,538.5166633999906,538.5166633999906,538.5166633999906,748.477092999965,[-0.575925925925926],[0.10462962962962963],[1],[0],[0],[0.0016804998740553856],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IN06UE25_B_LB_,001,1,2024-06-24_11h04.24.925,Balance_and_VR_B,2024.1.5,None,2024-06-24 11h07.53.976212 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748.4775360999629,0.010790599975734949,748.4942801001016,784.0173190000933,[-0.575925925925926],[0.10462962962962963],[1],[0],[0],[35.538347099907696],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IN06UE25_B_LB_,001,1,2024-06-24_11h04.24.925,Balance_and_VR_B,2024.1.5,None,2024-06-24 11h07.53.976212 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784.017713499954,0.00015089986845850945,784.0674835999962,784.0674835999962,784.0674835999962,784.0674835999962,994.0317891999148,[-0.575925925925926],[0.10462962962962963],[1],[0],[0],[0.0020055000204592943],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IN06UE25_B_LB_,001,1,2024-06-24_11h04.24.925,Balance_and_VR_B,2024.1.5,None,2024-06-24 11h07.53.976212 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,994.0323967998847,0.014828899875283241,994.0460653998889,1028.7513586001005,[-0.575925925925926],[0.10462962962962963],[1],[0],[0],[34.71726079983637],,,,,,,,,,,,,,,,,,,,,,,,,IN06UE25_B_LB_,001,1,2024-06-24_11h04.24.925,Balance_and_VR_B,2024.1.5,None,2024-06-24 11h07.53.976212 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1028.7519177999347,0.0002258999738842249,1028.8155449000187,1028.8155449000187,1028.8155449000187,1028.8155449000187,1238.761203299975,[-0.575925925925926],[0.10462962962962963],[1],[0],[0],[0.0024973000399768353],[],,,,,,,,,,,IN06UE25_B_LB_,001,1,2024-06-24_11h04.24.925,Balance_and_VR_B,2024.1.5,None,2024-06-24 11h07.53.976212 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1238.7616272000596,1238.7772804999258,0.009833700023591518,1264.1046478000935,[-0.575925925925926],[0.10462962962962963],[1],[0],[0],[25.34151430008933],IN06UE25_B_LB_,001,1,2024-06-24_11h04.24.925,Balance_and_VR_B,2024.1.5,None,2024-06-24 11h07.53.976212 +0200,
