thisRow.t,notes,Welcome_B.started,Welcome.started,mouse.started,Welcome_B.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Condition_B.started,mouse_3.started,ConditionB.started,Condition_B.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Block_B_01.started,Klicks_Block_B_01.started,Arms_Block_B_01.started,Legs_Block_B_01.started,Other_Block_B_01.started,Head_Block_B_01.started,Block_B_01.stopped,Klicks_Block_B_01.x,Klicks_Block_B_01.y,Klicks_Block_B_01.leftButton,Klicks_Block_B_01.midButton,Klicks_Block_B_01.rightButton,Klicks_Block_B_01.time,Klicks_Block_B_01.clicked_name,Filler_B_01.started,mouse_5.started,Text_FIller_B01.started,Filler_B_01.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,Block_B_02.started,Klicks_Block_B_02.started,Arms_Block_B_02.started,Legs_Block_B_02.started,Other_Block_B_02.started,Head_Block_B_02.started,Block_B_02.stopped,Klicks_Block_B_02.x,Klicks_Block_B_02.y,Klicks_Block_B_02.leftButton,Klicks_Block_B_02.midButton,Klicks_Block_B_02.rightButton,Klicks_Block_B_02.time,Klicks_Block_B_02.clicked_name,Filler_B_02.started,mouse_6.started,Text_Filler_B_02.started,Filler_B_02.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Block_B_03.started,Klicks_Block_B_03.started,Arms_Block_B_03.started,Legs_Block_B_03.started,Other_Block_B_03.started,Head_Block_B_03.started,Block_B_03.stopped,Klicks_Block_B_03.x,Klicks_Block_B_03.y,Klicks_Block_B_03.leftButton,Klicks_Block_B_03.midButton,Klicks_Block_B_03.rightButton,Klicks_Block_B_03.time,Klicks_Block_B_03.clicked_name,Filler_B_03.started,mouse_7.started,Text_Filler_B_03.started,Filler_B_03.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Block_B_04.started,Klicks_Block_B_04.started,Arms_Block_B_04.started,Legs_Block_B_04.started,Other_Block_B_04.started,Head_Block_B_04.started,Block_B_04.stopped,Klicks_Block_B_04.x,Klicks_Block_B_04.y,Klicks_Block_B_04.leftButton,Klicks_Block_B_04.midButton,Klicks_Block_B_04.rightButton,Klicks_Block_B_04.time,Klicks_Block_B_04.clicked_name,GoodBye_Final.started,GoodBye.started,mouse_4.started,GoodBye_Final.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,participant,session,Condition,date,expName,psychopyVersion,frameRate,expStart,
,,0.005579499993473291,0.024772500153630972,0.005221500061452389,320.7833269000985,[-0.05925925925925926],[0.05462962962962963],[1],[0],[0],[320.7771000000648],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KE30IE06_B_HB,B,HB,2024-06-18_08h59.43.456,Balance_and_VR_B,2024.1.5,None,2024-06-18 09h00.33.998217 +0200,
,,,,,,,,,,,,320.783490100177,3.5400036722421646e-05,320.79876390006393,504.8042016001418,[-0.03888888888888889],[0.011111111111111112],[1],[0],[0],[184.02022009994835],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KE30IE06_B_HB,B,HB,2024-06-18_08h59.43.456,Balance_and_VR_B,2024.1.5,None,2024-06-18 09h00.33.998217 +0200,
,,,,,,,,,,,,,,,,,,,,,,504.80429999995977,5.279993638396263e-05,504.8523576001171,504.8523576001171,504.8523576001171,504.8523576001171,714.8157728000078,[-0.03888888888888889],[0.011111111111111112],[1],[0],[0],[0.0005375000182539225],['Head_Block_B_01'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KE30IE06_B_HB,B,HB,2024-06-18_08h59.43.456,Balance_and_VR_B,2024.1.5,None,2024-06-18 09h00.33.998217 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714.8159199000802,0.011655200039967895,714.8322386001237,749.3728869999759,[0.3472222222222222],[-0.17592592592592593],[1],[0],[0],[34.55644649988972],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KE30IE06_B_HB,B,HB,2024-06-18_08h59.43.456,Balance_and_VR_B,2024.1.5,None,2024-06-18 09h00.33.998217 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749.3730248000938,5.260016769170761e-05,749.3977936999872,749.3977936999872,749.3977936999872,749.3977936999872,959.3832241999917,"[0.3472222222222222, 0.27037037037037037, 0.27037037037037037]","[-0.17592592592592593, 0.19907407407407407, 0.19907407407407407]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.0006242000963538885, 76.64082169998437, 83.62023060000502]","['Arms_Block_B_02', 'Other_Block_B_02', 'Other_Block_B_02']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KE30IE06_B_HB,B,HB,2024-06-18_08h59.43.456,Balance_and_VR_B,2024.1.5,None,2024-06-18 09h00.33.998217 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,959.383398400154,0.01041570003144443,959.3995910000522,994.4558176000137,[0.38981481481481484],[0.11666666666666667],[1],[0],[0],[35.07189919985831],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KE30IE06_B_HB,B,HB,2024-06-18_08h59.43.456,Balance_and_VR_B,2024.1.5,None,2024-06-18 09h00.33.998217 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,994.4559451001696,4.860013723373413e-05,994.481157100061,994.481157100061,994.481157100061,994.481157100061,1204.467036300106,"[0.38981481481481484, -0.1111111111111111]","[0.11666666666666667, 0.12962962962962962]","[1, 1]","[0, 0]","[0, 0]","[0.0006172000430524349, 127.90620100009255]","['Other_Block_B_03', 'Head_Block_B_03']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KE30IE06_B_HB,B,HB,2024-06-18_08h59.43.456,Balance_and_VR_B,2024.1.5,None,2024-06-18 09h00.33.998217 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1204.4672187999822,0.011314100120216608,1204.4836305000354,1238.8063882000279,[-0.1111111111111111],[0.12962962962962962],[1],[0],[0],[34.33867110009305],,,,,,,,,,,,,,,,,,,,,,,,,KE30IE06_B_HB,B,HB,2024-06-18_08h59.43.456,Balance_and_VR_B,2024.1.5,None,2024-06-18 09h00.33.998217 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1238.8065033999737,4.2499974370002747e-05,1238.830424200045,1238.830424200045,1238.830424200045,1238.830424200045,1448.8178181000985,"[-0.1111111111111111, -0.16111111111111112]","[0.12962962962962962, 0.1638888888888889]","[1, 1]","[0, 0]","[0, 0]","[0.0004718999844044447, 131.1722753997892]","['Head_Block_B_04', 'Head_Block_B_04']",,,,,,,,,,,KE30IE06_B_HB,B,HB,2024-06-18_08h59.43.456,Balance_and_VR_B,2024.1.5,None,2024-06-18 09h00.33.998217 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1448.8179810000584,1448.8344290000387,0.011513300007209182,1531.3408477001358,[0.28703703703703703],[0.14814814814814814],[1],[0],[0],[82.522337900009],KE30IE06_B_HB,B,HB,2024-06-18_08h59.43.456,Balance_and_VR_B,2024.1.5,None,2024-06-18 09h00.33.998217 +0200,
