thisRow.t,notes,Welcome_B.started,Welcome.started,mouse.started,Welcome_B.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Condition_B.started,mouse_3.started,ConditionB.started,Condition_B.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Block_B_01.started,Klicks_Block_B_01.started,Arms_Block_B_01.started,Legs_Block_B_01.started,Other_Block_B_01.started,Head_Block_B_01.started,Counter_Head_B_01.started,Counter_Other_B_01.started,Counter_Legs_B_01.started,Counter_Arms_B_01.started,Block_B_01.stopped,Klicks_Block_B_01.x,Klicks_Block_B_01.y,Klicks_Block_B_01.leftButton,Klicks_Block_B_01.midButton,Klicks_Block_B_01.rightButton,Klicks_Block_B_01.time,Klicks_Block_B_01.clicked_name,arms_count_B_01,legs_count_B_01,head_count_B_01,other_count_B_01,total_click_count_B_01,Filler_B_01.started,mouse_5.started,Text_FIller_B01.started,Filler_B_01.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,Block_B_02.started,Klicks_Block_B_02.started,Arms_Block_B_02.started,Legs_Block_B_02.started,Other_Block_B_02.started,Head_Block_B_02.started,Counter_Head_B_02.started,Counter_Other_B_02.started,Counter_Legs_B_02.started,Counter_Arms_B_02.started,Block_B_02.stopped,Klicks_Block_B_02.x,Klicks_Block_B_02.y,Klicks_Block_B_02.leftButton,Klicks_Block_B_02.midButton,Klicks_Block_B_02.rightButton,Klicks_Block_B_02.time,Klicks_Block_B_02.clicked_name,arms_count_B_02,legs_count_B_02,head_count_B_02,other_count_B_02,total_click_count_B_02,Filler_B_02.started,mouse_6.started,Text_Filler_B_02.started,Filler_B_02.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Block_B_03.started,Klicks_Block_B_03.started,Arms_Block_B_03.started,Legs_Block_B_03.started,Other_Block_B_03.started,Head_Block_B_03.started,Counter_Head_B_03.started,Counter_Other_B_03.started,Counter_Legs_B_03.started,Counter_Arms_B_03.started,Block_B_03.stopped,Klicks_Block_B_03.x,Klicks_Block_B_03.y,Klicks_Block_B_03.leftButton,Klicks_Block_B_03.midButton,Klicks_Block_B_03.rightButton,Klicks_Block_B_03.time,Klicks_Block_B_03.clicked_name,arms_count_B_03,legs_count_B_03,head_count_B_03,other_count_B_03,total_click_count_B_03,Filler_B_03.started,mouse_7.started,Text_Filler_B_03.started,Filler_B_03.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Block_B_04.started,Klicks_Block_B_04.started,Arms_Block_B_04.started,Legs_Block_B_04.started,Other_Block_B_04.started,Head_Block_B_04.started,Counter_Head_B_04.started,Counter_Other_B_04.started,Counter_Legs_B_04.started,Counter_Arms_B_04.started,Block_B_04.stopped,Klicks_Block_B_04.x,Klicks_Block_B_04.y,Klicks_Block_B_04.leftButton,Klicks_Block_B_04.midButton,Klicks_Block_B_04.rightButton,Klicks_Block_B_04.time,Klicks_Block_B_04.clicked_name,arms_count_B_04,legs_count_B_04,head_count_B_04,other_count_B_04,total_click_count_B_04,GoodBye_Final.started,GoodBye.started,mouse_4.started,GoodBye_Final.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,participant,session,Condition,date,expName,psychopyVersion,frameRate,expStart,
,,0.005378700327128172,0.02092360006645322,0.005029699765145779,252.07363010011613,[-0.11666666666666667],[0.12314814814814815],[1],[0],[0],[252.06661049975082],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PE16IN18,001,HB,2026-06-18_08h50.51.709,Balance_and_VR_B,2024.1.5,None,2026-06-18 08h56.12.541879 +0200,
,,,,,,,,,,,,252.07419690024108,0.00016119983047246933,252.08846920030192,252.67427409999073,[-0.11666666666666667],[0.12314814814814815],[1],[0],[0],[0.5983537998981774],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PE16IN18,001,HB,2026-06-18_08h50.51.709,Balance_and_VR_B,2024.1.5,None,2026-06-18 08h56.12.541879 +0200,
,,,,,,,,,,,,,,,,,,,,,,252.67465079994872,0.0011519002728164196,252.76264830026776,252.76264830026776,252.76264830026776,252.76264830026776,252.76264830026776,252.76264830026776,252.76264830026776,252.76264830026776,462.6877765003592,"[-0.11666666666666667, -0.175]","[0.12314814814814815, 0.20185185185185187]","[1, 1]","[0, 0]","[0, 0]","[0.00219290005043149, 19.831151799764484]","['Head_Block_B_01', 'Head_Block_B_01']",0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PE16IN18,001,HB,2026-06-18_08h50.51.709,Balance_and_VR_B,2024.1.5,None,2026-06-18 08h56.12.541879 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462.6884169001132,0.013898500241339207,462.7140832003206,496.70994279999286,[-0.175],[0.20185185185185187],[1],[0],[0],[34.019855400081724],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PE16IN18,001,HB,2026-06-18_08h50.51.709,Balance_and_VR_B,2024.1.5,None,2026-06-18 08h56.12.541879 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.7104879003018,0.0005856999196112156,496.759317799937,496.759317799937,496.759317799937,496.759317799937,496.759317799937,496.759317799937,496.759317799937,496.759317799937,706.7197757000104,"[-0.175, -0.175, -0.175, -0.175]","[0.20185185185185187, 0.20185185185185187, 0.20185185185185187, 0.20185185185185187]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.002513399813324213, 140.90203989995643, 150.23642600001767, 194.50950859999284]","['Head_Block_B_02', 'Head_Block_B_02', 'Head_Block_B_02', 'Head_Block_B_02']",0,0,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PE16IN18,001,HB,2026-06-18_08h50.51.709,Balance_and_VR_B,2024.1.5,None,2026-06-18 08h56.12.541879 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706.7202457999811,0.009872899856418371,706.7313340003602,741.939911399968,[-0.175],[0.20185185185185187],[1],[0],[0],[35.21807859977707],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PE16IN18,001,HB,2026-06-18_08h50.51.709,Balance_and_VR_B,2024.1.5,None,2026-06-18 08h56.12.541879 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741.940353400074,0.0006006998009979725,741.9851186000742,741.9851186000742,741.9851186000742,741.9851186000742,741.9851186000742,741.9851186000742,741.9851186000742,741.9851186000742,951.9432240999304,"[-0.175, -0.175, -0.175]","[0.20185185185185187, 0.20185185185185187, 0.20185185185185187]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.0022209002636373043, 28.254969500005245, 44.63635200029239]","['Head_Block_B_03', 'Head_Block_B_03', 'Head_Block_B_03']",0,0,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PE16IN18,001,HB,2026-06-18_08h50.51.709,Balance_and_VR_B,2024.1.5,None,2026-06-18 08h56.12.541879 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951.9436642001383,0.0034121000207960606,951.9634492001496,987.275019899942,[-0.175],[0.20185185185185187],[1],[0],[0],[35.3300081002526],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PE16IN18,001,HB,2026-06-18_08h50.51.709,Balance_and_VR_B,2024.1.5,None,2026-06-18 08h56.12.541879 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,987.2753857001662,0.0004886998794972897,987.3196327001788,987.3196327001788,987.3196327001788,987.3196327001788,987.3196327001788,987.3196327001788,987.3196327001788,987.3196327001788,1197.2845737999305,"[-0.175, -0.175]","[0.20185185185185187, 0.20185185185185187]","[1, 1]","[0, 0]","[0, 0]","[0.00167859997600317, 54.71235870011151]","['Head_Block_B_04', 'Head_Block_B_04']",0,0,1,0,1,,,,,,,,,,,PE16IN18,001,HB,2026-06-18_08h50.51.709,Balance_and_VR_B,2024.1.5,None,2026-06-18 08h56.12.541879 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1197.2850240003318,1197.298564699944,0.00973379984498024,1200.91177360015,[-0.175],[0.20185185185185187],[1],[0],[0],[3.623542600311339],PE16IN18,001,HB,2026-06-18_08h50.51.709,Balance_and_VR_B,2024.1.5,None,2026-06-18 08h56.12.541879 +0200,
