thisRow.t,notes,Welcome_A.started,Welcome.started,mouse.started,Welcome_A.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Condition_A.started,mouse_3.started,ConditionA.started,Condition_A.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Block_A_01.started,Klicks_Block_A_01.started,Arms_Block_A_01.started,Legs_Block_A_01.started,Other_Block_A_01.started,Head_Block_A_01.started,Block_A_01.stopped,Klicks_Block_A_01.x,Klicks_Block_A_01.y,Klicks_Block_A_01.leftButton,Klicks_Block_A_01.midButton,Klicks_Block_A_01.rightButton,Klicks_Block_A_01.time,Klicks_Block_A_01.clicked_name,Filler_A_01.started,mouse_5.started,Text_FIller_A01.started,Filler_A_01.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,Block_A_02.started,Klicks_Block_A_02.started,Arms_Block_A_02.started,Legs_Block_A_02.started,Other_Block_A_02.started,Head_Block_A_02.started,Block_A_02.stopped,Klicks_Block_A_02.x,Klicks_Block_A_02.y,Klicks_Block_A_02.leftButton,Klicks_Block_A_02.midButton,Klicks_Block_A_02.rightButton,Klicks_Block_A_02.time,Klicks_Block_A_02.clicked_name,Filler_A_02.started,mouse_6.started,Text_Filler_A_02.started,Filler_A_02.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Block_A_03.started,Klicks_Block_A_03.started,Arms_Block_A_03.started,Legs_Block_A_03.started,Other_Block_A_03.started,Head_Block_A_03.started,Block_A_03.stopped,Klicks_Block_A_03.x,Klicks_Block_A_03.y,Klicks_Block_A_03.leftButton,Klicks_Block_A_03.midButton,Klicks_Block_A_03.rightButton,Klicks_Block_A_03.time,Klicks_Block_A_03.clicked_name,Filler_A_03.started,mouse_7.started,Text_Filler_A_03.started,Filler_A_03.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Block_A_04.started,Klicks_Block_A_04.started,Arms_Block_A_04.started,Legs_Block_A_04.started,Other_Block_A_04.started,Head_Block_A_04.started,Block_A_04.stopped,Klicks_Block_A_04.x,Klicks_Block_A_04.y,Klicks_Block_A_04.leftButton,Klicks_Block_A_04.midButton,Klicks_Block_A_04.rightButton,Klicks_Block_A_04.time,Klicks_Block_A_04.clicked_name,Goodbye.started,GoodBye.started,mouse_4.started,Goodbye.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,participant,session,Condition,date,expName,psychopyVersion,frameRate,expStart,
,,0.008398100035265088,0.02311950013972819,0.007846799911931157,4.888941300101578,[-0.14629629629629629],[0.10277777777777777],[1],[0],[0],[4.879376699915156],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UL01RL21_A_HB_,001,,2024-07-08_11h03.58.470,Balance_and_VR_A,2024.1.5,None,2024-07-08 11h13.34.431326 +0200,
,,,,,,,,,,,,4.889174900017679,6.340001709759235e-05,4.904092600103468,1104.1898120001424,[-0.14629629629629629],[0.10277777777777777],[1],[0],[0],[1099.2991076000035],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UL01RL21_A_HB_,001,,2024-07-08_11h03.58.470,Balance_and_VR_A,2024.1.5,None,2024-07-08 11h13.34.431326 +0200,
,,,,,,,,,,,,,,,,,,,,,,1104.1903266001027,0.00021379999816417694,1104.2960520000197,1104.2960520000197,1104.2960520000197,1104.2960520000197,1314.196430100128,"[-0.14629629629629629, -0.2824074074074074]","[0.10277777777777777, -0.14444444444444443]","[1, 1]","[0, 0]","[0, 0]","[0.002711599925532937, 26.770332199987024]","['Head_Block_A_01', 'Legs_Block_A_01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UL01RL21_A_HB_,001,,2024-07-08_11h03.58.470,Balance_and_VR_A,2024.1.5,None,2024-07-08 11h13.34.431326 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1314.196647600038,0.006405299995094538,1314.2129812999628,1385.612715100171,[-0.6703703703703704],[0.1111111111111111],[1],[0],[0],[71.41400810005143],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UL01RL21_A_HB_,001,,2024-07-08_11h03.58.470,Balance_and_VR_A,2024.1.5,None,2024-07-08 11h13.34.431326 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1385.6134455001447,0.00027609989047050476,1385.7094519000966,1385.7094519000966,1385.7094519000966,1385.7094519000966,1595.618232200155,"[-0.6703703703703704, 0.22592592592592592, 0.23796296296296296, 0.3138888888888889]","[0.1111111111111111, -0.1814814814814815, 0.19537037037037036, -0.08981481481481482]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.003467300208285451, 68.9532161001116, 111.88899500016123, 155.99183270009235]","['Arms_Block_A_02', 'Other_Block_A_02', 'Arms_Block_A_02']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UL01RL21_A_HB_,001,,2024-07-08_11h03.58.470,Balance_and_VR_A,2024.1.5,None,2024-07-08 11h13.34.431326 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595.6185246000532,0.005176299950107932,1595.6348662001546,1632.107916600071,[0.3138888888888889],[-0.08981481481481482],[1],[0],[0],[36.48859680001624],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UL01RL21_A_HB_,001,,2024-07-08_11h03.58.470,Balance_and_VR_A,2024.1.5,None,2024-07-08 11h13.34.431326 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1632.1081747000571,8.390005677938461e-05,1632.1451781999785,1632.1451781999785,1632.1451781999785,1632.1451781999785,1842.1186190999579,"[0.3138888888888889, 0.41944444444444445, 0.4046296296296296]","[-0.08981481481481482, 0.262037037037037, -0.0787037037037037]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.0010319000575691462, 102.36443429999053, 187.13552040001377]","['Arms_Block_A_03', 'Other_Block_A_03', 'Arms_Block_A_03']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UL01RL21_A_HB_,001,,2024-07-08_11h03.58.470,Balance_and_VR_A,2024.1.5,None,2024-07-08 11h13.34.431326 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1842.1189013000112,0.010787799954414368,1842.13511630008,1878.4946612999775,[0.4046296296296296],[-0.0787037037037037],[1],[0],[0],[36.37428330001421],,,,,,,,,,,,,,,,,,,,,,,,,UL01RL21_A_HB_,001,,2024-07-08_11h03.58.470,Balance_and_VR_A,2024.1.5,None,2024-07-08 11h13.34.431326 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1878.4950890999753,0.0001580999232828617,1878.5547236001585,1878.5547236001585,1878.5547236001585,1878.5547236001585,2088.502434700029,"[0.4046296296296296, 0.4601851851851852]","[-0.0787037037037037, 0.25555555555555554]","[1, 1]","[0, 0]","[0, 0]","[0.0018914001993834972, 93.76499529997818]","['Arms_Block_A_04', 'Other_Block_A_04']",,,,,,,,,,,UL01RL21_A_HB_,001,,2024-07-08_11h03.58.470,Balance_and_VR_A,2024.1.5,None,2024-07-08 11h13.34.431326 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2088.502685500076,2088.5188913000748,0.007666599936783314,2124.52585970005,[0.4601851851851852],[0.25555555555555554],[1],[0],[0],[36.02227559988387],UL01RL21_A_HB_,001,,2024-07-08_11h03.58.470,Balance_and_VR_A,2024.1.5,None,2024-07-08 11h13.34.431326 +0200,
