thisRow.t,notes,Welcome_A.started,Welcome.started,mouse.started,Welcome_A.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Condition_A.started,mouse_3.started,ConditionA.started,Condition_A.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Block_A_01.started,Klicks_Block_A_01.started,Arms_Block_A_01.started,Legs_Block_A_01.started,Other_Block_A_01.started,Head_Block_A_01.started,Block_A_01.stopped,Klicks_Block_A_01.x,Klicks_Block_A_01.y,Klicks_Block_A_01.leftButton,Klicks_Block_A_01.midButton,Klicks_Block_A_01.rightButton,Klicks_Block_A_01.time,Klicks_Block_A_01.clicked_name,Filler_A_01.started,mouse_5.started,Text_FIller_A01.started,Filler_A_01.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,Block_A_02.started,Klicks_Block_A_02.started,Arms_Block_A_02.started,Legs_Block_A_02.started,Other_Block_A_02.started,Head_Block_A_02.started,Block_A_02.stopped,Klicks_Block_A_02.x,Klicks_Block_A_02.y,Klicks_Block_A_02.leftButton,Klicks_Block_A_02.midButton,Klicks_Block_A_02.rightButton,Klicks_Block_A_02.time,Klicks_Block_A_02.clicked_name,Filler_A_02.started,mouse_6.started,Text_Filler_A_02.started,Filler_A_02.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Block_A_03.started,Klicks_Block_A_03.started,Arms_Block_A_03.started,Legs_Block_A_03.started,Other_Block_A_03.started,Head_Block_A_03.started,Block_A_03.stopped,Klicks_Block_A_03.x,Klicks_Block_A_03.y,Klicks_Block_A_03.leftButton,Klicks_Block_A_03.midButton,Klicks_Block_A_03.rightButton,Klicks_Block_A_03.time,Klicks_Block_A_03.clicked_name,Filler_A_03.started,mouse_7.started,Text_Filler_A_03.started,Filler_A_03.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Block_A_04.started,Klicks_Block_A_04.started,Arms_Block_A_04.started,Legs_Block_A_04.started,Other_Block_A_04.started,Head_Block_A_04.started,Block_A_04.stopped,Klicks_Block_A_04.x,Klicks_Block_A_04.y,Klicks_Block_A_04.leftButton,Klicks_Block_A_04.midButton,Klicks_Block_A_04.rightButton,Klicks_Block_A_04.time,Klicks_Block_A_04.clicked_name,Goodbye.started,GoodBye.started,mouse_4.started,Goodbye.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,participant,session,Condition,date,expName,psychopyVersion,frameRate,expStart,
,,0.008861500071361661,0.02780570019967854,0.008645199937745929,92.0329274001997,[-0.07407407407407407],[-0.49907407407407406],[1],[0],[0],[92.02341550006531],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UR31EM17_A_LB,001,LB,2024-06-24_13h31.44.760,Balance_and_VR_A,2024.1.5,None,2024-06-24 13h58.12.724962 +0200,
,,,,,,,,,,,,92.03304290003143,3.0499882996082306e-05,92.04847780009732,923.9515046000015,[0.037037037037037035],[-0.2574074074074074],[1],[0],[0],[831.9179525000509],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UR31EM17_A_LB,001,LB,2024-06-24_13h31.44.760,Balance_and_VR_A,2024.1.5,None,2024-06-24 13h58.12.724962 +0200,
,,,,,,,,,,,,,,,,,,,,,,923.9516201000661,5.119992420077324e-05,924.001850000117,924.001850000117,924.001850000117,924.001850000117,1133.9630118000787,"[0.037037037037037035, 0.1962962962962963, 0.23796296296296296, 0.2175925925925926, 0.425]","[-0.2574074074074074, -0.12407407407407407, 0.31296296296296294, -0.32314814814814813, -0.3]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0.0005964001175016165, 96.95142480009235, 109.54623629990965, 146.73347690002993, 200.05011159996502]","['Arms_Block_A_01', 'Arms_Block_A_01', 'Other_Block_A_01', 'Arms_Block_A_01', 'Arms_Block_A_01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UR31EM17_A_LB,001,LB,2024-06-24_13h31.44.760,Balance_and_VR_A,2024.1.5,None,2024-06-24 13h58.12.724962 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1133.9632271002047,0.011644599959254265,1133.9797074000817,1168.5542201001663,[0.08055555555555556],[0.03518518518518519],[1],[0],[0],[34.590542200021446],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UR31EM17_A_LB,001,LB,2024-06-24_13h31.44.760,Balance_and_VR_A,2024.1.5,None,2024-06-24 13h58.12.724962 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1168.5543271000497,4.1300198063254356e-05,1168.5784577000886,1168.5784577000886,1168.5784577000886,1168.5784577000886,1378.5641400001477,"[0.08055555555555556, 0.3398148148148148, 0.3398148148148148]","[0.03518518518518519, 0.20833333333333334, 0.20833333333333334]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.0005471999756991863, 77.63819369999692, 139.95121189998463]","['Other_Block_A_02', 'Other_Block_A_02', 'Other_Block_A_02']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UR31EM17_A_LB,001,LB,2024-06-24_13h31.44.760,Balance_and_VR_A,2024.1.5,None,2024-06-24 13h58.12.724962 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1378.564404600067,0.010132100200280547,1378.5805178000592,1413.4861622999888,[0.3398148148148148],[0.20833333333333334],[1],[0],[0],[34.92116100015119],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UR31EM17_A_LB,001,LB,2024-06-24_13h31.44.760,Balance_and_VR_A,2024.1.5,None,2024-06-24 13h58.12.724962 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1413.4862821002025,4.879990592598915e-05,1413.5132730000187,1413.5132730000187,1413.5132730000187,1413.5132730000187,1623.497698100051,[0.3398148148148148],[0.20833333333333334],[1],[0],[0],[0.0005169999785721302],['Other_Block_A_03'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UR31EM17_A_LB,001,LB,2024-06-24_13h31.44.760,Balance_and_VR_A,2024.1.5,None,2024-06-24 13h58.12.724962 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1623.497840500204,0.011598299955949187,1623.5143694002181,1658.736658200156,[0.6703703703703704],[0.17777777777777778],[1],[0],[0],[35.238289000000805],,,,,,,,,,,,,,,,,,,,,,,,,UR31EM17_A_LB,001,LB,2024-06-24_13h31.44.760,Balance_and_VR_A,2024.1.5,None,2024-06-24 13h58.12.724962 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1658.7367736001033,4.1899969801306725e-05,1658.7600193000399,1658.7600193000399,1658.7600193000399,1658.7600193000399,1868.7482645001728,"[0.6703703703703704, 0.23425925925925925, 0.2175925925925926]","[0.17777777777777778, 0.2898148148148148, 0.337037037037037]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.0005264999344944954, 111.96231829980388, 205.19886099989526]","['Other_Block_A_04', 'Other_Block_A_04']",,,,,,,,,,,UR31EM17_A_LB,001,LB,2024-06-24_13h31.44.760,Balance_and_VR_A,2024.1.5,None,2024-06-24 13h58.12.724962 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1868.748450100189,1868.7647275000345,0.01171520003117621,1883.1941845000256,[0.2175925925925926],[0.337037037037037],[1],[0],[0],[14.445096499985084],UR31EM17_A_LB,001,LB,2024-06-24_13h31.44.760,Balance_and_VR_A,2024.1.5,None,2024-06-24 13h58.12.724962 +0200,
