ID,number_of_files,block_A_files,block_B_files,HB_files,LB_files,complete,status
AN06AN18,2,1,1,1,1,TRUE,COMPLETE
AN07IE11,2,1,1,1,1,TRUE,COMPLETE
AN11ST11,2,1,1,1,1,TRUE,COMPLETE
AN15AV09,2,1,1,1,1,TRUE,COMPLETE
AN23BE15,2,1,1,1,1,TRUE,COMPLETE
AN29RA22,2,1,1,1,1,TRUE,COMPLETE
BE06LL24,2,1,1,1,1,TRUE,COMPLETE
BG22OE24,2,1,1,1,1,TRUE,COMPLETE
BI20OE24,2,1,1,1,1,TRUE,COMPLETE
CA04TU11,2,1,1,1,1,TRUE,COMPLETE
CA11UR11,2,1,1,1,1,TRUE,COMPLETE
CH08TU30,2,1,1,1,1,TRUE,COMPLETE
CH10AL22,2,1,1,1,1,TRUE,COMPLETE
CH10AN25,2,1,1,1,1,TRUE,COMPLETE
CH11RE22,2,1,1,1,1,TRUE,COMPLETE
CH18EU28,2,1,1,1,1,TRUE,COMPLETE
CL22OE02,2,1,1,1,1,TRUE,COMPLETE
CL23ON05,2,1,1,1,1,TRUE,COMPLETE
DI16UB31,2,1,1,1,1,TRUE,COMPLETE
DO11UB30,2,1,1,1,1,TRUE,COMPLETE
DO13UE03,2,1,1,1,1,TRUE,COMPLETE
EL30AD28,2,1,1,1,1,TRUE,COMPLETE
HE20ÜB06,2,1,1,1,1,TRUE,COMPLETE
IN06UE25,2,1,1,1,1,TRUE,COMPLETE
JE06AD10,2,1,1,1,1,TRUE,COMPLETE
JO26EI26,2,1,1,1,1,TRUE,COMPLETE
JU20ÜC09,2,1,1,1,1,TRUE,COMPLETE
KA09ÜH17,2,1,1,1,1,TRUE,COMPLETE
KA14RE15,2,1,1,1,1,TRUE,COMPLETE
KE30IE06,2,1,1,1,1,TRUE,COMPLETE
KO24IE08,2,1,1,1,1,TRUE,COMPLETE
LE11ON12,2,1,1,1,1,TRUE,COMPLETE
MA25UT20,2,1,1,1,1,TRUE,COMPLETE
MI27ER17,2,1,1,1,1,TRUE,COMPLETE
NF16CH30,2,1,1,1,1,TRUE,COMPLETE
PE16IN18,2,1,1,1,1,TRUE,COMPLETE
RE13ON18,2,1,1,1,1,TRUE,COMPLETE
SA09OR12,2,1,1,1,1,TRUE,COMPLETE
SI21ÜR22,2,1,1,1,1,TRUE,COMPLETE
SI22IE06,2,1,1,1,1,TRUE,COMPLETE
TA17ER04,2,1,1,1,1,TRUE,COMPLETE
UL01RL21,2,1,1,1,1,TRUE,COMPLETE
UL22ON24,2,1,1,1,1,TRUE,COMPLETE
UR31EM17,2,1,1,1,1,TRUE,COMPLETE
