thisRow.t,notes,Welcome_A.started,Welcome.started,mouse.started,Welcome_A.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Condition_A.started,mouse_3.started,ConditionA.started,Condition_A.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Block_A_01.started,Klicks_Block_A_01.started,Arms_Block_A_01.started,Legs_Block_A_01.started,Other_Block_A_01.started,Head_Block_A_01.started,Counter_Legs_A_01.started,Counter_Arms_A_01.started,Counter_Other_A_01.started,Counter_Head_A_01.started,Block_A_01.stopped,Klicks_Block_A_01.x,Klicks_Block_A_01.y,Klicks_Block_A_01.leftButton,Klicks_Block_A_01.midButton,Klicks_Block_A_01.rightButton,Klicks_Block_A_01.time,Klicks_Block_A_01.clicked_name,arms_count_A_01,legs_count_A_01,head_count_A_01,other_count_A_01,total_click_count_A_01,Filler_A_01.started,mouse_5.started,Text_FIller_A01.started,Filler_A_01.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,Block_A_02.started,Klicks_Block_A_02.started,Arms_Block_A_02.started,Legs_Block_A_02.started,Other_Block_A_02.started,Head_Block_A_02.started,Counter_Head_A_02.started,Counter_Other_A_02.started,Counter_Legs_A_02.started,Counter_Arms_A_02.started,Block_A_02.stopped,Klicks_Block_A_02.x,Klicks_Block_A_02.y,Klicks_Block_A_02.leftButton,Klicks_Block_A_02.midButton,Klicks_Block_A_02.rightButton,Klicks_Block_A_02.time,Klicks_Block_A_02.clicked_name,arms_count_A_02,legs_count_A_02,head_count_A_02,other_count_A_02,total_click_count_A_02,Filler_A_02.started,mouse_6.started,Text_Filler_A_02.started,Filler_A_02.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Block_A_03.started,Klicks_Block_A_03.started,Arms_Block_A_03.started,Legs_Block_A_03.started,Other_Block_A_03.started,Head_Block_A_03.started,Counter_Head_A_03.started,Counter_Other_A_03.started,Counter_Legs_A_03.started,Counter_Arms_A_03.started,Block_A_03.stopped,Klicks_Block_A_03.x,Klicks_Block_A_03.y,Klicks_Block_A_03.leftButton,Klicks_Block_A_03.midButton,Klicks_Block_A_03.rightButton,Klicks_Block_A_03.time,Klicks_Block_A_03.clicked_name,arms_count_A_03,legs_count_A_03,head_count_A_03,other_count_A_03,total_click_count_A_03,Filler_A_03.started,mouse_7.started,Text_Filler_A_03.started,Filler_A_03.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Block_A_04.started,Klicks_Block_A_04.started,Arms_Block_A_04.started,Legs_Block_A_04.started,Other_Block_A_04.started,Head_Block_A_04.started,Counter_Head_A_04.started,Counter_Other_A_04.started,Counter_Legs_A_04.started,Counter_Arms_A_04.started,Block_A_04.stopped,Klicks_Block_A_04.x,Klicks_Block_A_04.y,Klicks_Block_A_04.leftButton,Klicks_Block_A_04.midButton,Klicks_Block_A_04.rightButton,Klicks_Block_A_04.time,Klicks_Block_A_04.clicked_name,arms_count_A_04,legs_count_A_04,head_count_A_04,other_count_A_04,total_click_count_A_04,Goodbye.started,GoodBye.started,mouse_4.started,Goodbye.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,participant,session,Condition,date,expName,psychopyVersion,frameRate,expStart,
,,0.007719000335782766,0.018214200157672167,0.0074711996130645275,366.30748670035973,[-0.12777777777777777],[0.12685185185185185],[1],[0],[0],[366.2991499998607],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AN06AN18_A_LB,001,A,2026-06-17_11h01.32.147,Balance_and_VR_A,2024.1.5,None,2026-06-17 11h01.53.228022 +0200,
,,,,,,,,,,,,366.30763940000907,3.6700163036584854e-05,366.32307020016015,367.84043460013345,[-0.12777777777777777],[0.12685185185185185],[1],[0],[0],[1.5323502998799086],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AN06AN18_A_LB,001,A,2026-06-17_11h01.32.147,Balance_and_VR_A,2024.1.5,None,2026-06-17 11h01.53.228022 +0200,
,,,,,,,,,,,,,,,,,,,,,,367.84055690001696,0.0001671002246439457,367.88184090005234,367.88184090005234,367.88184090005234,367.88184090005234,367.88184090005234,367.88184090005234,367.88184090005234,367.88184090005234,577.851909100078,"[-0.12777777777777777, 0.3212962962962963, 0.35833333333333334, 0.13148148148148148, 0.13148148148148148]","[0.12685185185185185, -0.13425925925925927, 0.08148148148148149, -0.16018518518518518, -0.16018518518518518]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0.0005811001174151897, 29.97265820018947, 136.4034273000434, 162.16118890000507, 193.38546730019152]","['Head_Block_A_01', 'Arms_Block_A_01', 'Other_Block_A_01', 'Arms_Block_A_01', 'Arms_Block_A_01']",3,0,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AN06AN18_A_LB,001,A,2026-06-17_11h01.32.147,Balance_and_VR_A,2024.1.5,None,2026-06-17 11h01.53.228022 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577.852122799959,0.011601100210100412,577.8679561000317,662.6069166003726,[0.13148148148148148],[-0.16018518518518518],[1],[0],[0],[84.75427450006828],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AN06AN18_A_LB,001,A,2026-06-17_11h01.32.147,Balance_and_VR_A,2024.1.5,None,2026-06-17 11h01.53.228022 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662.6070429002866,0.0001500002108514309,662.6272885003127,662.6272885003127,662.6272885003127,662.6272885003127,662.6272885003127,662.6272885003127,662.6272885003127,662.6272885003127,872.6185306999832,"[0.13148148148148148, 0.25555555555555554]","[-0.16018518518518518, 0.15092592592592594]","[1, 1]","[0, 0]","[0, 0]","[0.0005284002982079983, 25.591032499913126]","['Arms_Block_A_02', 'Other_Block_A_02']",0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AN06AN18_A_LB,001,A,2026-06-17_11h01.32.147,Balance_and_VR_A,2024.1.5,None,2026-06-17 11h01.53.228022 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872.6187125002034,0.011708199977874756,872.6350350002758,895.7780434000306,[0.25555555555555554],[0.15092592592592594],[1],[0],[0],[23.158871199935675],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AN06AN18_A_LB,001,A,2026-06-17_11h01.32.147,Balance_and_VR_A,2024.1.5,None,2026-06-17 11h01.53.228022 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895.778152000159,0.0001401999033987522,895.7987771001644,895.7987771001644,895.7987771001644,895.7987771001644,895.7987771001644,895.7987771001644,895.7987771001644,895.7987771001644,1105.7895333999768,"[0.25555555555555554, 0.3314814814814815]","[0.15092592592592594, 0.24259259259259258]","[1, 1]","[0, 0]","[0, 0]","[0.0005324999801814556, 81.69028319977224]","['Other_Block_A_03', 'Other_Block_A_03']",0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AN06AN18_A_LB,001,A,2026-06-17_11h01.32.147,Balance_and_VR_A,2024.1.5,None,2026-06-17 11h01.53.228022 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1105.7897304003127,0.011614200193434954,1105.8058124999516,1156.2899839999154,[0.3314814814814815],[0.24259259259259258],[1],[0],[0],[50.499764000065625],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AN06AN18_A_LB,001,A,2026-06-17_11h01.32.147,Balance_and_VR_A,2024.1.5,None,2026-06-17 11h01.53.228022 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1156.290125099942,0.00016369996592402458,1156.3106305999681,1156.3106305999681,1156.3106305999681,1156.3106305999681,1156.3106305999681,1156.3106305999681,1156.3106305999681,1156.3106305999681,1366.3015136001632,"[0.3314814814814815, 0.21203703703703702]","[0.24259259259259258, -0.16574074074074074]","[1, 1]","[0, 0]","[0, 0]","[0.0005095996893942356, 191.73422049963847]","['Other_Block_A_04', 'Arms_Block_A_04']",1,0,0,0,1,,,,,,,,,,,AN06AN18_A_LB,001,A,2026-06-17_11h01.32.147,Balance_and_VR_A,2024.1.5,None,2026-06-17 11h01.53.228022 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1366.3017196999863,1366.3177018002607,0.011643699835985899,1370.350817500148,[0.21203703703703702],[-0.16574074074074074],[1],[0],[0],[4.048572099767625],AN06AN18_A_LB,001,A,2026-06-17_11h01.32.147,Balance_and_VR_A,2024.1.5,None,2026-06-17 11h01.53.228022 +0200,
