thisRow.t,notes,Welcome_B.started,Welcome.started,mouse.started,Welcome_B.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Condition_B.started,mouse_3.started,ConditionB.started,Condition_B.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Block_B_01.started,Klicks_Block_B_01.started,Arms_Block_B_01.started,Legs_Block_B_01.started,Other_Block_B_01.started,Head_Block_B_01.started,Counter_Head_B_01.started,Counter_Other_B_01.started,Counter_Legs_B_01.started,Counter_Arms_B_01.started,Block_B_01.stopped,Klicks_Block_B_01.x,Klicks_Block_B_01.y,Klicks_Block_B_01.leftButton,Klicks_Block_B_01.midButton,Klicks_Block_B_01.rightButton,Klicks_Block_B_01.time,Klicks_Block_B_01.clicked_name,arms_count_B_01,legs_count_B_01,head_count_B_01,other_count_B_01,total_click_count_B_01,Filler_B_01.started,mouse_5.started,Text_FIller_B01.started,Filler_B_01.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,Block_B_02.started,Klicks_Block_B_02.started,Arms_Block_B_02.started,Legs_Block_B_02.started,Other_Block_B_02.started,Head_Block_B_02.started,Counter_Head_B_02.started,Counter_Other_B_02.started,Counter_Legs_B_02.started,Counter_Arms_B_02.started,Block_B_02.stopped,Klicks_Block_B_02.x,Klicks_Block_B_02.y,Klicks_Block_B_02.leftButton,Klicks_Block_B_02.midButton,Klicks_Block_B_02.rightButton,Klicks_Block_B_02.time,Klicks_Block_B_02.clicked_name,arms_count_B_02,legs_count_B_02,head_count_B_02,other_count_B_02,total_click_count_B_02,Filler_B_02.started,mouse_6.started,Text_Filler_B_02.started,Filler_B_02.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Block_B_03.started,Klicks_Block_B_03.started,Arms_Block_B_03.started,Legs_Block_B_03.started,Other_Block_B_03.started,Head_Block_B_03.started,Counter_Head_B_03.started,Counter_Other_B_03.started,Counter_Legs_B_03.started,Counter_Arms_B_03.started,Block_B_03.stopped,Klicks_Block_B_03.x,Klicks_Block_B_03.y,Klicks_Block_B_03.leftButton,Klicks_Block_B_03.midButton,Klicks_Block_B_03.rightButton,Klicks_Block_B_03.time,Klicks_Block_B_03.clicked_name,arms_count_B_03,legs_count_B_03,head_count_B_03,other_count_B_03,total_click_count_B_03,Filler_B_03.started,mouse_7.started,Text_Filler_B_03.started,Filler_B_03.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Block_B_04.started,Klicks_Block_B_04.started,Arms_Block_B_04.started,Legs_Block_B_04.started,Other_Block_B_04.started,Head_Block_B_04.started,Counter_Head_B_04.started,Counter_Other_B_04.started,Counter_Legs_B_04.started,Counter_Arms_B_04.started,Block_B_04.stopped,Klicks_Block_B_04.x,Klicks_Block_B_04.y,Klicks_Block_B_04.leftButton,Klicks_Block_B_04.midButton,Klicks_Block_B_04.rightButton,Klicks_Block_B_04.time,Klicks_Block_B_04.clicked_name,arms_count_B_04,legs_count_B_04,head_count_B_04,other_count_B_04,total_click_count_B_04,GoodBye_Final.started,GoodBye.started,mouse_4.started,GoodBye_Final.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,participant,session,Condition,date,expName,psychopyVersion,frameRate,expStart,
,,0.005678300280123949,0.024769899901002645,0.005468999966979027,629.4312415001914,[-0.8888888888888888],[-0.4583333333333333],[1],[0],[0],[629.4248025999404],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AN06AN18_B_HB,001,B,2026-06-17_11h26.17.542,Balance_and_VR_B,2024.1.5,None,2026-06-17 11h29.04.512040 +0200,
,,,,,,,,,,,,629.431413100101,5.460018292069435e-05,629.4462374001741,630.2137643001042,[-0.8888888888888888],[-0.4583333333333333],[1],[0],[0],[0.7817214000970125],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AN06AN18_B_HB,001,B,2026-06-17_11h26.17.542,Balance_and_VR_B,2024.1.5,None,2026-06-17 11h29.04.512040 +0200,
,,,,,,,,,,,,,,,,,,,,,,630.2138664000668,0.0003484003245830536,630.2514432999305,630.2514432999305,630.2514432999305,630.2514432999305,630.2514432999305,630.2514432999305,630.2514432999305,630.2514432999305,840.2248800001107,"[-0.8888888888888888, 0.4351851851851852, -0.18888888888888888, 0.18055555555555555, 0.18055555555555555, 0.12037037037037036]","[-0.4583333333333333, -0.27870370370370373, 0.17037037037037037, -0.17962962962962964, -0.17962962962962964, 0.11018518518518519]","[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0.0006884997710585594, 25.89121409971267, 32.188729299698025, 103.08146600006148, 127.88909259997308, 164.5933139999397]","['Arms_Block_B_01', 'Head_Block_B_01', 'Arms_Block_B_01', 'Arms_Block_B_01', 'Other_Block_B_01']",3,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AN06AN18_B_HB,001,B,2026-06-17_11h26.17.542,Balance_and_VR_B,2024.1.5,None,2026-06-17 11h29.04.512040 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840.225135799963,0.011304100044071674,840.2412952999584,907.4698832002468,[0.12037037037037036],[0.11018518518518519],[1],[0],[0],[67.24429709976539],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AN06AN18_B_HB,001,B,2026-06-17_11h26.17.542,Balance_and_VR_B,2024.1.5,None,2026-06-17 11h29.04.512040 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,907.4699905999005,0.00013059983029961586,907.4874018998817,907.4874018998817,907.4874018998817,907.4874018998817,907.4874018998817,907.4874018998817,907.4874018998817,907.4874018998817,1117.4810783001594,"[0.12037037037037036, -0.20092592592592592]","[0.11018518518518519, 0.21296296296296297]","[1, 1]","[0, 0]","[0, 0]","[0.0004646996967494488, 78.856013499666]","['Other_Block_B_02', 'Head_Block_B_02']",0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AN06AN18_B_HB,001,B,2026-06-17_11h26.17.542,Balance_and_VR_B,2024.1.5,None,2026-06-17 11h29.04.512040 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1117.4812676999718,0.011309999972581863,1117.4975902000442,1159.0012815003283,[0.4083333333333333],[-0.18888888888888888],[1],[0],[0],[41.51946759968996],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AN06AN18_B_HB,001,B,2026-06-17_11h26.17.542,Balance_and_VR_B,2024.1.5,None,2026-06-17 11h29.04.512040 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1159.0014169001952,0.00018269987776875496,1159.0205049002543,1159.0205049002543,1159.0205049002543,1159.0205049002543,1159.0205049002543,1159.0205049002543,1159.0205049002543,1159.0205049002543,1369.0123886000365,"[0.4083333333333333, 0.4083333333333333, -0.2953703703703704, -0.19814814814814816, -0.19814814814814816]","[-0.18888888888888888, -0.18888888888888888, -0.12407407407407407, 0.2953703703703704, 0.2953703703703704]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0.000623299740254879, 14.912666799966246, 65.11130059976131, 144.7004416999407, 159.2286050999537]","['Arms_Block_B_03', 'Arms_Block_B_03', 'Legs_Block_B_03', 'Head_Block_B_03', 'Head_Block_B_03']",1,1,2,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AN06AN18_B_HB,001,B,2026-06-17_11h26.17.542,Balance_and_VR_B,2024.1.5,None,2026-06-17 11h29.04.512040 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1369.0126201999374,0.011239099781960249,1369.0292092002928,1406.6341436002403,[-0.19814814814814816],[0.2953703703703704],[1],[0],[0],[37.621023499872535],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AN06AN18_B_HB,001,B,2026-06-17_11h26.17.542,Balance_and_VR_B,2024.1.5,None,2026-06-17 11h29.04.512040 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1406.6342573002912,0.00014219991862773895,1406.6545458002947,1406.6545458002947,1406.6545458002947,1406.6545458002947,1406.6545458002947,1406.6545458002947,1406.6545458002947,1406.6545458002947,1616.6450482001528,"[-0.19814814814814816, 0.32222222222222224, 0.32222222222222224]","[0.2953703703703704, -0.20277777777777778, -0.20277777777777778]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.0005068001337349415, 51.798869099933654, 201.94779600016773]","['Head_Block_B_04', 'Arms_Block_B_04', 'Arms_Block_B_04']",2,0,0,0,2,,,,,,,,,,,AN06AN18_B_HB,001,B,2026-06-17_11h26.17.542,Balance_and_VR_B,2024.1.5,None,2026-06-17 11h29.04.512040 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1616.6452839002013,1616.6616356000304,0.01106500020250678,1652.8337910003029,[0.32222222222222224],[-0.20277777777777778],[1],[0],[0],[36.1879003001377],AN06AN18_B_HB,001,B,2026-06-17_11h26.17.542,Balance_and_VR_B,2024.1.5,None,2026-06-17 11h29.04.512040 +0200,
