thisRow.t,notes,Welcome_A.started,Welcome.started,mouse.started,Welcome_A.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Condition_A.started,mouse_3.started,ConditionA.started,Condition_A.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Block_A_01.started,Klicks_Block_A_01.started,Arms_Block_A_01.started,Legs_Block_A_01.started,Other_Block_A_01.started,Head_Block_A_01.started,Block_A_01.stopped,Klicks_Block_A_01.x,Klicks_Block_A_01.y,Klicks_Block_A_01.leftButton,Klicks_Block_A_01.midButton,Klicks_Block_A_01.rightButton,Klicks_Block_A_01.time,Klicks_Block_A_01.clicked_name,Filler_A_01.started,mouse_5.started,Text_FIller_A01.started,Filler_A_01.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,Block_A_02.started,Klicks_Block_A_02.started,Arms_Block_A_02.started,Legs_Block_A_02.started,Other_Block_A_02.started,Head_Block_A_02.started,Block_A_02.stopped,Klicks_Block_A_02.x,Klicks_Block_A_02.y,Klicks_Block_A_02.leftButton,Klicks_Block_A_02.midButton,Klicks_Block_A_02.rightButton,Klicks_Block_A_02.time,Klicks_Block_A_02.clicked_name,Filler_A_02.started,mouse_6.started,Text_Filler_A_02.started,Filler_A_02.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Block_A_03.started,Klicks_Block_A_03.started,Arms_Block_A_03.started,Legs_Block_A_03.started,Other_Block_A_03.started,Head_Block_A_03.started,Block_A_03.stopped,Klicks_Block_A_03.x,Klicks_Block_A_03.y,Klicks_Block_A_03.leftButton,Klicks_Block_A_03.midButton,Klicks_Block_A_03.rightButton,Klicks_Block_A_03.time,Klicks_Block_A_03.clicked_name,Filler_A_03.started,mouse_7.started,Text_Filler_A_03.started,Filler_A_03.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Block_A_04.started,Klicks_Block_A_04.started,Arms_Block_A_04.started,Legs_Block_A_04.started,Other_Block_A_04.started,Head_Block_A_04.started,Block_A_04.stopped,Klicks_Block_A_04.x,Klicks_Block_A_04.y,Klicks_Block_A_04.leftButton,Klicks_Block_A_04.midButton,Klicks_Block_A_04.rightButton,Klicks_Block_A_04.time,Klicks_Block_A_04.clicked_name,Goodbye.started,GoodBye.started,mouse_4.started,Goodbye.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,participant,session,Condition,date,expName,psychopyVersion,frameRate,expStart,
,,0.009476499981246889,0.027086300076916814,0.00926719990093261,0.6653735000872985,[-0.15092592592592594],[0.11851851851851852],[1],[0],[0],[0.65519730001688],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH18EU28_A,001,A,2024-06-14_12h01.36.943,Balance_and_VR_A,2024.1.5,None,2024-06-14 12h02.02.590276 +0200,
,,,,,,,,,,,,0.6656186000909656,7.98000255599618e-05,0.6793211000040174,1.2610068999929354,[-0.15092592592592594],[0.11851851851851852],[1],[0],[0],[0.5948017000919208],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH18EU28_A,001,A,2024-06-14_12h01.36.943,Balance_and_VR_A,2024.1.5,None,2024-06-14 12h02.02.590276 +0200,
,,,,,,,,,,,,,,,,,,,,,,1.2611137999920174,4.579999949783087e-05,1.3146563000045717,1.3146563000045717,1.3146563000045717,1.3146563000045717,211.27237800008152,"[-0.15092592592592594, 0.17962962962962964]","[0.11851851851851852, -0.2175925925925926]","[1, 1]","[0, 0]","[0, 0]","[0.0005574000533670187, 63.49610600003507]","['Head_Block_A_01', 'Arms_Block_A_01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH18EU28_A,001,A,2024-06-14_12h01.36.943,Balance_and_VR_A,2024.1.5,None,2024-06-14 12h02.02.590276 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.27253680001013,0.0114676000084728,211.28875399997924,216.90452730003744,[0.17962962962962964],[-0.2175925925925926],[1],[0],[0],[5.631445099948905],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH18EU28_A,001,A,2024-06-14_12h01.36.943,Balance_and_VR_A,2024.1.5,None,2024-06-14 12h02.02.590276 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.90463690005708,4.369998350739479e-05,216.92866390000563,216.92866390000563,216.92866390000563,216.92866390000563,426.9161000000313,"[0.17962962962962964, 0.16111111111111112, 0.16111111111111112]","[-0.2175925925925926, 0.09074074074074075, 0.09074074074074075]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.0005123999435454607, 60.26291749998927, 156.74697560002096]","['Arms_Block_A_02', 'Other_Block_A_02', 'Other_Block_A_02']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH18EU28_A,001,A,2024-06-14_12h01.36.943,Balance_and_VR_A,2024.1.5,None,2024-06-14 12h02.02.590276 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426.91627729998436,0.011679899995215237,426.9325645000208,459.8895555000054,[0.16111111111111112],[0.09074074074074075],[1],[0],[0],[32.97276299993973],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH18EU28_A,001,A,2024-06-14_12h01.36.943,Balance_and_VR_A,2024.1.5,None,2024-06-14 12h02.02.590276 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.88966450002044,4.449998959898949e-05,459.9150953000644,459.9150953000644,459.9150953000644,459.9150953000644,669.9006776000606,"[0.16111111111111112, -0.08796296296296297]","[0.09074074074074075, -0.16018518518518518]","[1, 1]","[0, 0]","[0, 0]","[0.0005502999993041158, 63.09457869990729]","['Other_Block_A_03', 'Legs_Block_A_03']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH18EU28_A,001,A,2024-06-14_12h01.36.943,Balance_and_VR_A,2024.1.5,None,2024-06-14 12h02.02.590276 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669.9008551000152,0.011230599950067699,669.917136300006,704.6065852000611,[-0.08796296296296297],[-0.16018518518518518],[1],[0],[0],[34.70515659998637],,,,,,,,,,,,,,,,,,,,,,,,,CH18EU28_A,001,A,2024-06-14_12h01.36.943,Balance_and_VR_A,2024.1.5,None,2024-06-14 12h02.02.590276 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704.6067154000048,5.10999234393239e-05,704.6306117000058,704.6306117000058,704.6306117000058,704.6306117000058,914.6180173000321,"[-0.08796296296296297, 0.20925925925925926]","[-0.16018518518518518, -0.18611111111111112]","[1, 1]","[0, 0]","[0, 0]","[0.0005964000010862947, 136.18702789989766]","['Legs_Block_A_04', 'Arms_Block_A_04']",,,,,,,,,,,CH18EU28_A,001,A,2024-06-14_12h01.36.943,Balance_and_VR_A,2024.1.5,None,2024-06-14 12h02.02.590276 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,914.6181724000489,914.6346539000515,0.011498400010168552,927.9145978000015,[-0.0787037037037037],[-0.1111111111111111],[1],[0],[0],[13.295851100003347],CH18EU28_A,001,A,2024-06-14_12h01.36.943,Balance_and_VR_A,2024.1.5,None,2024-06-14 12h02.02.590276 +0200,
