thisRow.t,notes,Welcome_B.started,Welcome.started,mouse.started,Welcome_B.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Condition_B.started,mouse_3.started,ConditionB.started,Condition_B.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Block_B_01.started,Klicks_Block_B_01.started,Arms_Block_B_01.started,Legs_Block_B_01.started,Other_Block_B_01.started,Head_Block_B_01.started,Block_B_01.stopped,Klicks_Block_B_01.x,Klicks_Block_B_01.y,Klicks_Block_B_01.leftButton,Klicks_Block_B_01.midButton,Klicks_Block_B_01.rightButton,Klicks_Block_B_01.time,Klicks_Block_B_01.clicked_name,Filler_B_01.started,mouse_5.started,Text_FIller_B01.started,Filler_B_01.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,Block_B_02.started,Klicks_Block_B_02.started,Arms_Block_B_02.started,Legs_Block_B_02.started,Other_Block_B_02.started,Head_Block_B_02.started,Block_B_02.stopped,Klicks_Block_B_02.x,Klicks_Block_B_02.y,Klicks_Block_B_02.leftButton,Klicks_Block_B_02.midButton,Klicks_Block_B_02.rightButton,Klicks_Block_B_02.time,Klicks_Block_B_02.clicked_name,Filler_B_02.started,mouse_6.started,Text_Filler_B_02.started,Filler_B_02.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Block_B_03.started,Klicks_Block_B_03.started,Arms_Block_B_03.started,Legs_Block_B_03.started,Other_Block_B_03.started,Head_Block_B_03.started,Block_B_03.stopped,Klicks_Block_B_03.x,Klicks_Block_B_03.y,Klicks_Block_B_03.leftButton,Klicks_Block_B_03.midButton,Klicks_Block_B_03.rightButton,Klicks_Block_B_03.time,Klicks_Block_B_03.clicked_name,Filler_B_03.started,mouse_7.started,Text_Filler_B_03.started,Filler_B_03.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Block_B_04.started,Klicks_Block_B_04.started,Arms_Block_B_04.started,Legs_Block_B_04.started,Other_Block_B_04.started,Head_Block_B_04.started,Block_B_04.stopped,Klicks_Block_B_04.x,Klicks_Block_B_04.y,Klicks_Block_B_04.leftButton,Klicks_Block_B_04.midButton,Klicks_Block_B_04.rightButton,Klicks_Block_B_04.time,Klicks_Block_B_04.clicked_name,GoodBye_Final.started,GoodBye.started,mouse_4.started,GoodBye_Final.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,participant,session,Condition,date,expName,psychopyVersion,frameRate,expStart,
,,0.006635700119659305,0.022470700088888407,0.0063801000360399485,562.1551987000275,[0.14166666666666666],[0.11296296296296296],[1],[0],[0],[562.1478951999452],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL23ON05_HB,001,HB,2024-06-21_13h11.59.850,Balance_and_VR_B,2024.1.5,None,2024-06-21 13h12.52.681178 +0200,
,,,,,,,,,,,,562.1554481999483,7.399986498057842e-05,562.1678051000927,591.4234448000789,[0.14166666666666666],[0.11296296296296296],[1],[0],[0],[29.26743680005893],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL23ON05_HB,001,HB,2024-06-21_13h11.59.850,Balance_and_VR_B,2024.1.5,None,2024-06-21 13h12.52.681178 +0200,
,,,,,,,,,,,,,,,,,,,,,,591.4235519999638,5.0900038331747055e-05,591.4718943000771,591.4718943000771,591.4718943000771,591.4718943000771,801.4352613000665,"[0.14166666666666666, -0.3731481481481482, -0.37962962962962965]","[0.11296296296296296, 0.19907407407407407, -0.14722222222222223]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.0005749999545514584, 48.63320179982111, 193.6512000998482]","['Other_Block_B_01', 'Head_Block_B_01', 'Legs_Block_B_01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL23ON05_HB,001,HB,2024-06-21_13h11.59.850,Balance_and_VR_B,2024.1.5,None,2024-06-21 13h12.52.681178 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801.4354449000675,0.011931000044569373,801.4516312000342,835.858073499985,[-0.37962962962962965],[-0.14722222222222223],[1],[0],[0],[34.42210600012913],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL23ON05_HB,001,HB,2024-06-21_13h11.59.850,Balance_and_VR_B,2024.1.5,None,2024-06-21 13h12.52.681178 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835.8581846000161,4.3999869376420975e-05,835.8828906000126,835.8828906000126,835.8828906000126,835.8828906000126,1045.8692700001411,"[-0.37962962962962965, -0.40555555555555556, -0.3416666666666667, -0.2064814814814815, 0.3490740740740741, 0.3287037037037037]","[-0.14722222222222223, 0.3888888888888889, 0.1527777777777778, 0.22592592592592592, 0.18333333333333332, 0.3388888888888889]","[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0.0005652999971061945, 36.570216099964455, 42.83579029981047, 79.9054318999406, 136.98760289978236, 173.54077089997008]","['Legs_Block_B_02', 'Head_Block_B_02', 'Head_Block_B_02', 'Head_Block_B_02', 'Other_Block_B_02', 'Other_Block_B_02']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL23ON05_HB,001,HB,2024-06-21_13h11.59.850,Balance_and_VR_B,2024.1.5,None,2024-06-21 13h12.52.681178 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1045.8695201999508,0.011373199988156557,1045.8855773999821,1081.0107374000363,[0.3296296296296296],[-0.25833333333333336],[1],[0],[0],[35.14072689996101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL23ON05_HB,001,HB,2024-06-21_13h11.59.850,Balance_and_VR_B,2024.1.5,None,2024-06-21 13h12.52.681178 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1081.0108475000598,4.3999869376420975e-05,1081.0338775999844,1081.0338775999844,1081.0338775999844,1081.0338775999844,1291.0198125999887,"[0.3296296296296296, 0.32314814814814813, 0.1962962962962963, 0.24537037037037038, 0.18611111111111112, 0.10740740740740741]","[-0.25833333333333336, 0.19814814814814816, 0.28055555555555556, 0.2, 0.2388888888888889, -0.175]","[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0.0005298000760376453, 12.676082000136375, 74.17320169997402, 83.60387950018048, 113.59310820000246, 185.51762840012088]","['Arms_Block_B_03', 'Other_Block_B_03', 'Other_Block_B_03', 'Other_Block_B_03', 'Other_Block_B_03', 'Arms_Block_B_03']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL23ON05_HB,001,HB,2024-06-21_13h11.59.850,Balance_and_VR_B,2024.1.5,None,2024-06-21 13h12.52.681178 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1291.0200507999398,0.009242199826985598,1291.0361615000293,1326.2420981000178,[-0.6518518518518519],[0.24722222222222223],[1],[0],[0],[35.221569900168106],,,,,,,,,,,,,,,,,,,,,,,,,CL23ON05_HB,001,HB,2024-06-21_13h11.59.850,Balance_and_VR_B,2024.1.5,None,2024-06-21 13h12.52.681178 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1326.2422082999256,4.069996066391468e-05,1326.2707001999952,1326.2707001999952,1326.2707001999952,1326.2707001999952,1536.2536617000587,"[-0.6518518518518519, 0.18055555555555555, 0.2601851851851852, -0.16203703703703703, 0.2361111111111111, 0.3990740740740741]","[0.24722222222222223, 0.2824074074074074, 0.26851851851851855, 0.3333333333333333, 0.24722222222222223, 0.31296296296296294]","[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0.0004517000634223223, 49.34968360001221, 70.44249000004493, 100.31591739994474, 123.19145809998736, 207.83065799996257]","['Other_Block_B_04', 'Other_Block_B_04', 'Head_Block_B_04', 'Other_Block_B_04', 'Other_Block_B_04']",,,,,,,,,,,CL23ON05_HB,001,HB,2024-06-21_13h11.59.850,Balance_and_VR_B,2024.1.5,None,2024-06-21 13h12.52.681178 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1536.2539137999993,1536.2701155999675,0.011747500160709023,1594.9519404999446,[0.5333333333333333],[0.31574074074074077],[1],[0],[0],[58.69736100011505],CL23ON05_HB,001,HB,2024-06-21_13h11.59.850,Balance_and_VR_B,2024.1.5,None,2024-06-21 13h12.52.681178 +0200,
