thisRow.t,notes,Welcome_A.started,Welcome.started,mouse.started,Welcome_A.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Condition_A.started,mouse_3.started,ConditionA.started,Condition_A.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Block_A_01.started,Klicks_Block_A_01.started,Arms_Block_A_01.started,Legs_Block_A_01.started,Other_Block_A_01.started,Head_Block_A_01.started,Block_A_01.stopped,Klicks_Block_A_01.x,Klicks_Block_A_01.y,Klicks_Block_A_01.leftButton,Klicks_Block_A_01.midButton,Klicks_Block_A_01.rightButton,Klicks_Block_A_01.time,Klicks_Block_A_01.clicked_name,Filler_A_01.started,mouse_5.started,Text_FIller_A01.started,Filler_A_01.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,Block_A_02.started,Klicks_Block_A_02.started,Arms_Block_A_02.started,Legs_Block_A_02.started,Other_Block_A_02.started,Head_Block_A_02.started,Block_A_02.stopped,Klicks_Block_A_02.x,Klicks_Block_A_02.y,Klicks_Block_A_02.leftButton,Klicks_Block_A_02.midButton,Klicks_Block_A_02.rightButton,Klicks_Block_A_02.time,Klicks_Block_A_02.clicked_name,Filler_A_02.started,mouse_6.started,Text_Filler_A_02.started,Filler_A_02.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Block_A_03.started,Klicks_Block_A_03.started,Arms_Block_A_03.started,Legs_Block_A_03.started,Other_Block_A_03.started,Head_Block_A_03.started,Block_A_03.stopped,Klicks_Block_A_03.x,Klicks_Block_A_03.y,Klicks_Block_A_03.leftButton,Klicks_Block_A_03.midButton,Klicks_Block_A_03.rightButton,Klicks_Block_A_03.time,Klicks_Block_A_03.clicked_name,Filler_A_03.started,mouse_7.started,Text_Filler_A_03.started,Filler_A_03.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Block_A_04.started,Klicks_Block_A_04.started,Arms_Block_A_04.started,Legs_Block_A_04.started,Other_Block_A_04.started,Head_Block_A_04.started,Block_A_04.stopped,Klicks_Block_A_04.x,Klicks_Block_A_04.y,Klicks_Block_A_04.leftButton,Klicks_Block_A_04.midButton,Klicks_Block_A_04.rightButton,Klicks_Block_A_04.time,Klicks_Block_A_04.clicked_name,Goodbye.started,GoodBye.started,mouse_4.started,participant,session,Condition,date,expName,psychopyVersion,frameRate,expStart,
,,0.0073084000032395124,0.02107900008559227,0.007105499971657991,2.3882319000549614,[0.09722222222222222],[0.09537037037037037],[1],[0],[0],[2.380333699984476],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JU20ÜB09,LB,A,2024-07-08_16h25.25.936,Balance_and_VR_A,2024.1.5,None,2024-07-08 16h25.52.867257 +0200,
,,,,,,,,,,,,2.3883510001469404,3.3800024539232254e-05,2.403702300041914,14.23457600013353,[0.09722222222222222],[0.09537037037037037],[1],[0],[0],[11.84563360013999],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JU20ÜB09,LB,A,2024-07-08_16h25.25.936,Balance_and_VR_A,2024.1.5,None,2024-07-08 16h25.52.867257 +0200,
,,,,,,,,,,,,,,,,,,,,,,14.234730700030923,5.729985423386097e-05,14.28052520006895,14.28052520006895,14.28052520006895,14.28052520006895,224.24577020015568,"[0.09722222222222222, -0.30092592592592593]","[0.09537037037037037, -0.27314814814814814]","[1, 1]","[0, 0]","[0, 0]","[0.0006538999732583761, 6.8801587000489235]","['Other_Block_A_01', 'Legs_Block_A_01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JU20ÜB09,LB,A,2024-07-08_16h25.25.936,Balance_and_VR_A,2024.1.5,None,2024-07-08 16h25.52.867257 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.24591720011085,0.01122889993712306,224.2622567000799,259.8516107001342,[-0.07592592592592592],[0.10648148148148148],[1],[0],[0],[35.60516169993207],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JU20ÜB09,LB,A,2024-07-08_16h25.25.936,Balance_and_VR_A,2024.1.5,None,2024-07-08 16h25.52.867257 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.8517046000343,3.7400051951408386e-05,259.8785627000034,259.8785627000034,259.8785627000034,259.8785627000034,469.8631367001217,[-0.07592592592592592],[0.10648148148148148],[1],[0],[0],[0.0004913001321256161],['Head_Block_A_02'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JU20ÜB09,LB,A,2024-07-08_16h25.25.936,Balance_and_VR_A,2024.1.5,None,2024-07-08 16h25.52.867257 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469.86328460020013,0.011622000019997358,469.8794830001425,504.5374219000805,[-0.10648148148148148],[0.08888888888888889],[1],[0],[0],[34.67360609979369],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JU20ÜB09,LB,A,2024-07-08_16h25.25.936,Balance_and_VR_A,2024.1.5,None,2024-07-08 16h25.52.867257 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.5375435000751,5.9999991208314896e-05,504.561857300112,504.561857300112,504.561857300112,504.561857300112,714.5473654000089,"[-0.10648148148148148, -0.43703703703703706, -0.20092592592592592, 0.3435185185185185, -0.29907407407407405, 0.34629629629629627, 0.35185185185185186]","[0.08888888888888889, 0.30925925925925923, -0.18333333333333332, -0.17407407407407408, 0.20092592592592592, 0.26296296296296295, 0.29074074074074074]","[1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0.000600599916651845, 9.695968999993056, 124.90577129996382, 132.75383340008557, 135.60314920009114, 136.93639799999073, 158.52762529999018]","['Head_Block_A_03', 'Head_Block_A_03', 'Legs_Block_A_03', 'Arms_Block_A_03', 'Head_Block_A_03', 'Other_Block_A_03', 'Other_Block_A_03']",,,,,,,,,,,,,,,,,,,,,,,,,,,,JU20ÜB09,LB,A,2024-07-08_16h25.25.936,Balance_and_VR_A,2024.1.5,None,2024-07-08 16h25.52.867257 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714.5476230001077,0.010123200016096234,714.5637618000619,749.3531023000833,[-0.12777777777777777],[0.25555555555555554],[1],[0],[0],[34.80493830004707],,,,,,,,,,,,,,,,,,JU20ÜB09,LB,A,2024-07-08_16h25.25.936,Balance_and_VR_A,2024.1.5,None,2024-07-08 16h25.52.867257 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749.3532131002285,4.419987089931965e-05,749.3825128001627,749.3825128001627,749.3825128001627,749.3825128001627,959.364794400055,[-0.12777777777777777],[0.25555555555555554],[1],[0],[0],[0.0005552000366151333],['Head_Block_A_04'],,,,JU20ÜB09,LB,A,2024-07-08_16h25.25.936,Balance_and_VR_A,2024.1.5,None,2024-07-08 16h25.52.867257 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,959.3649370002095,959.381266400218,0.011766599956899881,,,,,,,,,
