thisRow.t,notes,Welcome_A.started,Welcome.started,mouse.started,Welcome_A.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Condition_A.started,mouse_3.started,ConditionA.started,Condition_A.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Block_A_01.started,Klicks_Block_A_01.started,Arms_Block_A_01.started,Legs_Block_A_01.started,Other_Block_A_01.started,Head_Block_A_01.started,Counter_Legs_A_01.started,Counter_Arms_A_01.started,Counter_Other_A_01.started,Counter_Head_A_01.started,Block_A_01.stopped,Klicks_Block_A_01.x,Klicks_Block_A_01.y,Klicks_Block_A_01.leftButton,Klicks_Block_A_01.midButton,Klicks_Block_A_01.rightButton,Klicks_Block_A_01.time,Klicks_Block_A_01.clicked_name,arms_count_A_01,legs_count_A_01,head_count_A_01,other_count_A_01,total_click_count_A_01,Filler_A_01.started,mouse_5.started,Text_FIller_A01.started,Filler_A_01.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,Block_A_02.started,Klicks_Block_A_02.started,Arms_Block_A_02.started,Legs_Block_A_02.started,Other_Block_A_02.started,Head_Block_A_02.started,Counter_Head_A_02.started,Counter_Other_A_02.started,Counter_Legs_A_02.started,Counter_Arms_A_02.started,Block_A_02.stopped,Klicks_Block_A_02.x,Klicks_Block_A_02.y,Klicks_Block_A_02.leftButton,Klicks_Block_A_02.midButton,Klicks_Block_A_02.rightButton,Klicks_Block_A_02.time,Klicks_Block_A_02.clicked_name,arms_count_A_02,legs_count_A_02,head_count_A_02,other_count_A_02,total_click_count_A_02,Filler_A_02.started,mouse_6.started,Text_Filler_A_02.started,Filler_A_02.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Block_A_03.started,Klicks_Block_A_03.started,Arms_Block_A_03.started,Legs_Block_A_03.started,Other_Block_A_03.started,Head_Block_A_03.started,Counter_Head_A_03.started,Counter_Other_A_03.started,Counter_Legs_A_03.started,Counter_Arms_A_03.started,Block_A_03.stopped,Klicks_Block_A_03.x,Klicks_Block_A_03.y,Klicks_Block_A_03.leftButton,Klicks_Block_A_03.midButton,Klicks_Block_A_03.rightButton,Klicks_Block_A_03.time,Klicks_Block_A_03.clicked_name,arms_count_A_03,legs_count_A_03,head_count_A_03,other_count_A_03,total_click_count_A_03,Filler_A_03.started,mouse_7.started,Text_Filler_A_03.started,Filler_A_03.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Block_A_04.started,Klicks_Block_A_04.started,Arms_Block_A_04.started,Legs_Block_A_04.started,Other_Block_A_04.started,Head_Block_A_04.started,Counter_Head_A_04.started,Counter_Other_A_04.started,Counter_Legs_A_04.started,Counter_Arms_A_04.started,Block_A_04.stopped,Klicks_Block_A_04.x,Klicks_Block_A_04.y,Klicks_Block_A_04.leftButton,Klicks_Block_A_04.midButton,Klicks_Block_A_04.rightButton,Klicks_Block_A_04.time,Klicks_Block_A_04.clicked_name,arms_count_A_04,legs_count_A_04,head_count_A_04,other_count_A_04,total_click_count_A_04,Goodbye.started,GoodBye.started,mouse_4.started,Goodbye.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,participant,session,Condition,date,expName,psychopyVersion,frameRate,expStart,
,,0.008754499955102801,0.02495279989670962,0.008464400074444711,916.5896770999534,[-0.14814814814814814],[0.12314814814814815],[1],[0],[0],[916.5788718999829],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KA14RE15,001,HB,2026-05-26_09h42.18.271,Balance_and_VR_A,2024.1.5,None,2026-05-26 09h42.55.263719 +0200,
,,,,,,,,,,,,916.5903987999773,0.00017370004206895828,916.6070760999573,971.0029746999498,[-0.14814814814814814],[0.12314814814814815],[1],[0],[0],[54.410825000028126],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KA14RE15,001,HB,2026-05-26_09h42.18.271,Balance_and_VR_A,2024.1.5,None,2026-05-26 09h42.55.263719 +0200,
,,,,,,,,,,,,,,,,,,,,,,971.0033627999946,0.0007619999814778566,971.0823291999986,971.0823291999986,971.0823291999986,971.0823291999986,971.0823291999986,971.0823291999986,971.0823291999986,971.0823291999986,1181.0295021999627,"[-0.14814814814814814, 0.20925925925925926]","[0.12314814814814815, 0.2777777777777778]","[1, 1]","[0, 0]","[0, 0]","[0.0024721999652683735, 93.86065209994558]","['Head_Block_A_01', 'Other_Block_A_01']",0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KA14RE15,001,HB,2026-05-26_09h42.18.271,Balance_and_VR_A,2024.1.5,None,2026-05-26 09h42.55.263719 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1181.0300534999697,0.026822500047273934,1181.046227099956,1215.998033199925,[0.13425925925925927],[0.06944444444444445],[1],[0],[0],[34.965000099968165],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KA14RE15,001,HB,2026-05-26_09h42.18.271,Balance_and_VR_A,2024.1.5,None,2026-05-26 09h42.55.263719 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1215.9989179999102,0.0008191000670194626,1216.0558596999617,1216.0558596999617,1216.0558596999617,1216.0558596999617,1216.0558596999617,1216.0558596999617,1216.0558596999617,1216.0558596999617,1426.0167305999203,"[0.13425925925925927, 0.11296296296296296]","[0.06944444444444445, -0.16203703703703703]","[1, 1]","[0, 0]","[0, 0]","[0.0033596999710425735, 155.2949793000007]","['Other_Block_A_02', 'Arms_Block_A_02']",1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KA14RE15,001,HB,2026-05-26_09h42.18.271,Balance_and_VR_A,2024.1.5,None,2026-05-26 09h42.55.263719 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1426.0171236998867,0.018319400027394295,1426.0302056999644,1459.2772687999532,[0.11296296296296296],[-0.16203703703703703],[1],[0],[0],[33.25774529995397],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KA14RE15,001,HB,2026-05-26_09h42.18.271,Balance_and_VR_A,2024.1.5,None,2026-05-26 09h42.55.263719 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1459.2778182999464,0.0006534999702125788,1459.3309140999336,1459.3309140999336,1459.3309140999336,1459.3309140999336,1459.3309140999336,1459.3309140999336,1459.3309140999336,1459.3309140999336,1669.2901680999203,"[0.11296296296296296, 0.3055555555555556, 0.19537037037037036, 0.22685185185185186]","[-0.16203703703703703, 0.2074074074074074, 0.06574074074074074, -0.40555555555555556]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.002478600014001131, 75.40864100004546, 125.77696309995372, 161.60994490003213]","['Arms_Block_A_03', 'Other_Block_A_03', 'Other_Block_A_03', 'Arms_Block_A_03']",1,0,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KA14RE15,001,HB,2026-05-26_09h42.18.271,Balance_and_VR_A,2024.1.5,None,2026-05-26 09h42.55.263719 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669.2906860999065,0.012964800000190735,1669.3103496999247,1706.300539299962,[0.22685185185185186],[-0.40555555555555556],[1],[0],[0],[37.00856419990305],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KA14RE15,001,HB,2026-05-26_09h42.18.271,Balance_and_VR_A,2024.1.5,None,2026-05-26 09h42.55.263719 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1706.3009174999315,0.00042100006248801947,1706.3403143999167,1706.3403143999167,1706.3403143999167,1706.3403143999167,1706.3403143999167,1706.3403143999167,1706.3403143999167,1706.3403143999167,1916.3108735999558,"[0.22685185185185186, 0.06851851851851852, 0.23981481481481481]","[-0.40555555555555556, -0.1648148148148148, -0.23055555555555557]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.0015345000429078937, 19.839238499989733, 196.2209686000133]","['Arms_Block_A_04', 'Arms_Block_A_04', 'Arms_Block_A_04']",2,0,0,0,2,,,,,,,,,,,KA14RE15,001,HB,2026-05-26_09h42.18.271,Balance_and_VR_A,2024.1.5,None,2026-05-26 09h42.55.263719 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1916.3111360999756,1916.3263914999552,0.010275200009346008,1947.9363516999874,[0.23981481481481481],[-0.23055555555555557],[1],[0],[0],[31.62382739991881],KA14RE15,001,HB,2026-05-26_09h42.18.271,Balance_and_VR_A,2024.1.5,None,2026-05-26 09h42.55.263719 +0200,
