thisRow.t,notes,Welcome_A.started,Welcome.started,mouse.started,Welcome_A.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Condition_A.started,mouse_3.started,ConditionA.started,Condition_A.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Block_A_01.started,Klicks_Block_A_01.started,Arms_Block_A_01.started,Legs_Block_A_01.started,Other_Block_A_01.started,Head_Block_A_01.started,Block_A_01.stopped,Klicks_Block_A_01.x,Klicks_Block_A_01.y,Klicks_Block_A_01.leftButton,Klicks_Block_A_01.midButton,Klicks_Block_A_01.rightButton,Klicks_Block_A_01.time,Klicks_Block_A_01.clicked_name,Filler_A_01.started,mouse_5.started,Text_FIller_A01.started,Filler_A_01.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,Block_A_02.started,Klicks_Block_A_02.started,Arms_Block_A_02.started,Legs_Block_A_02.started,Other_Block_A_02.started,Head_Block_A_02.started,Block_A_02.stopped,Klicks_Block_A_02.x,Klicks_Block_A_02.y,Klicks_Block_A_02.leftButton,Klicks_Block_A_02.midButton,Klicks_Block_A_02.rightButton,Klicks_Block_A_02.time,Klicks_Block_A_02.clicked_name,Filler_A_02.started,mouse_6.started,Text_Filler_A_02.started,Filler_A_02.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Block_A_03.started,Klicks_Block_A_03.started,Arms_Block_A_03.started,Legs_Block_A_03.started,Other_Block_A_03.started,Head_Block_A_03.started,Block_A_03.stopped,Klicks_Block_A_03.x,Klicks_Block_A_03.y,Klicks_Block_A_03.leftButton,Klicks_Block_A_03.midButton,Klicks_Block_A_03.rightButton,Klicks_Block_A_03.time,Klicks_Block_A_03.clicked_name,Filler_A_03.started,mouse_7.started,Text_Filler_A_03.started,Filler_A_03.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Block_A_04.started,Klicks_Block_A_04.started,Arms_Block_A_04.started,Legs_Block_A_04.started,Other_Block_A_04.started,Head_Block_A_04.started,Block_A_04.stopped,Klicks_Block_A_04.x,Klicks_Block_A_04.y,Klicks_Block_A_04.leftButton,Klicks_Block_A_04.midButton,Klicks_Block_A_04.rightButton,Klicks_Block_A_04.time,Klicks_Block_A_04.clicked_name,Goodbye.started,GoodBye.started,mouse_4.started,Goodbye.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,participant,session,Condition,date,expName,psychopyVersion,frameRate,expStart,
,,0.00895319995470345,0.02106519998051226,0.008758099982514977,1.645195099990815,[-0.16666666666666666],[0.125],[1],[0],[0],[1.635513300076127],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UL22ON24_A_LB,001,,2024-06-24_11h28.48.564,Balance_and_VR_A,2024.1.5,None,2024-06-24 11h29.32.552486 +0200,
,,,,,,,,,,,,1.645437200088054,6.379978731274605e-05,1.6605807000305504,583.2240444999188,[-0.000925925925925926],[0.03981481481481482],[1],[0],[0],[581.577970399987],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UL22ON24_A_LB,001,,2024-06-24_11h28.48.564,Balance_and_VR_A,2024.1.5,None,2024-06-24 11h29.32.552486 +0200,
,,,,,,,,,,,,,,,,,,,,,,583.2241668000352,5.159992724657059e-05,583.2735103000887,583.2735103000887,583.2735103000887,583.2735103000887,793.235256700078,"[-0.000925925925925926, 0.10925925925925926, -0.32592592592592595, 0.12314814814814815]","[0.03981481481481482, -0.20092592592592592, -0.21574074074074073, -0.2361111111111111]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.0006381000857800245, 117.70950999995694, 173.29075170005672, 201.19827820011415]","['Head_Block_A_01', 'Arms_Block_A_01', 'Legs_Block_A_01', 'Arms_Block_A_01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UL22ON24_A_LB,001,,2024-06-24_11h28.48.564,Balance_and_VR_A,2024.1.5,None,2024-06-24 11h29.32.552486 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,793.2354814999271,0.011354299960657954,793.2518569999374,923.392140999902,[0.0],[-0.14351851851851852],[1],[0],[0],[130.15612450009212],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UL22ON24_A_LB,001,,2024-06-24_11h28.48.564,Balance_and_VR_A,2024.1.5,None,2024-06-24 11h29.32.552486 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,923.3922435999848,4.429998807609081e-05,923.4161006999202,923.4161006999202,923.4161006999202,923.4161006999202,1133.4037973000668,"[0.0, 0.1388888888888889]","[-0.14351851851851852, -0.19722222222222222]","[1, 1]","[0, 0]","[0, 0]","[0.000497099943459034, 83.40513120009564]",['Arms_Block_A_02'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UL22ON24_A_LB,001,,2024-06-24_11h28.48.564,Balance_and_VR_A,2024.1.5,None,2024-06-24 11h29.32.552486 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1133.4039676999673,0.011762799927964807,1133.4201625999995,1168.3760768000502,[0.06759259259259259],[-0.1962962962962963],[1],[0],[0],[34.9715630998835],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UL22ON24_A_LB,001,,2024-06-24_11h28.48.564,Balance_and_VR_A,2024.1.5,None,2024-06-24 11h29.32.552486 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1168.3761877000798,4.460010677576065e-05,1168.4021395000163,1168.4021395000163,1168.4021395000163,1168.4021395000163,1378.3877495999914,"[0.06759259259259259, -0.3101851851851852, 0.17037037037037037]","[-0.1962962962962963, 0.1398148148148148, -0.19814814814814816]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.0005629998631775379, 16.31119169993326, 116.01267249998637]","['Arms_Block_A_03', 'Head_Block_A_03', 'Arms_Block_A_03']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UL22ON24_A_LB,001,,2024-06-24_11h28.48.564,Balance_and_VR_A,2024.1.5,None,2024-06-24 11h29.32.552486 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1378.3879492999986,0.011803300119936466,1378.4042164001148,1413.3432992999442,[0.008333333333333333],[-0.14629629629629629],[1],[0],[0],[34.95483359997161],,,,,,,,,,,,,,,,,,,,,,,,,UL22ON24_A_LB,001,,2024-06-24_11h28.48.564,Balance_and_VR_A,2024.1.5,None,2024-06-24 11h29.32.552486 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1413.343421800062,4.630000330507755e-05,1413.366459700046,1413.366459700046,1413.366459700046,1413.366459700046,1623.3549729001243,"[0.008333333333333333, 0.32592592592592595, -0.3509259259259259]","[-0.14629629629629629, 0.09444444444444444, -0.25277777777777777]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.0005626000929623842, 128.07379789999686, 165.511422800133]","['Arms_Block_A_04', 'Other_Block_A_04', 'Legs_Block_A_04']",,,,,,,,,,,UL22ON24_A_LB,001,,2024-06-24_11h28.48.564,Balance_and_VR_A,2024.1.5,None,2024-06-24 11h29.32.552486 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1623.35515139997,1623.3713303999975,0.0117747001349926,1646.4478933000937,[0.08703703703703704],[-0.15092592592592594],[1],[0],[0],[23.092166899936274],UL22ON24_A_LB,001,,2024-06-24_11h28.48.564,Balance_and_VR_A,2024.1.5,None,2024-06-24 11h29.32.552486 +0200,
