Timepoint_number,Timepoint,Condition,n,Mean,SD,SE,CI_low,CI_high
0,Baseline,HB,41,1.0731707317073171,1.232684953717677,0.19251304644557188,0.6840873512232832,1.462254112191351
1,Trial 1,HB,41,2.097560975609756,1.5460413650478515,0.24145109601491865,1.609570107491527,2.5855518437279854
2,Trial 2,HB,41,2.902439024390244,1.743629519834711,0.2723091814526107,2.352081639201927,3.4527964095785606
3,Trial 3,HB,41,3.073170731707317,1.6490943560396873,0.2575452692919863,2.552652326051482,3.5936891373631523
4,Trial 4,HB,40,3.525,1.6327968768421994,0.2581678543615394,3.0028062251375416,4.047193774862459
0,Baseline,LB,40,0.85,1.3310878527711354,0.2104634690269829,0.4242974521996837,1.2757025478003163
1,Trial 1,LB,40,1.975,1.7612277186448881,0.27847455345700245,1.4117320492612297,2.5382679507387707
2,Trial 2,LB,40,2.525,1.5019218457593693,0.23747469500818558,2.044662090668444,3.0053379093315558
3,Trial 3,LB,40,2.825,1.4830235919765318,0.23448661872050258,2.3507060454439177,3.2992939545560827
4,Trial 4,LB,40,3.225,1.6090688500193409,0.2544161239044493,2.710394816267523,3.7396051837324773
